"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GLICL","2023-05-08","351.1","353.9","340.1","344","-1.99 %","26,209.00"
"GLICL","2023-05-07","355","357.7","350","351","-2.50 %","6,193.00"
"GLICL","2023-05-04","356","363","356","360","0.28 %","10,023.00"
"GLICL","2023-05-03","357","359","356.6","359","-0.69 %","2,293.00"
"GLICL","2023-05-02","360","361.5","357","361.5","0.42 %","3,993.00"
"GLICL","2023-04-30","359.7","360.9","357.7","360","-1.91 %","5,091.00"
"GLICL","2023-04-27","368","368","361","367","0.55 %","3,600.00"
"GLICL","2023-04-26","368","369","363","365","-0.54 %","6,355.00"
"GLICL","2023-04-25","364","370","361.5","367","1.86 %","11,295.00"
"GLICL","2023-04-24","357","364.8","356","360.3","0.61 %","4,312.00"
"GLICL","2023-04-23","363.2","367","358","358.1","-2.53 %","11,395.00"
"GLICL","2023-04-20","368.5","373.9","367.2","367.4","-2.03 %","4,610.00"
"GLICL","2023-04-19","375.8","381","369","375","1.76 %","8,848.00"
"GLICL","2023-04-18","368","372.9","367.1","368.5","-0.41 %","7,943.00"
"GLICL","2023-04-17","376.2","376.2","370","370","-2.63 %","7,141.00"
"GLICL","2023-04-16","387","387","375","380","0.00 %","18,952.00"
"GLICL","2023-04-13","380","390","375","380","-1.50 %","18,674.00"
"GLICL","2023-04-12","373","385.8","371","385.8","5.12 %","21,984.00"
"GLICL","2023-04-11","367","373","360.1","367","1.94 %","4,831.00"
"GLICL","2023-04-10","353.1","365","353.1","360","0.03 %","11,650.00"
"GLICL","2023-04-09","365","371.2","356.8","359.9","-2.73 %","27,773.00"
"GLICL","2023-04-06","376.8","376.8","369","370","0.14 %","27,714.00"
"GLICL","2023-04-05","424.3","424.3","416.2","418.5","0.60 %","52,836.00"
"GLICL","2023-04-04","411.5","418.9","411","416","-0.48 %","6,755.00"
"GLICL","2023-04-03","413","419.5","406","418","0.48 %","19,006.00"
"GLICL","2023-04-02","424.7","432","416","416","-2.05 %","30,824.00"
"GLICL","2023-03-30","429.9","430","423.5","424.7","-0.52 %","17,003.00"
"GLICL","2023-03-29","423","428","419.1","426.9","0.45 %","19,235.00"
"GLICL","2023-03-28","426.9","431.5","420.5","425","1.43 %","26,550.00"
"GLICL","2023-03-27","415","419.9","410","419","1.23 %","11,078.00"
"GLICL","2023-03-26","404.9","436.7","404.9","413.9","4.26 %","54,994.00"
"GLICL","2023-03-23","395","399.5","390","397","-1.00 %","10,446.00"
"GLICL","2023-03-22","416","417","400","401","-2.55 %","14,873.00"
"GLICL","2023-03-20","404","411.5","398.4","411.5","1.88 %","21,014.00"
"GLICL","2023-03-19","395","403.9","395","403.9","0.22 %","9,548.00"
"GLICL","2023-03-16","394.1","406","394.1","403","0.25 %","10,324.00"
"GLICL","2023-03-15","400","403","397","402","0.50 %","7,739.00"
"GLICL","2023-03-14","400","406","398","400","1.14 %","9,325.00"
"GLICL","2023-03-13","408","408","395.1","395.5","-4.00 %","11,302.00"
"GLICL","2023-03-12","420","422","396.3","412","-1.20 %","35,953.00"
"GLICL","2023-03-09","412.9","417","405","417","2.99 %","17,534.00"
"GLICL","2023-03-07","405","413","400","404.9","0.22 %","6,978.00"
"GLICL","2023-03-05","414","414","399","404","-0.66 %","14,564.00"
"GLICL","2023-03-02","412.9","419.9","406.7","406.7","-2.96 %","16,166.00"
"GLICL","2023-03-01","425","435.9","419.1","419.1","-2.49 %","7,957.00"
"GLICL","2023-02-28","434","444","424","429.8","-0.05 %","6,510.00"
"GLICL","2023-02-27","448","448.5","417.2","430","-2.27 %","13,354.00"
"GLICL","2023-02-26","425.4","440","417","440","1.38 %","19,428.00"
"GLICL","2023-02-23","435","436","428.1","434","-2.21 %","14,863.00"
"GLICL","2023-02-22","440","444.9","433.1","443.8","2.61 %","19,766.00"
"GLICL","2023-02-20","431.9","438","430.2","432.5","-1.66 %","20,211.00"
"GLICL","2023-02-16","442.9","444.7","436.3","439.8","-1.17 %","16,229.00"
"GLICL","2023-02-15","457","457","440","445","-1.11 %","15,536.00"
"GLICL","2023-02-14","447","455","445","450","0.67 %","14,748.00"
"GLICL","2023-02-12","460.6","460.6","445","447","-4.89 %","30,854.00"
"GLICL","2023-02-09","460","474.3","452.1","470","3.07 %","40,763.00"
"GLICL","2023-02-08","469.2","478.5","455","456","-0.87 %","55,262.00"
"GLICL","2023-02-07","438","460","434","460","6.60 %","28,873.00"
"GLICL","2023-02-06","435","440","431.1","431.5","-1.48 %","23,481.00"
"GLICL","2023-02-05","445","452","436.1","438","-1.13 %","29,046.00"
"GLICL","2023-02-02","448","462.2","440.1","443","-3.00 %","23,614.00"
"GLICL","2023-02-01","479","479","440.6","456.7","-2.83 %","75,759.00"
"GLICL","2023-01-31","451.4","489","451.4","470","4.12 %","162,173.00"
"GLICL","2022-05-12","520","520","481","485","-5.83 %","127,065.00"
"GLICL","2022-05-11","504","517.1","504","515","4.04 %","19,880.00"
"GLICL","2022-05-10","496.7","503","485","495","1.64 %","8,380.00"
"GLICL","2022-05-09","500","502","487","487","-1.62 %","21,386.00"
