"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GMFIL","2024-08-11","608","615","590","612","1.83 %","140,450.00"
"GMFIL","2024-08-08","625","635","589","601","-3.64 %","95,567.00"
"GMFIL","2024-08-07","578.2","636","555.7","623.7","5.71 %","132,768.00"
"GMFIL","2024-08-06","614","622","552.6","590","-3.91 %","173,820.00"
"GMFIL","2024-08-05","642","671","614","614","-6.26 %","136,840.00"
"GMFIL","2024-08-01","672","690","635.1","655","-0.64 %","189,854.00"
"GMFIL","2024-07-31","600","660","591","659.2","9.87 %","198,471.00"
"GMFIL","2024-07-30","583.8","606.3","571.4","600","4.82 %","148,939.00"
"GMFIL","2024-07-29","560","585","560","572.4","2.21 %","183,356.00"
"GMFIL","2024-07-28","551.8","585.4","541","560","-0.53 %","112,735.00"
"GMFIL","2024-07-25","547.1","593","547.1","563","0.90 %","59,013.00"
"GMFIL","2024-07-24","543.5","575","543.5","558","0.74 %","123,593.00"
"GMFIL","2024-07-23","555","561","544","553.9","-0.20 %","76,384.00"
"GMFIL","2024-07-22","544.9","566","539","555","-0.18 %","68,421.00"
"GMFIL","2024-07-21","534.1","575","534.1","556","2.02 %","129,486.00"
"GMFIL","2024-07-18","557.7","579","538.1","545","-4.22 %","126,376.00"
"GMFIL","2024-07-17","544","580","525","569","6.55 %","104,279.00"
"GMFIL","2024-07-16","522","540","522","534","2.69 %","80,075.00"
"GMFIL","2024-07-15","493","535","480","520","6.32 %","186,368.00"
"GMFIL","2024-07-14","498.6","508.5","479.3","489.1","0.04 %","52,431.00"
"GMFIL","2024-07-11","492.5","497.7","487.2","488.9","0.00 %","94,048.00"
"GMFIL","2024-07-10","482","495","482","488.9","0.18 %","65,959.00"
"GMFIL","2024-07-09","496","500","483","488","0.21 %","66,635.00"
"GMFIL","2024-07-08","489","491","471","487","1.46 %","109,189.00"
"GMFIL","2024-07-07","492.6","492.6","470.2","480","-0.62 %","95,528.00"
"GMFIL","2024-07-04","491","500","466","483","0.27 %","111,796.00"
"GMFIL","2024-07-03","445.9","481.7","429.4","481.7","9.98 %","214,869.00"
"GMFIL","2024-07-02","442.6","460","434","438","0.92 %","19,983.00"
"GMFIL","2024-07-01","437","437","429","434","0.60 %","29,607.00"
"GMFIL","2024-06-30","440","444","431.4","431.4","-1.95 %","35,246.00"
"GMFIL","2024-06-27","444.3","447","436.1","440","0.00 %","49,080.00"
"GMFIL","2024-06-26","444","446","426.3","440","0.07 %","71,579.00"
"GMFIL","2024-06-25","464","464","434.1","439.7","-3.36 %","107,920.00"
"GMFIL","2024-06-24","453","464","435","455","2.36 %","120,715.00"
"GMFIL","2024-06-23","418","450","418","444.5","6.47 %","109,114.00"
"GMFIL","2024-06-20","412","427.3","409","417.5","1.33 %","47,932.00"
"GMFIL","2024-06-19","408","423","404","412","2.44 %","22,357.00"
"GMFIL","2024-06-18","406.1","413","402","402.2","-2.62 %","18,000.00"
"GMFIL","2024-06-16","426","430","411","413","-2.82 %","33,614.00"
"GMFIL","2024-06-13","404","437","404","425","3.68 %","111,818.00"
"GMFIL","2024-06-12","404.8","410","391","409.9","2.99 %","44,055.00"
"GMFIL","2024-06-11","387","403","387","398","1.27 %","13,811.00"
"GMFIL","2024-06-10","398.7","398.7","386.1","393","0.54 %","18,297.00"
"GMFIL","2024-06-09","394","399.7","388","390.9","-0.48 %","11,442.00"
"GMFIL","2024-06-06","407.6","407.6","391.4","392.8","-2.75 %","10,028.00"
"GMFIL","2024-06-05","407","409","396.9","403.9","0.95 %","13,455.00"
"GMFIL","2024-06-04","409","409","397","400.1","-1.21 %","16,248.00"
"GMFIL","2024-06-03","408.6","415.1","399","405","0.25 %","60,088.00"
"GMFIL","2024-06-02","395","408","395","404","3.59 %","41,442.00"
"GMFIL","2024-05-30","389.9","393","384.5","390","0.78 %","13,039.00"
"GMFIL","2024-05-29","402.9","402.9","383","387","-2.03 %","15,588.00"
"GMFIL","2024-05-27","389.8","397.4","387","395","3.35 %","14,370.00"
"GMFIL","2024-05-26","411","411","382.2","382.2","-5.40 %","28,849.00"
"GMFIL","2024-05-22","416.9","417","403","404","-2.06 %","30,248.00"
"GMFIL","2024-05-21","402.8","415","401.9","412.5","4.43 %","45,940.00"
"GMFIL","2024-05-20","400","405","393.2","395","-0.75 %","33,990.00"
"GMFIL","2024-05-19","394.7","402.5","388","398","2.84 %","29,131.00"
"GMFIL","2024-05-16","395","399","386.3","387","-2.27 %","26,759.00"
"GMFIL","2024-05-15","405","405","391.2","396","-0.75 %","25,053.00"
"GMFIL","2024-05-14","403","405","395","399","-0.75 %","34,185.00"
"GMFIL","2024-05-13","414.9","414.9","396.9","402","-1.18 %","26,464.00"
"GMFIL","2024-05-12","403.9","410","400","406.8","2.44 %","95,567.00"
"GMFIL","2024-05-09","392.6","404.9","388","397.1","2.35 %","128,476.00"
"GMFIL","2024-05-08","365","389","365","388","4.19 %","35,908.00"
"GMFIL","2024-05-07","378.3","378.3","367.7","372.4","0.38 %","11,334.00"
"GMFIL","2024-05-06","371","380","367.1","371","0.00 %","20,128.00"
"GMFIL","2024-05-05","374","386.5","371","371","-2.45 %","40,061.00"
"GMFIL","2024-05-02","397.8","397.8","380.1","380.3","-2.49 %","49,236.00"
"GMFIL","2024-04-30","404","416.5","387","390","-2.01 %","103,101.00"
"GMFIL","2024-04-29","391.9","402.9","377.3","398","2.58 %","86,953.00"
"GMFIL","2024-04-28","377","396.7","373.1","388","4.86 %","88,056.00"
"GMFIL","2024-04-25","362.1","379","362.1","370","4.23 %","45,330.00"
"GMFIL","2024-04-24","352","365","352","355","-0.28 %","12,361.00"
"GMFIL","2024-04-22","354.1","356","352","356","-0.84 %","6,290.00"
"GMFIL","2024-04-21","348.2","360","348","359","1.41 %","9,113.00"
"GMFIL","2024-04-18","361","363","354","354","-1.67 %","6,624.00"
