"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HBL","2024-08-11","246","260","242","257.6","6.45 %","260,303.00"
"HBL","2024-08-08","247","251.9","241","242","-0.41 %","138,115.00"
"HBL","2024-08-07","240","247","233","243","2.84 %","143,516.00"
"HBL","2024-08-06","259.9","260","235.5","236.3","-9.12 %","275,813.00"
"HBL","2024-08-05","270","272","257.8","260","-2.26 %","299,670.00"
"HBL","2024-08-01","275","276","264","266","-2.21 %","169,849.00"
"HBL","2024-07-31","269.8","276","266","272","0.74 %","185,777.00"
"HBL","2024-07-30","275","276","260","270","-2.17 %","265,681.00"
"HBL","2024-07-29","284.3","299","273","276","-1.00 %","403,882.00"
"HBL","2024-07-28","258.5","278.8","258.5","278.8","9.98 %","401,317.00"
"HBL","2024-07-25","250","254.5","241","253.5","1.81 %","257,789.00"
"HBL","2024-07-24","259","259","244.7","249","-1.97 %","177,199.00"
"HBL","2024-07-23","250","255","245.1","254","0.79 %","255,069.00"
"HBL","2024-07-22","253","262","244","252","1.25 %","385,243.00"
"HBL","2024-07-21","230","248.9","225.4","248.9","9.99 %","340,632.00"
"HBL","2024-07-18","215","232.1","212.2","226.3","7.25 %","330,463.00"
"HBL","2024-07-17","213","213.4","207.8","211","0.72 %","92,701.00"
"HBL","2024-07-16","204","210.1","203","209.5","2.60 %","63,008.00"
"HBL","2024-07-15","215.2","215.2","203.9","204.2","-3.22 %","101,206.00"
"HBL","2024-07-14","205.6","212","203","211","4.66 %","81,778.00"
"HBL","2024-07-11","194.8","201.7","191","201.6","5.55 %","95,935.00"
"HBL","2024-07-10","189.8","191","186.4","191","2.63 %","61,431.00"
"HBL","2024-07-09","185","188.5","185","186.1","0.05 %","46,386.00"
"HBL","2024-07-08","188","188","184.2","186","-0.21 %","24,265.00"
"HBL","2024-07-07","188.7","189.5","184.1","186.4","0.76 %","50,352.00"
"HBL","2024-07-04","188","189.5","184.5","185","-0.54 %","36,619.00"
"HBL","2024-07-03","184","186.5","179.4","186","1.64 %","49,082.00"
"HBL","2024-07-02","183.6","195","180.5","183","1.67 %","54,143.00"
"HBL","2024-07-01","173","180.5","172.1","180","3.45 %","40,875.00"
"HBL","2024-06-30","175","175","173","174","0.00 %","13,947.00"
"HBL","2024-06-27","174.2","175.5","173","174","-0.11 %","22,614.00"
"HBL","2024-06-26","174","176.4","173","174.2","-0.29 %","31,909.00"
"HBL","2024-06-25","173","175.4","172.1","174.7","0.98 %","23,123.00"
"HBL","2024-06-24","175.4","177","172.3","173","-1.98 %","62,246.00"
"HBL","2024-06-23","179","179","174.1","176.5","-0.56 %","28,415.00"
"HBL","2024-06-20","184.6","184.6","177","177.5","-1.93 %","33,240.00"
"HBL","2024-06-19","184.9","185","180","181","-0.55 %","16,006.00"
"HBL","2024-06-18","181.3","183.4","180.5","182","-1.09 %","8,236.00"
"HBL","2024-06-16","182","186.3","182","184","0.00 %","17,657.00"
"HBL","2024-06-13","183","184.4","181.3","184","0.55 %","32,660.00"
"HBL","2024-06-12","186.5","192","183","183","0.00 %","41,677.00"
"HBL","2024-06-11","185.9","187.6","180.1","183","0.38 %","28,684.00"
"HBL","2024-06-10","185","185","181.3","182.3","0.16 %","27,776.00"
"HBL","2024-06-09","191.2","191.2","182","182","-2.93 %","30,635.00"
"HBL","2024-06-06","190","190","185","187.5","-1.06 %","27,461.00"
"HBL","2024-06-05","190.1","190.7","188.6","189.5","-0.79 %","15,703.00"
