"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HEI","2024-08-11","749.6","779","743","776","5.58 %","181,148.00"
"HEI","2024-08-08","735.1","765","727.5","735","-0.94 %","116,332.00"
"HEI","2024-08-07","715","742","707","742","3.92 %","71,146.00"
"HEI","2024-08-06","759","764","711","714","-5.92 %","142,545.00"
"HEI","2024-08-05","759.9","780","742.1","758.9","1.87 %","264,074.00"
"HEI","2024-08-01","718","765","716","745","4.05 %","197,827.00"
"HEI","2024-07-31","712","733","704.1","716","1.85 %","92,594.00"
"HEI","2024-07-30","701","710","688.5","703","0.43 %","67,486.00"
"HEI","2024-07-29","726","730","699","700","-3.45 %","91,143.00"
"HEI","2024-07-28","720","734","690","725","2.69 %","81,818.00"
"HEI","2024-07-25","690","722","685","706","1.74 %","133,621.00"
"HEI","2024-07-24","700","709","675","693.9","-0.59 %","58,605.00"
"HEI","2024-07-23","668","707","668","698","4.37 %","98,126.00"
"HEI","2024-07-22","676","680","665","668.8","-1.07 %","68,854.00"
"HEI","2024-07-21","680","685.3","665","676","0.75 %","60,668.00"
"HEI","2024-07-18","680","685.9","665.2","671","0.15 %","95,683.00"
"HEI","2024-07-17","660","673","648","670","3.40 %","120,345.00"
"HEI","2024-07-16","640","648","639.1","648","2.53 %","31,757.00"
"HEI","2024-07-15","650","650","632","632","-2.17 %","66,837.00"
"HEI","2024-07-14","655","667.9","640","646","0.47 %","83,665.00"
"HEI","2024-07-11","645","645","630","643","1.58 %","77,586.00"
"HEI","2024-07-10","630","646","628","633","1.44 %","62,515.00"
"HEI","2024-07-09","624","627.8","618","624","0.48 %","25,777.00"
"HEI","2024-07-08","625","628","618","621","-0.96 %","47,251.00"
"HEI","2024-07-07","625","630","613","627","1.29 %","61,926.00"
"HEI","2024-07-04","614","622","602","619","0.49 %","62,393.00"
"HEI","2024-07-03","600","616","598","616","1.02 %","32,171.00"
"HEI","2024-07-02","591.6","614","590","609.8","5.14 %","74,798.00"
"HEI","2024-07-01","586","586","575","580","0.19 %","15,997.00"
"HEI","2024-06-30","572","580","567.5","578.9","0.99 %","9,043.00"
"HEI","2024-06-27","590","590","573","573.2","-1.19 %","23,806.00"
"HEI","2024-06-26","594.9","594.9","576","580.1","-1.21 %","21,533.00"
"HEI","2024-06-25","595","598","587","587.2","-1.14 %","10,516.00"
"HEI","2024-06-24","587","600.5","587","594","1.19 %","13,191.00"
"HEI","2024-06-23","586","597","578","587","0.17 %","17,335.00"
"HEI","2024-06-20","591","595","582.9","586","-0.85 %","24,986.00"
"HEI","2024-06-19","590","595","585","591","0.17 %","9,467.00"
"HEI","2024-06-18","591.1","598","589.1","590","-1.04 %","21,498.00"
"HEI","2024-06-16","600.1","617","596","596.2","-1.45 %","12,265.00"
"HEI","2024-06-13","605.1","615","605","605","-1.47 %","19,094.00"
"HEI","2024-06-12","613.2","620","603","614","-0.81 %","14,109.00"
"HEI","2024-06-11","592","620","592","619","4.35 %","54,455.00"
"HEI","2024-06-10","593","599","593","593.2","0.03 %","21,107.00"
"HEI","2024-06-09","592.3","598","590","593","-0.17 %","12,675.00"
"HEI","2024-06-06","593.6","598","593.1","594","-0.35 %","19,299.00"
"HEI","2024-06-05","608","608","596","596.1","-0.82 %","22,797.00"
"HEI","2024-06-04","590","612","590","601","1.16 %","43,705.00"
"HEI","2024-06-03","596","604","592.1","594.1","-1.15 %","19,377.00"
"HEI","2024-06-02","592","612","590","601","1.49 %","17,299.00"
"HEI","2024-05-30","600.1","614","589","592.2","-2.12 %","56,733.00"
"HEI","2024-05-29","628.3","638","599","605","-1.79 %","29,154.00"
"HEI","2024-05-27","620","624","611","616","0.47 %","22,830.00"
"HEI","2024-05-26","622","628","613.1","613.1","-2.37 %","32,623.00"
"HEI","2024-05-22","623.1","635","622.3","628","-0.63 %","26,126.00"
"HEI","2024-05-21","622.5","634.9","622.1","632","1.12 %","24,905.00"
"HEI","2024-05-20","650","652","625","625","-2.33 %","58,568.00"
"HEI","2024-05-19","618.9","647","614","639.9","5.45 %","115,154.00"
"HEI","2024-05-16","613","616","605.3","606.8","-1.01 %","28,048.00"
"HEI","2024-05-15","619","630","613","613","0.00 %","72,300.00"
"HEI","2024-05-14","600","616.1","598","613","2.87 %","40,264.00"
"HEI","2024-05-13","607","613","588.2","595.9","-1.81 %","30,150.00"
"HEI","2024-05-12","583","607","583","606.9","5.55 %","90,422.00"
"HEI","2024-05-09","575.3","575.3","568.5","575","-0.86 %","11,110.00"
"HEI","2024-05-08","577","580","570","580","0.00 %","27,044.00"
"HEI","2024-05-07","584.8","585","575.2","580","1.05 %","12,699.00"
"HEI","2024-05-06","585","585","574","574","-1.71 %","14,466.00"
"HEI","2024-05-05","592.9","594","583.2","584","0.15 %","12,506.00"
"HEI","2024-05-02","595","599.9","583.1","583.1","-2.00 %","22,938.00"
"HEI","2024-04-30","579","595","575","595","3.12 %","33,791.00"
"HEI","2024-04-29","580","580.3","570.4","577","0.00 %","9,318.00"
"HEI","2024-04-28","582","584.6","572","577","0.96 %","8,438.00"
"HEI","2024-04-25","580","591","568.2","571.5","0.26 %","15,617.00"
"HEI","2024-04-24","579.9","585","570","570","-2.03 %","11,892.00"
"HEI","2024-04-22","575","583.7","570","581.8","0.43 %","5,141.00"
"HEI","2024-04-21","558","579.3","558","579.3","1.99 %","4,167.00"
"HEI","2024-04-18","571.1","579.9","567","568","-2.41 %","10,143.00"
"HEI","2024-04-16","567.2","584.1","567","582","0.61 %","10,942.00"
"HEI","2024-04-15","575","582","573","578.5","0.42 %","10,945.00"
"HEI","2024-04-14","595","595","575","576.1","-2.52 %","14,523.00"
"HEI","2024-04-10","602.6","608","590","591","-1.50 %","26,400.00"
"HEI","2024-04-09","590","601.8","580.4","600","3.45 %","30,892.00"
"HEI","2024-04-07","575","580","563.5","580","2.27 %","10,620.00"
"HEI","2024-04-04","554","571.2","553.3","567.1","0.73 %","9,730.00"
"HEI","2024-04-03","565.5","569","560","563","-1.07 %","11,261.00"
"HEI","2024-04-02","587","587","569.1","569.1","-1.37 %","17,742.00"
"HEI","2024-04-01","575","585.4","568","577","-1.20 %","33,302.00"
"HEI","2024-03-31","588","588","576","584","0.81 %","14,162.00"
"HEI","2024-03-28","577","580","575","579.3","-0.46 %","11,282.00"
"HEI","2024-03-27","594","594","582","582","-0.85 %","8,397.00"
"HEI","2024-03-26","583.1","590","583.1","587","-0.31 %","7,715.00"
"HEI","2024-03-25","603","603","582.1","588.8","-0.54 %","15,049.00"
"HEI","2024-03-21","597.4","605","590.3","592","-0.50 %","13,534.00"
"HEI","2024-03-20","606.5","606.5","590.2","595","-0.50 %","13,652.00"
"HEI","2024-03-19","602","605","596.3","598","-0.50 %","16,469.00"
"HEI","2024-03-18","595","605","595","601","0.50 %","40,070.00"
"HEI","2024-03-17","590","609.7","587.1","598","0.50 %","22,770.00"
"HEI","2024-03-14","610","610.1","590","595","-2.30 %","27,261.00"
"HEI","2024-03-13","607","617","603","609","-0.49 %","29,379.00"
"HEI","2024-03-12","595","615","591","612","3.55 %","55,023.00"
"HEI","2024-03-10","566","593","566","591","2.78 %","34,007.00"
"HEI","2024-03-07","549","584.3","549","575","2.68 %","36,531.00"
"HEI","2024-03-06","548.1","580","540","560","1.86 %","22,836.00"
