"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"IGI","2024-08-11","673.9","697","665","696","5.14 %","292,834.00"
"IGI","2024-08-08","668.9","678","656","662","0.91 %","317,057.00"
"IGI","2024-08-07","631","656.7","621.1","656","3.96 %","115,583.00"
"IGI","2024-08-06","676","678","630","631","-6.10 %","274,278.00"
"IGI","2024-08-05","675","687","664.5","672","0.67 %","232,496.00"
"IGI","2024-08-01","651","692","650","667.5","2.53 %","231,136.00"
"IGI","2024-07-31","649.7","663","638.2","651","2.20 %","180,963.00"
"IGI","2024-07-30","630.3","647.7","623","637","0.30 %","179,735.00"
"IGI","2024-07-29","658.6","671","635","635.1","-3.55 %","181,469.00"
"IGI","2024-07-28","647.1","660","622","658.5","3.78 %","214,836.00"
"IGI","2024-07-25","617","640","609","634.5","2.84 %","302,611.00"
"IGI","2024-07-24","632","633","600","617","-0.45 %","175,729.00"
"IGI","2024-07-23","585","619.8","580","619.8","6.86 %","187,040.00"
"IGI","2024-07-22","589","590","573","580","0.00 %","105,485.00"
"IGI","2024-07-21","585","592.6","571","580","0.87 %","168,927.00"
"IGI","2024-07-18","580","590","570","575","-0.35 %","219,272.00"
"IGI","2024-07-17","578.3","580","560.1","577","1.76 %","113,901.00"
"IGI","2024-07-16","557","567","550","567","1.61 %","52,754.00"
"IGI","2024-07-15","580.3","580.3","556.1","558","-1.93 %","64,855.00"
"IGI","2024-07-14","568","589","558","569","2.17 %","58,530.00"
"IGI","2024-07-11","551","560","545.2","556.9","1.27 %","79,906.00"
"IGI","2024-07-10","539","549.9","537","549.9","2.31 %","70,999.00"
"IGI","2024-07-09","544","544","532","537.5","-1.38 %","37,012.00"
"IGI","2024-07-08","535","545","533","545","0.18 %","35,956.00"
"IGI","2024-07-07","533","548","533","544","2.26 %","69,047.00"
"IGI","2024-07-04","531.9","536.9","524","532","0.38 %","46,939.00"
"IGI","2024-07-03","522","530","522","530","-0.09 %","33,042.00"
"IGI","2024-07-02","529.3","550.5","524","530.5","2.22 %","48,145.00"
"IGI","2024-07-01","513","522.5","513","519","1.29 %","17,069.00"
"IGI","2024-06-30","517.1","524","512.4","512.4","-0.87 %","29,076.00"
"IGI","2024-06-27","508","527","508","516.9","-0.21 %","14,616.00"
"IGI","2024-06-26","524","524","515.6","518","-0.58 %","20,530.00"
"IGI","2024-06-25","525","527.9","518","521","-0.55 %","29,727.00"
"IGI","2024-06-24","527.9","527.9","520.3","523.9","0.21 %","26,197.00"
"IGI","2024-06-23","532","532","519.2","522.8","0.15 %","30,358.00"
"IGI","2024-06-20","526","527","520","522","-0.57 %","26,095.00"
"IGI","2024-06-19","523","531","521.2","525","0.29 %","18,232.00"
"IGI","2024-06-18","535","535","523.1","523.5","-0.70 %","21,651.00"
"IGI","2024-06-16","535","540","527.1","527.2","-0.90 %","24,057.00"
"IGI","2024-06-13","535.2","539","530.3","532","-1.30 %","28,676.00"
"IGI","2024-06-12","550","551.9","535.1","539","-0.74 %","45,815.00"
"IGI","2024-06-11","534","549","527.1","543","2.84 %","58,936.00"
"IGI","2024-06-10","521","530.9","519","528","1.34 %","43,694.00"
"IGI","2024-06-09","526","528.9","520.1","521","-1.08 %","34,590.00"
"IGI","2024-06-06","534.9","534.9","523.8","526.7","-0.32 %","16,145.00"
"IGI","2024-06-05","530","537","520.4","528.4","-0.30 %","15,664.00"
"IGI","2024-06-04","540.4","540.4","525.4","530","0.02 %","51,299.00"
"IGI","2024-06-03","542.6","542.6","525","529.9","-0.39 %","31,531.00"
"IGI","2024-06-02","536","546","526.2","532","0.38 %","20,102.00"
"IGI","2024-05-30","535","535","527","530","-0.93 %","36,113.00"
"IGI","2024-05-29","553.3","553.3","535","535","-1.38 %","29,939.00"
"IGI","2024-05-27","542","549","540","542.5","-0.46 %","34,882.00"
"IGI","2024-05-26","555","555","545","545","-1.27 %","20,163.00"
"IGI","2024-05-22","564","564","550","552","-0.72 %","60,481.00"
"IGI","2024-05-21","553.5","560","550","556","0.45 %","42,225.00"
"IGI","2024-05-20","571.9","580","551","553.5","-1.69 %","91,956.00"
"IGI","2024-05-19","545.7","566.5","538","563","5.23 %","164,132.00"
"IGI","2024-05-16","531","539.9","529.5","535","-0.07 %","23,387.00"
"IGI","2024-05-15","536","549","535.2","535.4","-0.69 %","37,588.00"
"IGI","2024-05-14","527.1","543.5","527.1","539.1","1.53 %","30,692.00"
"IGI","2024-05-13","533.2","542","525.3","531","-0.93 %","18,491.00"
"IGI","2024-05-12","540.6","546","530","536","1.13 %","32,265.00"
"IGI","2024-05-09","530","531","525.1","530","0.76 %","10,608.00"
"IGI","2024-05-08","523.8","532","522","526","0.48 %","18,169.00"
"IGI","2024-05-07","534","534","523","523.5","-0.15 %","11,329.00"
"IGI","2024-05-06","534","535.2","524.3","524.3","-1.82 %","13,286.00"
"IGI","2024-05-05","546","546","527.3","534","-0.37 %","28,837.00"
"IGI","2024-05-02","548.7","559.5","535.1","536","-0.37 %","42,093.00"
"IGI","2024-04-30","522","543","522","538","2.67 %","27,681.00"
"IGI","2024-04-29","525","530","518.4","524","-0.19 %","9,484.00"
"IGI","2024-04-28","521","529.9","517.3","525","1.80 %","15,117.00"
"IGI","2024-04-25","521","526","515.2","515.7","-0.46 %","17,400.00"
"IGI","2024-04-24","520","523.8","518.1","518.1","-0.37 %","7,441.00"
"IGI","2024-04-22","528","528","518.3","520","-0.95 %","7,521.00"
"IGI","2024-04-21","517.1","530","515","525","0.67 %","31,296.00"
"IGI","2024-04-18","515","526","515","521.5","0.58 %","11,633.00"
"IGI","2024-04-16","520.2","525","518","518.5","-0.33 %","13,859.00"
"IGI","2024-04-15","529","530.1","520.2","520.2","-1.48 %","8,426.00"
"IGI","2024-04-14","535.1","539.9","524.3","528","-1.69 %","40,199.00"
"IGI","2024-04-10","554.8","554.8","536","537.1","-1.50 %","20,399.00"
"IGI","2024-04-09","537","552","534","545.3","1.64 %","67,826.00"
"IGI","2024-04-07","520.3","537.9","520.3","536.5","2.33 %","47,700.00"
"IGI","2024-04-04","526","529","519.2","524.3","-0.13 %","30,983.00"
"IGI","2024-04-03","538.7","538.7","524.5","525","-0.61 %","16,510.00"
"IGI","2024-04-02","545.5","545.5","528","528.2","-1.25 %","7,948.00"
"IGI","2024-04-01","529.2","539.7","529","534.9","-0.94 %","15,385.00"
"IGI","2024-03-31","535","541","532.4","540","1.29 %","11,847.00"
"IGI","2024-03-28","536","545","531","533.1","-0.69 %","36,590.00"
"IGI","2024-03-27","533.7","545","533.7","536.8","-1.12 %","24,561.00"
"IGI","2024-03-26","552","552","535.2","542.9","-0.20 %","20,944.00"
"IGI","2024-03-25","535","545","535","544","0.04 %","22,079.00"
"IGI","2024-03-21","554.6","554.6","535","543.8","0.00 %","24,566.00"
"IGI","2024-03-20","553","553","541","543.8","-0.04 %","18,121.00"
"IGI","2024-03-19","555","555","542.3","544","-0.24 %","30,149.00"
"IGI","2024-03-18","554","555","545","545.3","-0.84 %","23,756.00"
"IGI","2024-03-17","550.1","560","545.3","549.9","-0.20 %","32,778.00"
"IGI","2024-03-14","561","566","545","551","-1.78 %","46,184.00"
"IGI","2024-03-13","580.3","580.3","557.1","561","-1.41 %","55,712.00"
"IGI","2024-03-12","560","569.9","552","569","3.45 %","73,921.00"
"IGI","2024-03-10","543.8","560","540","550","1.14 %","47,293.00"
"IGI","2024-03-07","524.1","544.5","524.1","543.8","2.60 %","29,666.00"
"IGI","2024-03-06","525","541.8","515","530","-0.73 %","96,918.00"
"IGI","2024-03-05","559","559","520","533.9","-4.49 %","78,926.00"
"IGI","2024-03-04","529","559","529","559","7.77 %","1,767.00"
"IGI","2024-03-03","515","530","507","518.7","-1.20 %","68,883.00"
"IGI","2024-02-29","530","539","520.1","525","-2.42 %","21,359.00"
"IGI","2024-02-28","540","543","526","538","0.98 %","29,422.00"
"IGI","2024-02-27","539.5","540","528.2","532.8","0.72 %","19,107.00"
"IGI","2024-02-26","532.9","540","526","529","0.00 %","30,298.00"
"IGI","2024-02-25","546.9","546.9","520","529","-1.49 %","19,851.00"
"IGI","2024-02-22","540.1","554","535.2","537","-0.57 %","24,103.00"
"IGI","2024-02-21","557.9","557.9","540","540.1","-1.98 %","31,327.00"
"IGI","2024-02-20","555","556.9","550","551","-0.02 %","24,465.00"
"IGI","2024-02-18","560","560","550.3","551.1","-2.11 %","40,394.00"
"IGI","2024-02-15","563","567.9","559","563","-0.18 %","32,151.00"
"IGI","2024-02-14","561","568","560","564","-0.53 %","41,260.00"
"IGI","2024-02-13","560","570","560","567","0.00 %","107,726.00"
"IGI","2024-02-12","575","575","564.2","567","0.18 %","45,109.00"
"IGI","2024-02-11","571","574.8","563.1","566","0.00 %","29,981.00"
"IGI","2024-02-08","565","571","560","566","0.87 %","44,181.00"
"IGI","2024-02-07","550.8","573","550.8","561.1","-0.16 %","59,073.00"
"IGI","2024-02-06","570","570","560","562","0.54 %","76,691.00"
"IGI","2024-02-05","571","571","555.8","559","-0.18 %","29,111.00"
"IGI","2024-02-04","582.4","582.4","556.2","560","-1.93 %","66,404.00"
"IGI","2024-02-01","568","577","560","571","-1.25 %","124,960.00"
"IGI","2024-01-31","590","601","564.5","578.2","-1.16 %","136,283.00"
"IGI","2024-01-30","586","591","576.1","585","1.77 %","173,072.00"
"IGI","2024-01-29","565","576","565","574.8","1.73 %","110,408.00"
"IGI","2024-01-28","570.9","570.9","555","565","0.89 %","60,959.00"
"IGI","2024-01-25","583.9","583.9","556.7","560","-2.18 %","76,589.00"
"IGI","2024-01-24","570","580","563","572.5","-1.29 %","172,211.00"
"IGI","2024-01-23","550","580","542","580","7.21 %","75,601.00"
"IGI","2024-01-22","544","555","540","541","-1.44 %","48,661.00"
"IGI","2024-01-21","558","564","546.1","548.9","-1.49 %","62,426.00"
"IGI","2024-01-18","559","563","550","557.2","-0.61 %","100,723.00"
"IGI","2024-01-17","564","576","560","560.6","-0.30 %","116,791.00"
"IGI","2024-01-16","550.9","570","540","562.3","3.54 %","69,015.00"
"IGI","2024-01-14","540","551","535","543.1","-0.35 %","77,336.00"
"IGI","2024-01-11","560","560","545","545","-1.45 %","63,325.00"
"IGI","2024-01-10","572","572","553","553","-1.78 %","38,330.00"
"IGI","2024-01-09","575","575","560","563","-0.88 %","73,502.00"
"IGI","2024-01-08","556.9","569","548","568","4.03 %","69,720.00"
"IGI","2024-01-07","552","558","542","546","-1.09 %","41,334.00"
"IGI","2024-01-04","570","580","552","552","-1.25 %","92,256.00"
"IGI","2024-01-03","563","568","552.5","559","-0.18 %","47,774.00"
"IGI","2024-01-02","568","574","551","560","-2.95 %","78,582.00"
"IGI","2024-01-01","587.9","594","571.5","577","-1.03 %","125,142.00"
"IGI","2023-12-28","580","591.9","576","583","1.57 %","162,169.00"
"IGI","2023-12-27","578","589","566","574","0.02 %","104,205.00"
"IGI","2023-12-24","566","591","560","573.9","3.03 %","196,128.00"
"IGI","2023-12-21","589.8","589.8","555","557","-3.68 %","93,145.00"
"IGI","2023-12-20","595","599.7","576","578.3","-1.65 %","132,170.00"
"IGI","2023-12-19","571.2","600.9","557","588","5.00 %","147,950.00"
"IGI","2023-12-18","569","569","550","560","0.38 %","139,238.00"
"IGI","2023-12-17","536","557.9","526.1","557.9","2.18 %","105,099.00"
"IGI","2023-12-14","535","546","535","546","1.07 %","67,537.00"
"IGI","2023-12-13","566.1","566.1","540.1","540.2","-2.67 %","59,395.00"
"IGI","2023-12-12","559.8","563.9","532","555","1.11 %","70,680.00"
"IGI","2023-12-11","533","549","509.6","548.9","4.95 %","181,104.00"
"IGI","2023-12-10","499.8","524.2","499.8","523","6.73 %","7,265.00"
"IGI","2023-12-07","478","499.9","476","490","1.87 %","67,723.00"
"IGI","2023-12-06","471.4","487.9","471.4","481","0.21 %","20,485.00"
"IGI","2023-12-05","480","486","475.3","480","0.00 %","12,764.00"
"IGI","2023-12-04","480","485.8","470","480","1.91 %","12,059.00"
"IGI","2023-12-03","480.8","480.8","466","471","-0.21 %","9,611.00"
"IGI","2023-11-30","492","492.9","471.6","472","-3.06 %","17,395.00"
"IGI","2023-11-29","497","499.8","483.1","486.9","-2.58 %","22,503.00"
"IGI","2023-11-28","499","503","490","499.8","0.16 %","13,582.00"
"IGI","2023-11-27","514","514","494.1","499","-0.99 %","32,344.00"
"IGI","2023-11-26","465","505","465","504","7.46 %","51,235.00"
"IGI","2023-11-23","460","472","441.8","469","3.88 %","24,127.00"
