"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"JBBL","2024-08-11","367","374.3","360","374","3.89 %","214,643.00"
"JBBL","2024-08-08","373.8","373.8","358","360","-1.77 %","155,424.00"
"JBBL","2024-08-07","350","369","345.2","366.5","4.12 %","152,510.00"
"JBBL","2024-08-06","371.6","380","350","352","-7.15 %","280,530.00"
"JBBL","2024-08-05","390","390","372","379.1","-2.54 %","243,091.00"
"JBBL","2024-08-01","395","403.8","385","389","-1.02 %","285,780.00"
"JBBL","2024-07-31","375.1","403.9","373","393","4.83 %","382,117.00"
"JBBL","2024-07-30","360","380","350.1","374.9","2.99 %","257,019.00"
"JBBL","2024-07-29","385","385.4","364","364","-3.70 %","208,704.00"
"JBBL","2024-07-28","355.9","378.4","353","378","8.31 %","315,999.00"
"JBBL","2024-07-25","351.9","351.9","340.2","349","1.16 %","161,475.00"
"JBBL","2024-07-24","360","365","340","345","-2.82 %","270,211.00"
"JBBL","2024-07-23","343","355.9","337.5","355","3.23 %","205,026.00"
"JBBL","2024-07-22","347.9","349","334","343.9","0.35 %","172,320.00"
"JBBL","2024-07-21","345","346.9","335","342.7","1.09 %","235,280.00"
"JBBL","2024-07-18","342.9","352.5","335.1","339","-0.56 %","269,946.00"
"JBBL","2024-07-17","333.5","341.5","324","340.9","4.25 %","228,398.00"
"JBBL","2024-07-16","317.1","327.9","309","327","4.14 %","212,172.00"
"JBBL","2024-07-15","327","327.9","312.7","314","-2.33 %","101,825.00"
"JBBL","2024-07-14","323.8","332","320","321.5","1.26 %","89,671.00"
"JBBL","2024-07-11","322.2","322.2","316.3","317.5","0.16 %","71,603.00"
"JBBL","2024-07-10","323","323","315","317","-0.94 %","94,930.00"
"JBBL","2024-07-09","310","324","310","320","3.29 %","211,039.00"
"JBBL","2024-07-08","310","316","307","309.8","-1.34 %","69,255.00"
"JBBL","2024-07-07","312","318.8","311.5","314","0.64 %","171,832.00"
"JBBL","2024-07-04","302","317","300","312","4.03 %","392,122.00"
"JBBL","2024-07-03","290","300","284.6","299.9","3.41 %","101,050.00"
"JBBL","2024-07-02","290.7","302.4","287","290","1.75 %","62,522.00"
"JBBL","2024-07-01","285.9","285.9","280","285","0.88 %","18,962.00"
"JBBL","2024-06-30","284","284","279.1","282.5","-0.53 %","29,237.00"
"JBBL","2024-06-27","289.7","289.7","281","284","-0.07 %","23,428.00"
"JBBL","2024-06-26","284.2","289.8","284.1","284.2","-1.66 %","17,090.00"
"JBBL","2024-06-25","289","292.7","287","289","0.70 %","39,151.00"
"JBBL","2024-06-24","285","288","283","287","0.81 %","37,293.00"
"JBBL","2024-06-23","290.1","290.1","283.1","284.7","-0.45 %","25,048.00"
"JBBL","2024-06-20","290","290","284","286","0.00 %","40,739.00"
"JBBL","2024-06-19","287","290","285","286","-0.21 %","25,749.00"
"JBBL","2024-06-18","294.5","294.5","286.4","286.6","-0.76 %","26,286.00"
"JBBL","2024-06-16","293","297.4","288.6","288.8","-1.47 %","39,844.00"
"JBBL","2024-06-13","295.8","302.9","285.1","293.1","1.07 %","121,550.00"
"JBBL","2024-06-12","292","293.6","287.5","290","0.17 %","33,673.00"
"JBBL","2024-06-11","285.5","290.6","285.3","289.5","1.29 %","33,373.00"
"JBBL","2024-06-10","283.3","288.8","283.3","285.8","0.28 %","25,552.00"
"JBBL","2024-06-09","285","291","284","285","-0.35 %","22,818.00"
"JBBL","2024-06-06","286.2","288.9","285.5","286","-0.17 %","22,866.00"
"JBBL","2024-06-05","286","288.1","286","286.5","-0.38 %","17,580.00"
"JBBL","2024-06-04","293","293","286","287.6","-0.17 %","37,457.00"
"JBBL","2024-06-03","297","297","288","288.1","-1.34 %","31,495.00"
"JBBL","2024-06-02","289.1","293.2","289","292","0.34 %","31,545.00"
"JBBL","2024-05-30","291","292","288.8","291","-1.02 %","42,063.00"
"JBBL","2024-05-29","296","299.4","292","294","-0.61 %","32,983.00"
"JBBL","2024-05-27","295.2","298.2","294","295.8","0.68 %","22,155.00"
"JBBL","2024-05-26","300.9","300.9","293.2","293.8","-1.41 %","34,812.00"
"JBBL","2024-05-22","300","302.5","296.5","298","0.27 %","54,334.00"
"JBBL","2024-05-21","302","303","296.1","297.2","-0.23 %","36,633.00"
"JBBL","2024-05-20","301","301.3","296.4","297.9","0.34 %","57,990.00"
"JBBL","2024-05-19","301.8","301.8","292.6","296.9","0.34 %","64,399.00"
"JBBL","2024-05-16","298","300","292.3","295.9","-0.70 %","31,917.00"
"JBBL","2024-05-15","299","306","295.6","298","-0.33 %","70,669.00"
"JBBL","2024-05-14","295.1","299","295","299","0.67 %","53,712.00"
"JBBL","2024-05-13","299","299.4","295","297","0.68 %","39,034.00"
"JBBL","2024-05-12","297.8","299.9","291","295","1.03 %","68,136.00"
"JBBL","2024-05-09","285.1","292","285.1","292","1.74 %","48,945.00"
"JBBL","2024-05-08","286","289.8","285","287","-0.35 %","32,437.00"
"JBBL","2024-05-07","295.5","295.5","286.5","288","-1.37 %","31,858.00"
"JBBL","2024-05-06","290","295","290","292","1.04 %","34,252.00"
"JBBL","2024-05-05","289.1","298.9","289","289","-1.90 %","35,663.00"
"JBBL","2024-05-02","305","308.9","293.5","294.6","-3.41 %","86,099.00"
"JBBL","2024-04-30","296.8","311","292","305","4.81 %","228,092.00"
"JBBL","2024-04-29","285.9","294.4","285.9","291","2.11 %","47,538.00"
"JBBL","2024-04-28","277.1","292","275","285","2.41 %","51,216.00"
"JBBL","2024-04-25","280","283.6","278.1","278.3","0.04 %","17,781.00"
"JBBL","2024-04-24","285","285","277.3","278.2","-0.64 %","20,555.00"
"JBBL","2024-04-22","285.1","286","279","280","-1.75 %","29,235.00"
"JBBL","2024-04-21","280","285.9","280","285","1.42 %","25,580.00"
"JBBL","2024-04-18","284.6","286","280.3","281","-3.07 %","34,244.00"
"JBBL","2024-04-16","294.6","294.6","287.6","289.9","0.31 %","33,050.00"
"JBBL","2024-04-15","291","295","288.5","289","-0.69 %","60,256.00"
"JBBL","2024-04-14","292.1","295.9","290.5","291","-1.02 %","18,325.00"
"JBBL","2024-04-10","303","303","292.1","294","-1.67 %","26,471.00"
"JBBL","2024-04-09","300","303","297.6","299","0.67 %","55,808.00"
"JBBL","2024-04-07","287","299.8","287","297","3.59 %","44,481.00"
"JBBL","2024-04-04","287","291.9","286.6","286.7","-0.35 %","30,800.00"
"JBBL","2024-04-03","290","293","287.3","287.7","-0.79 %","12,843.00"
"JBBL","2024-04-02","290","292.7","286.2","290","0.38 %","23,390.00"
"JBBL","2024-04-01","291.9","291.9","287","288.9","-0.14 %","22,956.00"
"JBBL","2024-03-31","292","293","289","289.3","-0.92 %","25,088.00"
"JBBL","2024-03-28","292.9","296.3","288.6","292","-0.31 %","34,604.00"
"JBBL","2024-03-27","293.1","304","291","292.9","-0.71 %","12,823.00"
"JBBL","2024-03-26","298","300","292.3","295","0.68 %","32,009.00"
"JBBL","2024-03-25","300","300","293","293","-2.33 %","19,163.00"
"JBBL","2024-03-21","302","304","298.2","300","-0.66 %","40,699.00"
"JBBL","2024-03-20","309","312","300.9","302","-1.63 %","37,926.00"
"JBBL","2024-03-19","306.1","311","304","307","0.33 %","48,718.00"
"JBBL","2024-03-18","302","309.4","301.5","306","0.86 %","47,349.00"
"JBBL","2024-03-17","300","313","298.1","303.4","1.78 %","65,140.00"
"JBBL","2024-03-14","305.9","306","298","298.1","-1.94 %","29,728.00"
"JBBL","2024-03-13","312.1","315","303.3","304","-0.65 %","64,001.00"
"JBBL","2024-03-12","300","306","298.3","306","2.68 %","61,236.00"
"JBBL","2024-03-10","295","301","295","298","1.02 %","32,045.00"
"JBBL","2024-03-07","296.8","297","292.3","295","0.72 %","22,246.00"
"JBBL","2024-03-06","291","298","288.1","292.9","0.65 %","43,210.00"
"JBBL","2024-03-05","305","305","290.7","291","-4.56 %","40,959.00"
"JBBL","2024-03-04","288.6","306","288.6","304.9","7.74 %","8,975.00"
