"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"JSLBB","2024-08-11","1452","1476","1438","1476","3.66 %","4,827.00"
"JSLBB","2024-08-08","1468.8","1495","1391","1423.9","-1.12 %","4,709.00"
"JSLBB","2024-08-07","1420","1455","1390","1440","2.35 %","1,745.00"
"JSLBB","2024-08-06","1530","1530","1375","1407","-7.43 %","5,239.00"
"JSLBB","2024-08-05","1508","1525","1500","1520","-0.59 %","1,988.00"
"JSLBB","2024-08-01","1558","1620","1516","1529","0.07 %","5,208.00"
"JSLBB","2024-07-31","1535.1","1584","1511","1528","-1.93 %","3,256.00"
"JSLBB","2024-07-30","1535","1565","1518","1558","2.84 %","2,139.00"
"JSLBB","2024-07-29","1600","1600","1515","1515","-5.31 %","4,697.00"
"JSLBB","2024-07-28","1681.9","1681.9","1582","1600","-2.97 %","2,752.00"
"JSLBB","2024-07-25","1596","1655","1555.1","1649","4.37 %","9,455.00"
"JSLBB","2024-07-24","1600.9","1600.9","1544","1580","-1.37 %","2,196.00"
"JSLBB","2024-07-23","1602","1615","1552","1602","1.84 %","2,973.00"
"JSLBB","2024-07-22","1659.1","1659.1","1536.8","1573","-3.91 %","5,614.00"
"JSLBB","2024-07-21","1658","1658","1606","1637","0.55 %","2,412.00"
"JSLBB","2024-07-18","1560","1680","1540","1628","5.71 %","15,809.00"
"JSLBB","2024-07-17","1470","1560","1470","1540","4.55 %","7,411.00"
"JSLBB","2024-07-16","1453.6","1480","1422","1473","3.36 %","1,147.00"
"JSLBB","2024-07-15","1509","1509","1425.1","1425.1","-3.71 %","2,367.00"
"JSLBB","2024-07-14","1499.4","1529","1469","1480","0.68 %","4,651.00"
"JSLBB","2024-07-11","1525.9","1525.9","1456","1470","-1.74 %","3,181.00"
"JSLBB","2024-07-10","1451.2","1528.1","1451.2","1496","4.14 %","8,488.00"
"JSLBB","2024-07-09","1414","1439","1412","1436.5","2.97 %","2,877.00"
"JSLBB","2024-07-08","1432.9","1432.9","1382","1395","-0.71 %","870.00"
"JSLBB","2024-07-07","1332.9","1438","1332.9","1405","3.30 %","1,853.00"
"JSLBB","2024-07-04","1390","1392","1352","1360.1","-0.87 %","1,930.00"
"JSLBB","2024-07-03","1392","1392","1338.2","1372","0.51 %","1,574.00"
"JSLBB","2024-07-02","1351.6","1430","1351.6","1365","3.01 %","795.00"
"JSLBB","2024-07-01","1390","1390","1325","1325.1","-3.14 %","978.00"
"JSLBB","2024-06-30","1395","1400","1368","1368","-1.94 %","453.00"
"JSLBB","2024-06-27","1397","1414","1386.1","1395","-0.07 %","556.00"
"JSLBB","2024-06-26","1448","1448","1375","1396","-1.68 %","1,270.00"
"JSLBB","2024-06-25","1395","1419.9","1391","1419.9","1.78 %","1,624.00"
"JSLBB","2024-06-24","1401.5","1401.5","1370","1395","0.79 %","2,480.00"
"JSLBB","2024-06-23","1355.5","1384.5","1330.2","1384","0.07 %","1,250.00"
"JSLBB","2024-06-20","1399","1404.5","1371","1383","0.44 %","965.00"
"JSLBB","2024-06-19","1400","1400","1377","1377","-0.94 %","1,198.00"
"JSLBB","2024-06-18","1380","1400","1360.2","1390","-0.29 %","556.00"
"JSLBB","2024-06-16","1428","1428","1370","1394","-0.43 %","1,331.00"
"JSLBB","2024-06-13","1402","1430","1395.2","1400","-2.10 %","2,073.00"
"JSLBB","2024-06-12","1430","1450","1401.4","1430","1.78 %","1,858.00"
"JSLBB","2024-06-11","1420","1420","1392.1","1405","-0.35 %","2,635.00"
"JSLBB","2024-06-10","1401","1435","1397","1410","0.64 %","1,377.00"
"JSLBB","2024-06-09","1460","1460","1400","1401","-3.91 %","2,974.00"
"JSLBB","2024-06-06","1413","1503","1371","1458","5.04 %","18,756.00"
"JSLBB","2024-06-05","1382","1416","1365","1388.1","0.44 %","4,485.00"
"JSLBB","2024-06-04","1360","1387.2","1360","1382","1.62 %","5,159.00"
"JSLBB","2024-06-03","1283","1370","1283","1360","4.86 %","2,812.00"
"JSLBB","2024-06-02","1299.4","1325.3","1275","1297","1.81 %","1,525.00"
"JSLBB","2024-05-30","1346.4","1346.4","1274","1274","-3.48 %","3,562.00"
"JSLBB","2024-05-29","1390.2","1390.2","1316.5","1320","-3.15 %","1,276.00"
"JSLBB","2024-05-27","1333","1369.9","1313","1363","2.16 %","1,477.00"
"JSLBB","2024-05-26","1416","1416","1300","1334.2","-3.95 %","2,231.00"
"JSLBB","2024-05-22","1424","1424","1365","1389","-0.79 %","995.00"
"JSLBB","2024-05-21","1387","1425","1373","1400","0.00 %","7,070.00"
"JSLBB","2024-05-20","1460","1475","1390","1400","-2.45 %","5,843.00"
"JSLBB","2024-05-19","1485","1485","1376","1435.1","-1.71 %","3,566.00"
"JSLBB","2024-05-16","1397","1475","1369.1","1460","6.57 %","12,806.00"
"JSLBB","2024-05-15","1374.2","1461","1347.3","1370","1.68 %","6,560.00"
"JSLBB","2024-05-14","1239","1347.3","1239","1347.3","9.99 %","14,050.00"
"JSLBB","2024-05-13","1214.8","1230","1191","1224.9","2.85 %","2,246.00"
"JSLBB","2024-05-12","1225","1235","1190.8","1191","-2.62 %","2,066.00"
"JSLBB","2024-05-09","1264.9","1285","1223.1","1223.1","-1.37 %","4,688.00"
"JSLBB","2024-05-08","1237.3","1256.9","1216","1240.1","2.23 %","2,450.00"
"JSLBB","2024-05-07","1200","1240","1200","1213.1","2.11 %","1,059.00"
"JSLBB","2024-05-06","1200","1220","1181","1188","-2.62 %","2,313.00"
"JSLBB","2024-05-05","1206","1295","1205","1220","-0.81 %","3,971.00"
"JSLBB","2024-05-02","1157","1248.5","1157","1230","8.37 %","6,156.00"
"JSLBB","2024-04-30","1111.1","1146","1080","1135","1.07 %","1,967.00"
"JSLBB","2024-04-29","1133","1133","1105.2","1123","1.08 %","900.00"
"JSLBB","2024-04-28","1152","1152","1111","1111","-1.68 %","517.00"
"JSLBB","2024-04-25","1116.1","1138","1103.1","1130","1.25 %","1,016.00"
"JSLBB","2024-04-24","1130","1139","1081","1116.1","-0.35 %","1,266.00"
"JSLBB","2024-04-22","1142","1155.5","1100","1120","0.00 %","839.00"
"JSLBB","2024-04-21","1121","1142","1100","1120","1.81 %","2,511.00"
"JSLBB","2024-04-18","1140","1140","1100.1","1100.1","-2.21 %","1,277.00"
"JSLBB","2024-04-16","1162","1183.9","1125","1125","-5.06 %","1,429.00"
"JSLBB","2024-04-15","1199","1245","1163.3","1185","-0.08 %","6,991.00"
"JSLBB","2024-04-14","1120","1199","1106","1186","5.15 %","2,342.00"
"JSLBB","2024-04-10","1151.1","1151.1","1120","1127.9","-3.02 %","1,857.00"
"JSLBB","2024-04-09","1200","1210","1157.5","1163","-1.86 %","2,224.00"
"JSLBB","2024-04-07","1150","1243","1150","1185","4.87 %","7,794.00"
"JSLBB","2024-04-04","1095","1135","1070","1130","3.20 %","7,196.00"
