"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KADBL","2020-02-09","277","290","274","283","3.28 %","10,350.00"
"KADBL","2020-02-06","265","280","265","274","1.48 %","13,886.00"
"KADBL","2020-02-05","265","280","260","270","0.00 %","2,978.00"
"KADBL","2020-02-04","268","275","268","271","1.12 %","12,007.00"
"KADBL","2020-02-03","264","268","263","268","-0.37 %","6,328.00"
"KADBL","2020-02-02","264","269","264","269","0.75 %","1,908.00"
"KADBL","2020-01-30","263","267","258","267","-0.37 %","6,100.00"
"KADBL","2020-01-29","255","268","251","268","3.08 %","4,140.00"
"KADBL","2020-01-28","255","267","255","260","0.78 %","9,692.00"
"KADBL","2020-01-27","244","258","244","258","4.03 %","5,700.00"
"KADBL","2020-01-26","251","255","246","248","-3.12 %","3,961.00"
"KADBL","2020-01-23","243","266","242","256","4.07 %","2,051.00"
"KADBL","2020-01-22","264","265","240","243","-8.65 %","6,362.00"
"KADBL","2020-01-21","270","274","261","266","-3.27 %","4,330.00"
"KADBL","2020-01-20","285","285","280","280","-3.45 %","170.00"
"KADBL","2020-01-19","296","298","290","290","-1.02 %","1,305.00"
"KADBL","2020-01-16","283","293","274","293","5.40 %","7,864.00"
"KADBL","2020-01-15","268","278","263","278","5.70 %","32,404.00"
"KADBL","2020-01-14","252","263","252","263","6.05 %","3,060.00"
"KADBL","2020-01-13","245","256","243","248","2.90 %","7,480.00"
"KADBL","2020-01-12","236","241","236","241","3.43 %","2,810.00"
"KADBL","2020-01-09","226","233","226","233","1.75 %","2,819.00"
"KADBL","2020-01-08","225","231","223","229","0.00 %","3,506.00"
"KADBL","2020-01-07","224","229","223","229","4.09 %","2,453.00"
"KADBL","2020-01-06","224","225","220","220","-1.79 %","2,420.00"
"KADBL","2020-01-05","210","224","210","224","7.18 %","6,881.00"
"KADBL","2020-01-02","209","209","209","209","-0.48 %","100.00"
"KADBL","2020-01-01","210","210","210","210","-1.87 %","60.00"
"KADBL","2019-12-31","215","217","213","214","-1.09 %","1,980.00"
"KADBL","2019-12-30","235","238","226","238","-0.42 %","8,512.00"
"KADBL","2019-12-29","232","239","230","239","4.82 %","19,425.00"
"KADBL","2019-12-26","230","242","224","228","0.88 %","27,659.00"
"KADBL","2019-12-25","210","226","210","226","9.71 %","24,874.00"
"KADBL","2019-12-24","191","206","191","206","9.57 %","2,293.00"
"KADBL","2019-12-23","188","191","188","188","1.62 %","160.00"
"KADBL","2019-12-22","182","185","182","185","0.00 %","69.00"
"KADBL","2019-12-15","185","185","185","185","-1.60 %","4,000.00"
"KADBL","2019-12-12","191","191","188","188","-2.59 %","72.00"
"KADBL","2019-12-10","193","193","193","193","1.58 %","34.00"
"KADBL","2019-12-09","184","190","184","190","4.97 %","332.00"
"KADBL","2019-12-08","172","181","172","181","7.10 %","60.00"
"KADBL","2019-12-04","169","169","169","169","-0.59 %","163.00"
"KADBL","2019-12-02","170","170","170","170","0.59 %","153.00"
"KADBL","2019-11-26","170","170","169","169","1.20 %","930.00"
"KADBL","2019-11-11","168","168","167","167","-0.60 %","519.00"
"KADBL","2019-11-10","168","168","168","168","1.82 %","590.00"
"KADBL","2019-11-07","166","169","165","165","-1.79 %","1,121.00"
"KADBL","2019-11-04","168","168","168","168","-1.18 %","10.00"
"KADBL","2019-11-03","171","171","170","170","-0.58 %","685.00"
"KADBL","2019-10-31","171","171","171","171","0.59 %","60.00"
"KADBL","2019-10-24","170","170","170","170","-0.58 %","306.00"
"KADBL","2019-09-29","171","171","171","171","-1.72 %","100.00"
"KADBL","2019-09-24","180","180","174","174","-4.92 %","1,721.00"
"KADBL","2019-09-23","183","183","183","183","-1.61 %","536.00"
"KADBL","2019-09-19","186","186","186","186","1.64 %","10.00"
"KADBL","2019-09-18","177","183","177","183","3.39 %","8,769.00"
"KADBL","2019-09-10","181","181","177","177","-3.80 %","1,398.00"
"KADBL","2019-08-25","186","186","186","186","-1.59 %","20.00"
