"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KPCL","2024-08-11","555.9","561","540","559","2.57 %","65,933.00"
"KPCL","2024-08-08","562","562","540","545","-1.09 %","29,812.00"
"KPCL","2024-08-07","538.5","559","528","551","4.36 %","61,648.00"
"KPCL","2024-08-06","531.3","581.5","523.4","528","-1.12 %","114,193.00"
"KPCL","2024-08-05","520","550","511","534","0.75 %","42,759.00"
"KPCL","2024-08-01","538","538","517.5","530","-0.75 %","31,280.00"
"KPCL","2024-07-31","549","563","531","534","-1.09 %","83,048.00"
"KPCL","2024-07-30","507","544","505","539.9","4.83 %","73,409.00"
"KPCL","2024-07-29","520.1","535.9","515","515","-0.96 %","46,565.00"
"KPCL","2024-07-28","529.7","550","505","520","0.12 %","49,830.00"
"KPCL","2024-07-25","530","534","509.6","519.4","-3.81 %","79,233.00"
"KPCL","2024-07-24","546","553","520","540","-0.55 %","74,929.00"
"KPCL","2024-07-23","514","565","514","543","3.63 %","110,399.00"
"KPCL","2024-07-22","501.8","529","492","524","6.50 %","118,660.00"
"KPCL","2024-07-21","496.7","500","478.1","492","1.03 %","68,813.00"
"KPCL","2024-07-18","490.1","510.2","481.8","487","-1.62 %","67,979.00"
"KPCL","2024-07-17","500.8","510","490","495","0.81 %","53,036.00"
"KPCL","2024-07-16","465","493","465","491","5.59 %","75,249.00"
"KPCL","2024-07-15","460","478","451","465","1.09 %","52,210.00"
"KPCL","2024-07-14","462.5","471","450.1","460","1.43 %","18,630.00"
"KPCL","2024-07-11","445.1","459","445.1","453.5","0.33 %","65,668.00"
"KPCL","2024-07-10","460","460","446.1","452","-0.22 %","10,225.00"
"KPCL","2024-07-09","455","456.5","450","453","-1.31 %","42,812.00"
"KPCL","2024-07-08","446","460","446","459","1.73 %","18,892.00"
"KPCL","2024-07-07","463","463","446","451.2","-0.62 %","10,712.00"
"KPCL","2024-07-04","460","460","450","454","-0.85 %","72,678.00"
"KPCL","2024-07-03","445.1","457.9","445.1","457.9","1.08 %","19,454.00"
"KPCL","2024-07-02","450.8","468.9","448","453","2.49 %","16,409.00"
"KPCL","2024-07-01","455.9","455.9","441","442","-1.12 %","15,047.00"
"KPCL","2024-06-30","469.2","469.2","445","447","-2.83 %","13,314.00"
"KPCL","2024-06-27","455","480","454","460","-0.43 %","33,393.00"
"KPCL","2024-06-26","453.1","483","453.1","462","1.09 %","49,745.00"
"KPCL","2024-06-25","447","471","447","457","1.11 %","25,040.00"
"KPCL","2024-06-24","451","467","448","452","-1.31 %","36,026.00"
"KPCL","2024-06-23","457","466","455","458","-0.43 %","28,888.00"
"KPCL","2024-06-20","459.9","477","445.1","460","2.00 %","32,269.00"
"KPCL","2024-06-19","451.1","469","451","451","-1.96 %","13,663.00"
"KPCL","2024-06-18","460","465","451.3","460","-1.84 %","47,941.00"
"KPCL","2024-06-16","470.1","482.4","468.1","468.6","-2.15 %","40,586.00"
"KPCL","2024-06-13","488.5","495","470.2","478.9","-1.46 %","44,886.00"
"KPCL","2024-06-12","475.3","504","475.3","486","0.23 %","62,102.00"
"KPCL","2024-06-11","462","490","462","484.9","7.04 %","124,460.00"
"KPCL","2024-06-10","448.7","486","440.1","453","2.49 %","162,595.00"
"KPCL","2024-06-09","450","450","434","442","-0.34 %","41,069.00"
"KPCL","2024-06-06","431.1","444.4","431.1","443.5","1.03 %","63,306.00"
"KPCL","2024-06-05","439","456","429.5","439","-1.97 %","42,509.00"
"KPCL","2024-06-04","460","460","435.2","447.8","-1.13 %","25,679.00"
"KPCL","2024-06-03","468","468","431.9","452.9","-1.33 %","55,085.00"
"KPCL","2024-06-02","438","464.7","434.3","459","5.66 %","95,133.00"
"KPCL","2024-05-30","429.9","447","422","434.4","1.05 %","34,856.00"
