"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LEC","2024-08-11","243.7","262.9","238.1","261","9.21 %","497,820.00"
"LEC","2024-08-08","236","249","235.4","239","2.14 %","362,025.00"
"LEC","2024-08-07","225","238","220","234","4.93 %","186,835.00"
"LEC","2024-08-06","240","240","221.5","223","-5.39 %","274,895.00"
"LEC","2024-08-05","235","243.5","228","235.7","2.03 %","218,249.00"
"LEC","2024-08-01","240","242","230.5","231","-3.35 %","260,151.00"
"LEC","2024-07-31","242","255","234","239","0.00 %","435,012.00"
"LEC","2024-07-30","220.5","247.1","220.5","239","6.22 %","254,286.00"
"LEC","2024-07-29","228","237","224.5","225","-0.88 %","244,487.00"
"LEC","2024-07-28","228.4","239.7","223.3","227","1.34 %","135,834.00"
"LEC","2024-07-25","228","230.6","221","224","-1.28 %","205,761.00"
"LEC","2024-07-24","234","241","224.6","226.9","-2.62 %","232,801.00"
"LEC","2024-07-23","226.6","235","219","233","4.72 %","299,895.00"
"LEC","2024-07-22","220","225","212.6","222.5","2.06 %","247,042.00"
"LEC","2024-07-21","212","225","207","218","3.51 %","278,892.00"
"LEC","2024-07-18","221.7","221.7","210","210.6","-3.13 %","252,672.00"
"LEC","2024-07-17","216","218.2","206","217.4","1.64 %","265,362.00"
"LEC","2024-07-16","202","216","200.4","213.9","6.42 %","249,349.00"
"LEC","2024-07-15","196","203.5","194","201","2.55 %","207,449.00"
"LEC","2024-07-14","189.6","196.5","186","196","5.43 %","155,664.00"
"LEC","2024-07-11","189","189","183.6","185.9","-0.80 %","83,643.00"
"LEC","2024-07-10","182","187.4","181","187.4","3.02 %","68,222.00"
"LEC","2024-07-09","182.9","183.9","180.4","181.9","-0.60 %","24,930.00"
"LEC","2024-07-08","185.1","185.1","180.7","183","-0.05 %","65,061.00"
"LEC","2024-07-07","181.4","184","179.1","183.1","1.10 %","68,841.00"
"LEC","2024-07-04","182","184.3","179.1","181.1","0.17 %","45,083.00"
"LEC","2024-07-03","180.3","182.8","178","180.8","-1.20 %","26,104.00"
"LEC","2024-07-02","180.5","191.4","180","183","3.39 %","70,447.00"
"LEC","2024-07-01","178","179.5","177","177","0.57 %","8,175.00"
"LEC","2024-06-30","178","181.5","175.1","176","-1.12 %","24,818.00"
"LEC","2024-06-27","182.2","182.2","177.1","178","-0.39 %","31,641.00"
"LEC","2024-06-26","179","182.5","178.7","178.7","-0.17 %","32,146.00"
"LEC","2024-06-25","180","182","179","179","-0.22 %","55,775.00"
"LEC","2024-06-24","185.1","185.1","178","179.4","-1.16 %","47,300.00"
"LEC","2024-06-23","184.4","184.7","180","181.5","-0.27 %","42,558.00"
"LEC","2024-06-20","183","187.4","180.6","182","-1.14 %","32,242.00"
"LEC","2024-06-19","189.8","190","184","184.1","-1.55 %","37,616.00"
"LEC","2024-06-18","196.3","196.3","186.5","187","-2.86 %","66,493.00"
"LEC","2024-06-16","187.7","196.3","186.1","192.5","4.05 %","248,843.00"
"LEC","2024-06-13","182","187","181.2","185","0.16 %","62,513.00"
"LEC","2024-06-12","183","190","182.5","184.7","-0.43 %","40,147.00"
"LEC","2024-06-11","181","186","180","185.5","4.10 %","69,612.00"
"LEC","2024-06-10","181","181","178","178.2","0.22 %","35,652.00"
"LEC","2024-06-09","177","179.7","176.2","177.8","0.74 %","32,295.00"
"LEC","2024-06-06","180","180","176.2","176.5","-1.51 %","32,905.00"
"LEC","2024-06-05","179.1","180","178.8","179.2","-0.83 %","23,698.00"
"LEC","2024-06-04","178.8","184","178.8","180.7","-0.17 %","33,450.00"
"LEC","2024-06-03","183","185","179.4","181","0.39 %","28,200.00"
"LEC","2024-06-02","180.9","184.5","178.5","180.3","-0.50 %","39,471.00"
"LEC","2024-05-30","180.4","187","180.4","181.2","-1.52 %","32,570.00"
"LEC","2024-05-29","187","188.6","183","184","-0.59 %","46,494.00"
"LEC","2024-05-27","184.6","189","182","185.1","-0.75 %","48,153.00"
"LEC","2024-05-26","186.5","188","184","186.5","-1.32 %","30,254.00"
"LEC","2024-05-22","186.2","193","186.2","189","-0.53 %","58,009.00"
"LEC","2024-05-21","187.6","191","184","190","3.26 %","46,739.00"
"LEC","2024-05-20","181.2","189.2","181.2","184","0.77 %","82,114.00"
"LEC","2024-05-19","184.9","189.6","179","182.6","0.16 %","26,706.00"
"LEC","2024-05-16","183","185","179.5","182.3","-0.38 %","45,981.00"
"LEC","2024-05-15","189.6","189.6","183","183","-1.61 %","35,482.00"
"LEC","2024-05-14","176","186.6","176","186","4.49 %","64,382.00"
"LEC","2024-05-13","177","180.9","177","178","-0.56 %","25,809.00"
"LEC","2024-05-12","181","181","177.1","179","0.56 %","21,854.00"
"LEC","2024-05-09","177","179.9","176.5","178","0.17 %","23,004.00"
"LEC","2024-05-08","177.2","182.4","177.2","177.7","-1.28 %","11,289.00"
"LEC","2024-05-07","180","183","178","180","-0.55 %","20,585.00"
"LEC","2024-05-06","179","182.4","177","181","0.56 %","11,643.00"
"LEC","2024-05-05","182.2","182.9","178.7","180","-1.21 %","33,674.00"
"LEC","2024-05-02","189","189","181.6","182.2","-2.04 %","32,100.00"
"LEC","2024-04-30","182","197.6","180.7","186","2.20 %","56,985.00"
"LEC","2024-04-29","182","184.9","181.5","182","-1.62 %","22,111.00"
"LEC","2024-04-28","181.5","185","181.1","185","2.21 %","24,732.00"
"LEC","2024-04-25","180.2","185","179.1","181","-0.60 %","39,372.00"
"LEC","2024-04-24","181.1","186.4","180.4","182.1","-0.44 %","8,416.00"
"LEC","2024-04-22","190","190","182.1","182.9","-2.51 %","27,344.00"
"LEC","2024-04-21","189","191","180","187.6","-0.21 %","35,497.00"
"LEC","2024-04-18","183","188","179.4","188","0.80 %","23,317.00"
"LEC","2024-04-16","183.4","186.5","181.7","186.5","0.81 %","32,334.00"
"LEC","2024-04-15","194","194","184.3","185","-3.65 %","25,474.00"
"LEC","2024-04-14","192","195.8","189","192","-0.47 %","36,523.00"
"LEC","2024-04-10","188","200","184.3","192.9","4.27 %","90,679.00"
"LEC","2024-04-09","185.8","187.6","180","185","1.54 %","56,034.00"
"LEC","2024-04-07","180","187.2","177","182.2","1.28 %","52,557.00"
"LEC","2024-04-04","179.8","183","178","179.9","-0.77 %","38,912.00"
"LEC","2024-04-03","178.5","182","178.5","181.3","0.50 %","17,718.00"
"LEC","2024-04-02","184.9","187","180","180.4","-0.50 %","38,938.00"
"LEC","2024-04-01","186.6","186.6","181","181.3","-0.93 %","24,041.00"
"LEC","2024-03-31","185","186","181.3","183","-0.54 %","21,799.00"
"LEC","2024-03-28","186","186","183","184","-0.54 %","17,089.00"
"LEC","2024-03-27","190.9","190.9","182.2","185","-1.28 %","24,960.00"
"LEC","2024-03-26","180","188","180","187.4","3.36 %","46,474.00"
"LEC","2024-03-25","185","188","181","181.3","-2.00 %","26,295.00"
"LEC","2024-03-21","190.1","190.1","184.5","185","-1.60 %","18,585.00"
"LEC","2024-03-20","189.9","192","187.1","188","0.53 %","26,178.00"
"LEC","2024-03-19","188","193.7","185","187","-1.58 %","42,743.00"
"LEC","2024-03-18","189.9","193","187.1","190","0.05 %","27,342.00"
"LEC","2024-03-17","196","196.8","187.3","189.9","-1.61 %","35,922.00"
"LEC","2024-03-14","194","199.9","193","193","-2.03 %","29,095.00"
"LEC","2024-03-13","202.6","204","195.2","197","-0.86 %","64,533.00"
"LEC","2024-03-12","199.9","203","196.2","198.7","1.38 %","44,530.00"
"LEC","2024-03-10","200.9","205","195","196","-0.51 %","49,624.00"
"LEC","2024-03-07","194.8","200","192.1","197","3.14 %","59,186.00"
"LEC","2024-03-06","194.8","198","185.4","191","0.00 %","57,263.00"
"LEC","2024-03-05","193.5","202","186","191","0.63 %","127,803.00"
"LEC","2024-03-04","182.5","189.8","182.5","189.8","6.03 %","40.00"
"LEC","2024-03-03","182","188","178","179","-1.10 %","66,694.00"
"LEC","2024-02-29","192.7","192.7","180.4","181","-4.23 %","47,682.00"
