"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LICN","2024-08-11","1722","1860","1701","1860","9.41 %","49,221.00"
"LICN","2024-08-08","1700","1733.9","1666","1700","0.00 %","15,678.00"
"LICN","2024-08-07","1655","1734","1633.1","1700","2.72 %","19,415.00"
"LICN","2024-08-06","1810.5","1846","1625.4","1655","-6.76 %","30,029.00"
"LICN","2024-08-05","1742","1780","1710.4","1775","1.89 %","18,920.00"
"LICN","2024-08-01","1699","1805","1667","1742","2.41 %","36,426.00"
"LICN","2024-07-31","1733.9","1733.9","1700","1701","0.06 %","21,538.00"
"LICN","2024-07-30","1630","1702","1630","1700","3.66 %","23,602.00"
"LICN","2024-07-29","1720","1720","1640","1640","-2.79 %","19,841.00"
"LICN","2024-07-28","1563.1","1721.7","1563.1","1687","5.77 %","28,814.00"
"LICN","2024-07-25","1570","1599","1560.1","1595","0.63 %","13,145.00"
"LICN","2024-07-24","1592","1635","1548","1585","-0.31 %","33,124.00"
"LICN","2024-07-23","1518","1600","1501","1590","4.81 %","20,472.00"
"LICN","2024-07-22","1540","1545.3","1492","1517","0.13 %","9,700.00"
"LICN","2024-07-21","1500","1543.9","1500","1515","0.32 %","14,864.00"
"LICN","2024-07-18","1500","1535","1500","1510.2","1.36 %","27,881.00"
"LICN","2024-07-17","1498.3","1500","1475.1","1490","1.43 %","13,347.00"
"LICN","2024-07-16","1438","1470","1438","1469","2.16 %","4,597.00"
"LICN","2024-07-15","1483.8","1510","1425.1","1438","-1.30 %","10,643.00"
"LICN","2024-07-14","1456.4","1515","1431","1457","2.04 %","8,816.00"
"LICN","2024-07-11","1389","1433","1387.9","1427.9","2.80 %","12,418.00"
"LICN","2024-07-10","1380","1389","1372","1389","0.65 %","3,595.00"
"LICN","2024-07-09","1390","1400","1375.1","1380","-1.14 %","4,914.00"
"LICN","2024-07-08","1409.9","1409.9","1385","1395.9","0.78 %","4,882.00"
"LICN","2024-07-07","1370","1393","1370","1385.1","1.47 %","6,627.00"
"LICN","2024-07-04","1369","1369","1350","1365","0.66 %","5,273.00"
"LICN","2024-07-03","1375","1400","1326.1","1356","-0.48 %","3,665.00"
"LICN","2024-07-02","1364.7","1448","1343","1362.5","1.83 %","4,241.00"
"LICN","2024-07-01","1329","1349","1329","1338","-0.22 %","1,664.00"
"LICN","2024-06-30","1333","1344","1329","1341","-0.96 %","3,092.00"
"LICN","2024-06-27","1374","1374","1335","1354","-1.46 %","2,058.00"
