"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MBJC","2024-08-11","418.2","418.2","401.8","408","-0.49 %","153,008.00"
"MBJC","2024-08-08","398","410","390","410","2.50 %","270,813.00"
"MBJC","2024-08-07","374","400.8","370.3","400","6.67 %","121,532.00"
"MBJC","2024-08-06","391","398","369.5","375","-5.54 %","117,972.00"
"MBJC","2024-08-05","382.3","404","375","397","1.79 %","272,552.00"
"MBJC","2024-08-01","417","417","386.5","390","-4.65 %","302,834.00"
"MBJC","2024-07-31","391","421.7","391","409","6.68 %","325,776.00"
"MBJC","2024-07-30","350","383.4","347.1","383.4","9.98 %","357,724.00"
"MBJC","2024-07-29","340","358","335","348.6","2.83 %","241,294.00"
"MBJC","2024-07-28","342.7","349.5","327","339","0.89 %","66,004.00"
"MBJC","2024-07-25","340","343.9","334.5","336","-1.47 %","56,751.00"
"MBJC","2024-07-24","352","358","334.4","341","-3.13 %","97,276.00"
"MBJC","2024-07-23","332","355","332","352","4.14 %","142,972.00"
"MBJC","2024-07-22","328.1","340","320.5","338","2.74 %","154,332.00"
"MBJC","2024-07-21","331","337.6","318.6","329","1.36 %","79,159.00"
"MBJC","2024-07-18","334.9","338.1","312.2","324.6","-2.08 %","296,252.00"
"MBJC","2024-07-17","325","331.5","314","331.5","2.00 %","131,567.00"
"MBJC","2024-07-16","307.5","325","306","325","5.69 %","101,579.00"
"MBJC","2024-07-15","319.2","319.2","304.8","307.5","-1.76 %","40,138.00"
"MBJC","2024-07-14","317.2","329","311","313","0.64 %","28,047.00"
"MBJC","2024-07-11","293.1","313.4","293.1","311","5.57 %","324,342.00"
"MBJC","2024-07-10","294","300","294","294.6","0.20 %","11,278.00"
"MBJC","2024-07-09","296","299.9","291","294","-0.81 %","24,792.00"
"MBJC","2024-07-08","296.1","299.8","295.2","296.4","-1.20 %","30,160.00"
"MBJC","2024-07-07","300","303.5","297.2","300","-0.99 %","13,674.00"
"MBJC","2024-07-04","307","307","298.6","303","0.00 %","19,839.00"
"MBJC","2024-07-03","299","303","295","303","-0.33 %","31,350.00"
"MBJC","2024-07-02","299.8","318","297","304","3.40 %","18,992.00"
"MBJC","2024-07-01","299","299","288.3","294","0.27 %","12,245.00"
"MBJC","2024-06-30","295","297","293.2","293.2","-1.28 %","5,908.00"
"MBJC","2024-06-27","293.9","299","293.9","297","-0.47 %","9,812.00"
"MBJC","2024-06-26","296","307.5","292.3","298.4","0.81 %","30,763.00"
"MBJC","2024-06-25","295","300.9","291.9","296","0.34 %","11,790.00"
"MBJC","2024-06-24","292","306","292","295","0.00 %","12,835.00"
"MBJC","2024-06-23","295.1","298","293.1","295","-0.71 %","19,935.00"
"MBJC","2024-06-20","301","307","297","297.1","-1.33 %","17,103.00"
"MBJC","2024-06-19","298","304","298","301.1","-0.30 %","15,040.00"
"MBJC","2024-06-18","304","307","301.1","302","-1.31 %","16,067.00"
"MBJC","2024-06-16","303.1","315","303.1","306","-0.62 %","26,162.00"
"MBJC","2024-06-13","306","310","306","307.9","-0.68 %","20,656.00"
"MBJC","2024-06-12","314","321","308.7","310","-1.59 %","73,000.00"
"MBJC","2024-06-11","300.2","322","300.2","315","3.62 %","73,989.00"
"MBJC","2024-06-10","295","306","295","304","1.33 %","22,558.00"
"MBJC","2024-06-09","297","307","297","300","-0.66 %","17,214.00"
"MBJC","2024-06-06","296","311","296","302","0.33 %","11,970.00"
"MBJC","2024-06-05","297","302","296.3","301","0.00 %","14,010.00"
"MBJC","2024-06-04","306","309","300","301","-1.63 %","9,245.00"
"MBJC","2024-06-03","293.2","320.1","293.1","306","2.68 %","26,355.00"
"MBJC","2024-06-02","290.2","299.8","290.2","298","0.68 %","8,930.00"
"MBJC","2024-05-30","292.6","302","292.2","296","-0.50 %","11,381.00"
"MBJC","2024-05-29","309","309","297.3","297.5","-1.82 %","10,521.00"
"MBJC","2024-05-27","300","309","299.2","303","-0.33 %","12,184.00"
"MBJC","2024-05-26","301.9","309","301.9","304","-1.30 %","9,172.00"
"MBJC","2024-05-22","323.4","323.4","306.8","308","-6.64 %","98,198.00"
