"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MFIL","2024-08-11","744","749","729","744.9","2.07 %","138,901.00"
"MFIL","2024-08-08","747","760","720.1","729.8","-0.71 %","124,850.00"
"MFIL","2024-08-07","692.5","750","680","735","6.14 %","158,233.00"
"MFIL","2024-08-06","750","754","692","692.5","-7.67 %","252,674.00"
"MFIL","2024-08-05","768","780","740","750","-2.34 %","225,153.00"
"MFIL","2024-08-01","755","800","755","768","2.99 %","211,824.00"
"MFIL","2024-07-31","720","771","720","745.7","5.62 %","257,375.00"
"MFIL","2024-07-30","665","707","660","706","6.97 %","270,259.00"
"MFIL","2024-07-29","681.3","681.3","650","660","-1.20 %","127,980.00"
"MFIL","2024-07-28","661.9","675","641.1","668","2.93 %","124,467.00"
"MFIL","2024-07-25","659","666","640","649","-0.61 %","91,565.00"
"MFIL","2024-07-24","666","674.9","652.8","653","-0.44 %","147,432.00"
"MFIL","2024-07-23","642","656","636.3","655.9","2.64 %","101,030.00"
"MFIL","2024-07-22","637","644","628","639","0.79 %","117,415.00"
"MFIL","2024-07-21","640","652.8","623","634","-0.16 %","111,752.00"
"MFIL","2024-07-18","655","660","635","635","-2.31 %","164,387.00"
"MFIL","2024-07-17","618","655","612","650","6.23 %","120,483.00"
"MFIL","2024-07-16","602","618","595","611.9","1.49 %","88,543.00"
"MFIL","2024-07-15","616","620","597","602.9","-0.84 %","153,153.00"
"MFIL","2024-07-14","610","627","605","608","0.66 %","83,051.00"
"MFIL","2024-07-11","615","615","603","604","-1.15 %","67,996.00"
"MFIL","2024-07-10","612","619.8","611","611","0.00 %","60,344.00"
"MFIL","2024-07-09","615","618","610.1","611","0.16 %","44,871.00"
"MFIL","2024-07-08","613","617.9","594","610","0.99 %","96,620.00"
"MFIL","2024-07-07","620","622","601","604","-2.58 %","173,144.00"
"MFIL","2024-07-04","606.7","640.5","600","620","4.22 %","230,316.00"
"MFIL","2024-07-03","542","595.1","535","594.9","9.96 %","397,306.00"
"MFIL","2024-07-02","540.6","555","533","541","2.08 %","39,767.00"
"MFIL","2024-07-01","529","536.5","526","530","-0.02 %","26,899.00"
"MFIL","2024-06-30","525.1","545","525.1","530.1","-0.02 %","49,959.00"
"MFIL","2024-06-27","542","546.7","530.2","530.2","-1.47 %","41,346.00"
"MFIL","2024-06-26","546","549.8","538.1","538.1","-1.45 %","66,081.00"
"MFIL","2024-06-25","574.2","574.2","543","546","-3.02 %","73,339.00"
"MFIL","2024-06-24","551.1","575","540.2","563","4.05 %","255,356.00"
"MFIL","2024-06-23","527","554.9","521","541.1","4.06 %","115,584.00"
"MFIL","2024-06-20","524.9","530","517.3","520","0.00 %","40,359.00"
"MFIL","2024-06-19","518.8","524","512","520","1.56 %","29,790.00"
"MFIL","2024-06-18","521","526","511","512","-1.73 %","24,067.00"
"MFIL","2024-06-16","525","539.8","519.5","521","-0.31 %","64,803.00"
"MFIL","2024-06-13","519.9","538","508.1","522.6","1.69 %","137,367.00"
"MFIL","2024-06-12","515","520","509","513.9","0.73 %","28,080.00"
"MFIL","2024-06-11","508.5","513.3","505.6","510.2","1.37 %","29,626.00"
"MFIL","2024-06-10","505","511","501","503.3","0.26 %","21,989.00"
"MFIL","2024-06-09","502","506.9","498.1","502","0.40 %","21,102.00"
"MFIL","2024-06-06","505","506","498","500","-1.19 %","25,978.00"
"MFIL","2024-06-05","504","510","503.2","506","-0.57 %","22,992.00"
"MFIL","2024-06-04","514.6","514.6","503","508.9","0.37 %","19,833.00"
"MFIL","2024-06-03","514","515","505","507","0.18 %","17,898.00"
"MFIL","2024-06-02","505","514.8","500","506.1","0.54 %","29,297.00"
"MFIL","2024-05-30","501","506","497","503.4","0.32 %","27,857.00"
"MFIL","2024-05-29","515","516.5","498","501.8","-0.93 %","30,387.00"
"MFIL","2024-05-27","518.1","518.1","503","506.5","-0.30 %","30,240.00"
"MFIL","2024-05-26","510.1","513","505.1","508","-0.22 %","22,681.00"
"MFIL","2024-05-22","520.2","520.2","509","509.1","-0.18 %","44,711.00"
"MFIL","2024-05-21","515","519.8","508","510","-0.20 %","54,875.00"
"MFIL","2024-05-20","519.8","519.8","507","511","0.20 %","28,238.00"
"MFIL","2024-05-19","513.9","522","501","510","1.21 %","54,218.00"
"MFIL","2024-05-16","510.9","510.9","500.5","503.9","-0.81 %","26,583.00"
"MFIL","2024-05-15","514.8","515","505","508","0.59 %","29,758.00"
"MFIL","2024-05-14","509.9","513.4","505","505","-0.04 %","21,884.00"
"MFIL","2024-05-13","518","518","500.1","505.2","-0.53 %","15,732.00"
"MFIL","2024-05-12","506.1","514.1","503","507.9","0.53 %","18,750.00"
"MFIL","2024-05-09","518","524","505.1","505.2","-1.71 %","18,407.00"
"MFIL","2024-05-08","515","515","495.1","514","1.76 %","36,533.00"
"MFIL","2024-05-07","505","517.5","502","505.1","-1.52 %","28,131.00"
"MFIL","2024-05-06","511","518.7","508","512.9","0.71 %","23,234.00"
"MFIL","2024-05-05","525","531","509","509.3","-2.81 %","36,672.00"
"MFIL","2024-05-02","538","545","524","524","-2.60 %","45,773.00"
"MFIL","2024-04-30","530","554","530","538","1.51 %","173,584.00"
"MFIL","2024-04-29","525","535","512","530","2.22 %","66,671.00"
"MFIL","2024-04-28","505","529","505","518.5","2.69 %","65,426.00"
"MFIL","2024-04-25","506.9","517","500.3","504.9","1.39 %","27,240.00"
"MFIL","2024-04-24","507.7","507.8","495","498","0.00 %","23,579.00"
"MFIL","2024-04-22","508","508","497.2","498","-1.68 %","9,876.00"
"MFIL","2024-04-21","490","509.5","490","506.5","1.50 %","17,410.00"
"MFIL","2024-04-18","496.3","508","495","499","-0.40 %","18,154.00"
"MFIL","2024-04-16","503.5","507","499","501","-0.20 %","12,630.00"
"MFIL","2024-04-15","501","520","501","502","-1.78 %","21,461.00"
"MFIL","2024-04-14","495","517","495","511.1","1.21 %","13,858.00"
"MFIL","2024-04-10","520","527","505","505","-2.88 %","43,607.00"
"MFIL","2024-04-09","520.1","530","512","520","0.00 %","57,318.00"
"MFIL","2024-04-07","500","523.2","493","520","4.63 %","49,867.00"
"MFIL","2024-04-04","504.5","504.5","486.1","497","-1.39 %","40,314.00"
"MFIL","2024-04-03","504","504","494","504","1.02 %","17,100.00"
"MFIL","2024-04-02","508.9","509","495","498.9","-1.11 %","14,373.00"
"MFIL","2024-04-01","508","508","480.2","504.5","-0.49 %","64,984.00"
"MFIL","2024-03-31","507.5","510","503","507","-0.10 %","13,911.00"
"MFIL","2024-03-28","511","513","501.3","507.5","-0.29 %","31,645.00"
"MFIL","2024-03-27","524.9","524.9","508","509","-1.55 %","18,349.00"
"MFIL","2024-03-26","518.1","525","516","517","-1.30 %","19,376.00"
"MFIL","2024-03-25","524","526.5","515.1","523.8","-0.04 %","7,290.00"
"MFIL","2024-03-21","525","535","518.3","524","0.00 %","46,533.00"
"MFIL","2024-03-20","533","539","519.5","524","-0.95 %","24,629.00"
"MFIL","2024-03-19","525","540","525","529","2.12 %","49,622.00"
"MFIL","2024-03-18","525","525","515.1","518","-1.15 %","14,944.00"
"MFIL","2024-03-17","524","530","517.2","524","0.00 %","23,437.00"
"MFIL","2024-03-14","532","537.8","519.1","524","-1.17 %","32,686.00"
"MFIL","2024-03-13","530","534","521","530.2","1.96 %","41,331.00"
"MFIL","2024-03-12","504.9","525","504.9","520","0.93 %","18,074.00"
"MFIL","2024-03-10","514","520","510","515.2","0.53 %","18,421.00"
"MFIL","2024-03-07","508.2","517","505","512.5","1.08 %","21,225.00"
"MFIL","2024-03-06","506.9","510","492","507","1.91 %","26,588.00"
"MFIL","2024-03-05","517.9","517.9","493","497.5","-2.07 %","15,379.00"
"MFIL","2024-03-04","495.7","517","495.7","508","4.53 %","4,930.00"
"MFIL","2024-03-03","496","500","481","486","-2.61 %","19,001.00"
"MFIL","2024-02-29","505","510","495.1","499","-2.16 %","17,625.00"
"MFIL","2024-02-28","514.9","514.9","503.2","510","-0.39 %","17,494.00"
"MFIL","2024-02-27","515","518","505.2","512","-0.58 %","7,159.00"
"MFIL","2024-02-26","506.3","517","506","515","1.18 %","9,724.00"
"MFIL","2024-02-25","512","520.2","506.1","509","-0.20 %","25,108.00"
"MFIL","2024-02-22","513","524.9","506.2","510","-0.04 %","27,827.00"
"MFIL","2024-02-21","520","520","510.2","510.2","0.04 %","10,806.00"
"MFIL","2024-02-20","510.1","520.5","509.1","510","-0.31 %","13,422.00"
"MFIL","2024-02-18","516","516","511","511.6","-1.50 %","17,039.00"
"MFIL","2024-02-15","528","529.9","519.4","519.4","-1.46 %","30,298.00"
"MFIL","2024-02-14","501","543","501","527.1","3.76 %","99,182.00"
"MFIL","2024-02-13","510.1","515","507.5","508","-1.84 %","18,545.00"
"MFIL","2024-02-12","514","517.5","512","517.5","0.88 %","8,943.00"
"MFIL","2024-02-11","515","523.7","512","513","-0.19 %","15,973.00"
"MFIL","2024-02-08","511.1","517","510","514","-0.21 %","18,078.00"
"MFIL","2024-02-07","525.3","525.3","514","515.1","0.02 %","14,244.00"
"MFIL","2024-02-06","523.7","523.7","513","515","0.29 %","7,101.00"
"MFIL","2024-02-05","513","518","512","513.5","0.69 %","5,663.00"
"MFIL","2024-02-04","503.1","520","503","510","-0.58 %","15,514.00"
"MFIL","2024-02-01","510.2","515.9","508.4","513","0.00 %","26,777.00"
"MFIL","2024-01-31","531","531","512.3","513","-1.55 %","15,719.00"
"MFIL","2024-01-30","525","527","520","521.1","-0.93 %","12,222.00"
"MFIL","2024-01-29","516","526.5","516","526","1.35 %","16,301.00"
"MFIL","2024-01-28","521.2","521.2","510.8","519","1.57 %","10,094.00"
"MFIL","2024-01-25","510","520","510","511","-0.39 %","13,903.00"
"MFIL","2024-01-24","527","527","512","513","-0.75 %","14,557.00"
"MFIL","2024-01-23","515","523","512.1","516.9","0.37 %","25,952.00"
"MFIL","2024-01-22","521","530","515","515","-1.34 %","21,710.00"
"MFIL","2024-01-21","529.2","535","520","522","-3.33 %","41,505.00"
"MFIL","2024-01-18","538","545","530","540","0.37 %","24,396.00"
"MFIL","2024-01-17","558.8","562","535.5","538","-2.71 %","56,249.00"
"MFIL","2024-01-16","544.6","555","542","553","3.56 %","41,439.00"
"MFIL","2024-01-14","542.6","542.6","532","534","0.38 %","15,406.00"
"MFIL","2024-01-11","547","547","528.1","532","-0.93 %","17,078.00"
"MFIL","2024-01-10","535","553","535","537","0.41 %","35,249.00"
"MFIL","2024-01-09","539.4","543","531","534.8","1.10 %","37,557.00"
"MFIL","2024-01-08","519","529","513","529","3.32 %","22,707.00"
"MFIL","2024-01-07","518.1","521","511","512","-1.16 %","22,426.00"
"MFIL","2024-01-04","530","532.8","517","518","-0.86 %","26,421.00"
"MFIL","2024-01-03","512.1","528","510","522.5","0.87 %","10,358.00"
"MFIL","2024-01-02","523","529.9","516","518","-0.96 %","21,899.00"
"MFIL","2024-01-01","535","543","523","523","-1.91 %","28,200.00"
"MFIL","2023-12-28","553.9","555.9","530.6","533.2","-2.17 %","26,381.00"
"MFIL","2023-12-27","568","568","540","545","-2.50 %","31,289.00"
"MFIL","2023-12-24","553.1","565","553","559","0.70 %","66,160.00"
"MFIL","2023-12-21","558","569","546.7","555.1","-2.44 %","77,231.00"
"MFIL","2023-12-20","551","571.2","549","569","3.27 %","75,964.00"
"MFIL","2023-12-19","545","559","536","551","1.10 %","27,393.00"
"MFIL","2023-12-18","544","555","543","545","1.11 %","58,823.00"
"MFIL","2023-12-17","519.4","541","519.4","539","1.70 %","26,142.00"
"MFIL","2023-12-14","525","540","525","530","-0.93 %","31,490.00"
"MFIL","2023-12-13","530","544","529","535","1.90 %","49,107.00"
"MFIL","2023-12-12","512","531","511","525","1.94 %","52,471.00"
"MFIL","2023-12-11","523.2","533","511","515","0.39 %","39,916.00"
"MFIL","2023-12-10","504","523","504","513","3.64 %","1,760.00"
"MFIL","2023-12-07","492.6","502","492.6","495","-1.00 %","21,528.00"
"MFIL","2023-12-06","500","507.9","496","500","0.00 %","11,631.00"
"MFIL","2023-12-05","507.9","507.9","493","500","0.36 %","13,869.00"
