"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MHL","2024-08-11","921.2","1034","846","1020","8.51 %","139,079.00"
"MHL","2024-08-08","842.8","940","806.6","940","9.30 %","60,359.00"
"MHL","2024-08-07","800","860","744","860","8.72 %","140,351.00"
"MHL","2024-08-06","783.6","795","721","791","-1.06 %","34,380.00"
"MHL","2024-08-05","787.7","836","742","799.5","-0.52 %","35,103.00"
"MHL","2024-08-01","842.8","859.6","774","803.7","-6.55 %","49,227.00"
"MHL","2024-07-31","845.8","897","780.3","860","-0.35 %","59,572.00"
"MHL","2024-07-30","820","868","742","863","6.54 %","98,049.00"
"MHL","2024-07-29","731.1","814","700","810","8.58 %","100,423.00"
"MHL","2024-07-28","758.8","773.7","700","746","0.27 %","38,517.00"
"MHL","2024-07-25","708","750","700","744","4.61 %","22,718.00"
"MHL","2024-07-24","730.1","790","688","711.2","-4.54 %","26,518.00"
"MHL","2024-07-23","754.6","779.9","693","745","-3.23 %","44,113.00"
"MHL","2024-07-22","753.7","784","724","769.9","0.12 %","38,746.00"
"MHL","2024-07-21","686","770","665.1","769","9.86 %","72,962.00"
"MHL","2024-07-18","695","751.3","662.7","700","2.49 %","46,757.00"
"MHL","2024-07-17","631","683","612.6","683","9.90 %","55,798.00"
"MHL","2024-07-16","575.9","621.5","555","621.5","10.00 %","50,475.00"
"MHL","2024-07-15","563.4","609.6","552.2","565","-1.70 %","18,956.00"
"MHL","2024-07-14","570.2","575","549","574.8","2.81 %","15,766.00"
"MHL","2024-07-11","575","586.5","554","559.1","-0.96 %","20,143.00"
"MHL","2024-07-10","555","566","550","564.5","1.71 %","13,790.00"
"MHL","2024-07-09","543.3","555","543.3","555","0.20 %","11,345.00"
"MHL","2024-07-08","543.9","553.9","543.9","553.9","-0.20 %","8,370.00"
"MHL","2024-07-07","559.9","559.9","536.1","555","0.00 %","18,311.00"
"MHL","2024-07-04","559","569.9","547.9","555","-0.72 %","26,720.00"
"MHL","2024-07-03","548","559","543","559","0.00 %","9,751.00"
"MHL","2024-07-02","559.9","600","547.1","559","1.82 %","23,653.00"
"MHL","2024-07-01","540.6","560","530","549","3.58 %","23,631.00"
"MHL","2024-06-30","565","566","530","530","-5.69 %","26,449.00"
"MHL","2024-06-27","574","574","550","562","-2.26 %","27,222.00"
"MHL","2024-06-26","572.2","575","549.8","575","2.50 %","33,789.00"
"MHL","2024-06-25","534","581","533","561","3.01 %","46,738.00"
"MHL","2024-06-24","530","546.7","518.1","544.6","1.04 %","40,396.00"
"MHL","2024-06-23","490","542","489.1","539","8.02 %","66,326.00"
"MHL","2024-06-20","512","512","497.1","499","-0.60 %","41,695.00"
"MHL","2024-06-19","463","509.7","459.1","502","8.28 %","75,169.00"
"MHL","2024-06-18","448","470.8","448","463.6","1.53 %","20,574.00"
"MHL","2024-06-16","458","476.3","445","456.6","1.47 %","36,125.00"
"MHL","2024-06-13","463","463","447.1","450","-2.15 %","20,458.00"
"MHL","2024-06-12","469","472","450.1","459.9","-0.02 %","26,260.00"
"MHL","2024-06-11","474.7","474.7","453.8","460","-1.29 %","17,689.00"
"MHL","2024-06-10","460","482","458","466","0.30 %","42,751.00"
"MHL","2024-06-09","465","471.9","453","464.6","1.91 %","33,852.00"
"MHL","2024-06-06","435.5","460","430","455.9","6.77 %","43,579.00"
"MHL","2024-06-05","445","445","424","427","-2.29 %","18,261.00"
"MHL","2024-06-04","440","446","432","437","-2.32 %","15,606.00"
"MHL","2024-06-03","446","457.9","442.2","447.4","-0.16 %","7,041.00"
"MHL","2024-06-02","458","460","444","448.1","-0.31 %","14,124.00"
"MHL","2024-05-30","441","466.1","441","449.5","-0.11 %","27,023.00"
"MHL","2024-05-29","469.2","486","450","450","-4.09 %","21,941.00"
"MHL","2024-05-27","459","484","448","469.2","4.27 %","41,872.00"
"MHL","2024-05-26","428.3","459.9","428.3","450","2.97 %","44,730.00"
"MHL","2024-05-22","444","460","437","437","-3.53 %","28,720.00"
"MHL","2024-05-21","430","465","429.1","453","6.09 %","49,392.00"
"MHL","2024-05-20","400.1","430","400.1","427","6.30 %","36,206.00"
"MHL","2024-05-19","397.8","405","390.2","401.7","3.00 %","5,555.00"
"MHL","2024-05-16","400","407","390","390","-2.50 %","4,198.00"
"MHL","2024-05-15","409","414.1","393.1","400","-2.20 %","3,704.00"
"MHL","2024-05-14","390","409","390","409","4.87 %","4,938.00"
"MHL","2024-05-13","386","394","384","390","0.00 %","3,817.00"
"MHL","2024-05-12","406.9","406.9","385","390","-2.26 %","3,473.00"
"MHL","2024-05-09","398","407","387.3","399","-0.23 %","5,376.00"
"MHL","2024-05-08","400","404.5","395","399.9","-0.72 %","3,197.00"
"MHL","2024-05-07","395","404.9","395","402.8","0.70 %","3,663.00"
"MHL","2024-05-06","397","405","397","400","-0.99 %","2,320.00"
"MHL","2024-05-05","406","406","393","404","-0.49 %","13,007.00"
"MHL","2024-05-02","400","407","400","406","0.00 %","6,248.00"
"MHL","2024-04-30","400","412","398.3","406","1.27 %","5,588.00"
"MHL","2024-04-29","396.3","408","396.3","400.9","-0.52 %","3,092.00"
"MHL","2024-04-28","398.3","406","398.3","403","1.26 %","3,881.00"
"MHL","2024-04-25","400","412","395.1","398","-0.75 %","2,391.00"
"MHL","2024-04-24","405","420","397.1","401","-0.99 %","2,220.00"
"MHL","2024-04-22","415","418","401","405","-3.57 %","5,253.00"
"MHL","2024-04-21","394","420","391.1","420","5.26 %","4,426.00"
"MHL","2024-04-18","410","410","394.1","399","-2.21 %","11,410.00"
"MHL","2024-04-16","413.2","428","407","408","-2.86 %","5,484.00"
"MHL","2024-04-15","425","430","417","420","-1.18 %","13,085.00"
"MHL","2024-04-14","421","427","415.3","425","1.43 %","4,347.00"
"MHL","2024-04-10","418","429","411.6","419","0.72 %","22,365.00"
"MHL","2024-04-09","417.9","426","411.1","416","-0.45 %","14,670.00"
"MHL","2024-04-07","410","423.8","406.1","417.9","1.93 %","3,314.00"
"MHL","2024-04-04","405","417.7","405","410","0.81 %","11,352.00"
"MHL","2024-04-03","428","428","406.7","406.7","-4.08 %","12,842.00"
"MHL","2024-04-02","440","440","419","424","-2.75 %","11,780.00"
"MHL","2024-04-01","432.4","440","430","436","-0.91 %","17,080.00"
"MHL","2024-03-31","418.6","443.7","413","440","7.08 %","51,071.00"
