"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MNBBL","2024-08-11","424","429","417","428.5","3.00 %","188,883.00"
"MNBBL","2024-08-08","425","430","416","416","-0.24 %","122,267.00"
"MNBBL","2024-08-07","407","422","401.9","417","2.21 %","155,990.00"
"MNBBL","2024-08-06","441","441","405.8","408","-5.80 %","192,784.00"
"MNBBL","2024-08-05","435","440","426.4","433.1","-1.30 %","175,569.00"
"MNBBL","2024-08-01","440","447","435","438.8","0.67 %","255,636.00"
"MNBBL","2024-07-31","428","442.6","428","435.9","2.08 %","260,063.00"
"MNBBL","2024-07-30","432.9","433","413.7","427","0.47 %","173,426.00"
"MNBBL","2024-07-29","442","447","425","425","-3.21 %","184,448.00"
"MNBBL","2024-07-28","425.3","446","425","439.1","5.30 %","258,237.00"
"MNBBL","2024-07-25","419","425","414","417","-0.71 %","120,084.00"
"MNBBL","2024-07-24","428","430","416.4","420","-0.24 %","200,560.00"
"MNBBL","2024-07-23","421.2","425","410","421","1.94 %","222,963.00"
"MNBBL","2024-07-22","425","425","410.6","413","-2.13 %","184,638.00"
"MNBBL","2024-07-21","420","428","407","422","1.69 %","273,064.00"
"MNBBL","2024-07-18","397","419.3","387","415","5.20 %","243,319.00"
"MNBBL","2024-07-17","387","394.9","381","394.5","3.82 %","137,285.00"
"MNBBL","2024-07-16","372","382","365","380","3.54 %","94,143.00"
"MNBBL","2024-07-15","382.3","382.3","367","367","-2.11 %","127,106.00"
"MNBBL","2024-07-14","373.2","380","369.5","374.9","2.46 %","83,526.00"
"MNBBL","2024-07-11","369.2","369.2","361.4","365.9","1.08 %","68,921.00"
"MNBBL","2024-07-10","365","365","358.5","362","1.00 %","63,040.00"
"MNBBL","2024-07-09","350.1","367.2","350","358.4","1.53 %","62,211.00"
"MNBBL","2024-07-08","359.1","361.9","352","353","-1.70 %","46,793.00"
"MNBBL","2024-07-07","364","365","357.8","359.1","-0.25 %","56,153.00"
"MNBBL","2024-07-04","355","369","352","360","1.84 %","135,642.00"
"MNBBL","2024-07-03","347","353.5","342","353.5","1.87 %","41,524.00"
"MNBBL","2024-07-02","344.7","358.5","344.7","347","2.66 %","38,457.00"
"MNBBL","2024-07-01","338","340","336","338","-0.09 %","20,956.00"
"MNBBL","2024-06-30","340","345","338.2","338.3","-1.66 %","29,852.00"
"MNBBL","2024-06-27","344","344","340","344","0.82 %","23,150.00"
"MNBBL","2024-06-26","346","346","340.1","341.2","-0.58 %","25,041.00"
"MNBBL","2024-06-25","346","347","343","343.2","0.03 %","23,493.00"
"MNBBL","2024-06-24","345","345","338.7","343.1","0.91 %","31,623.00"
"MNBBL","2024-06-23","342","344","339","340","-0.06 %","17,905.00"
"MNBBL","2024-06-20","344","345","340","340.2","-1.10 %","27,197.00"
"MNBBL","2024-06-19","343","345","340.5","344","0.29 %","23,540.00"
"MNBBL","2024-06-18","345.5","348","342.2","343","-1.52 %","26,201.00"
"MNBBL","2024-06-16","354","355.9","347.1","348.3","-1.33 %","25,206.00"
"MNBBL","2024-06-13","349","357","347.2","353","1.15 %","53,681.00"
"MNBBL","2024-06-12","352","353.7","347","349","0.61 %","28,520.00"
"MNBBL","2024-06-11","345","347","343","346.9","1.14 %","67,834.00"
"MNBBL","2024-06-10","345","345","340.5","343","0.29 %","25,482.00"
"MNBBL","2024-06-09","340.2","345","340.2","342","-0.03 %","22,356.00"
"MNBBL","2024-06-06","343.2","346.8","341.3","342.1","-0.93 %","27,367.00"
"MNBBL","2024-06-05","342.2","348","342.1","345.3","-0.17 %","13,532.00"
"MNBBL","2024-06-04","349.5","349.5","340","345.9","0.93 %","25,540.00"
"MNBBL","2024-06-03","346","346.8","342.7","342.7","-0.95 %","38,824.00"
"MNBBL","2024-06-02","351","351","344","346","0.14 %","21,563.00"
"MNBBL","2024-05-30","350","350","345.1","345.5","-0.72 %","15,289.00"
"MNBBL","2024-05-29","358","358","348","348","-1.16 %","31,194.00"
"MNBBL","2024-05-27","359","359","351","352.1","-0.42 %","24,630.00"
"MNBBL","2024-05-26","353","358.9","350.5","353.6","-0.67 %","32,258.00"
"MNBBL","2024-05-22","344","360","344","356","1.42 %","46,219.00"
"MNBBL","2024-05-21","358.3","358.3","351","351","-0.59 %","22,176.00"
"MNBBL","2024-05-20","358.9","362.1","353","353.1","-0.54 %","46,582.00"
"MNBBL","2024-05-19","353.9","360","348.2","355","2.31 %","29,927.00"
"MNBBL","2024-05-16","359.9","359.9","346","347","-1.67 %","28,671.00"
"MNBBL","2024-05-15","355.1","358","350.3","352.9","-0.31 %","22,496.00"
"MNBBL","2024-05-14","355.2","355.2","350","354","1.14 %","20,871.00"
"MNBBL","2024-05-13","348","362.5","343.1","350","0.43 %","24,636.00"
"MNBBL","2024-05-12","349.1","370","343.2","348.5","0.93 %","30,044.00"
"MNBBL","2024-05-09","344","349.8","343","345.3","0.09 %","19,906.00"
"MNBBL","2024-05-08","349","349","343","345","-0.29 %","15,935.00"
"MNBBL","2024-05-07","340.2","347","340.2","346","0.32 %","27,111.00"
"MNBBL","2024-05-06","352.4","352.4","340","344.9","-0.20 %","30,925.00"
"MNBBL","2024-05-05","357.9","357.9","345.1","345.6","-2.65 %","25,243.00"
"MNBBL","2024-05-02","367.2","367.2","354","355","-1.39 %","37,956.00"
"MNBBL","2024-04-30","342","367.2","338","360","5.57 %","184,792.00"
"MNBBL","2024-04-29","341","344","339","341","0.89 %","23,702.00"
"MNBBL","2024-04-28","335.2","340","332.4","338","0.06 %","29,532.00"
"MNBBL","2024-04-25","336","339.5","333.5","337.8","0.54 %","21,682.00"
"MNBBL","2024-04-24","338","339.9","335","336","-0.59 %","18,041.00"
"MNBBL","2024-04-22","340","343.8","337","338","-0.44 %","9,008.00"
"MNBBL","2024-04-21","337.1","343.7","336","339.5","0.74 %","16,376.00"
"MNBBL","2024-04-18","338","340.7","335.1","337","-0.62 %","17,696.00"
"MNBBL","2024-04-16","340.1","342","339.1","339.1","-0.35 %","15,119.00"
"MNBBL","2024-04-15","341","344","340.1","340.3","-0.21 %","15,173.00"
"MNBBL","2024-04-14","340","345","340","341","-0.58 %","23,473.00"
"MNBBL","2024-04-10","349","349","343","343","-0.72 %","16,471.00"
"MNBBL","2024-04-09","343","349.6","343","345.5","0.76 %","41,385.00"
"MNBBL","2024-04-07","336","343","336","342.9","2.02 %","29,981.00"
"MNBBL","2024-04-04","338","340","335.5","336.1","-0.56 %","23,922.00"
"MNBBL","2024-04-03","341","341","338","338","-0.59 %","31,055.00"
"MNBBL","2024-04-02","342.1","344.5","339","340","-0.58 %","25,077.00"
"MNBBL","2024-04-01","345","346","340","342","-0.29 %","18,418.00"
"MNBBL","2024-03-31","345.1","350","342","343","-0.67 %","31,965.00"
"MNBBL","2024-03-28","350","350","344","345.3","-0.78 %","21,038.00"
"MNBBL","2024-03-27","350","355","348","348","-1.42 %","19,227.00"
"MNBBL","2024-03-26","358","358","350","353","-0.56 %","21,208.00"
"MNBBL","2024-03-25","368.2","368.2","354","355","-1.66 %","15,938.00"
"MNBBL","2024-03-21","366","366","360.1","361","-1.90 %","27,921.00"
"MNBBL","2024-03-20","366.9","369","361","368","1.49 %","36,757.00"
"MNBBL","2024-03-19","365","367.9","362.3","362.6","-0.66 %","32,730.00"
"MNBBL","2024-03-18","364","367","362","365","0.27 %","14,641.00"
"MNBBL","2024-03-17","370","370","356.9","364","0.00 %","21,691.00"
"MNBBL","2024-03-14","365","372","361.8","364","-1.38 %","29,877.00"
"MNBBL","2024-03-13","368.9","377","362.6","369.1","1.82 %","39,697.00"
"MNBBL","2024-03-12","360","364","357.7","362.5","1.83 %","37,401.00"
"MNBBL","2024-03-10","357","360","353.3","356","1.42 %","17,053.00"
"MNBBL","2024-03-07","357.9","357.9","351","351","-0.28 %","11,892.00"
"MNBBL","2024-03-06","354","355","350","352","0.06 %","17,904.00"
"MNBBL","2024-03-05","364.9","364.9","348","351.8","-1.68 %","29,538.00"
"MNBBL","2024-03-04","350","357.8","349.1","357.8","4.01 %","2,030.00"
"MNBBL","2024-03-03","343.6","347","343.6","344","-0.32 %","13,586.00"
"MNBBL","2024-02-29","358","358","345","345.1","-1.68 %","23,664.00"
"MNBBL","2024-02-28","351.2","352.2","350","351","-1.13 %","13,787.00"
"MNBBL","2024-02-27","360","360","352.1","355","0.54 %","11,338.00"
"MNBBL","2024-02-26","350.4","355","350.4","353.1","0.26 %","15,114.00"
"MNBBL","2024-02-25","353.1","358","352.2","352.2","-1.07 %","21,155.00"
"MNBBL","2024-02-22","358.5","361","355","356","-0.70 %","22,890.00"
"MNBBL","2024-02-21","360","365","358","358.5","-0.55 %","14,639.00"
"MNBBL","2024-02-20","366","366","360","360.5","0.14 %","22,149.00"
"MNBBL","2024-02-18","374.3","374.3","360","360","-1.91 %","23,923.00"
"MNBBL","2024-02-15","362.1","371.8","362.1","367","-0.27 %","13,706.00"
"MNBBL","2024-02-14","363","378.3","360.2","368","1.38 %","32,022.00"
"MNBBL","2024-02-13","370","370","362","363","-2.42 %","32,750.00"
"MNBBL","2024-02-12","370","375","368","372","0.54 %","11,330.00"
"MNBBL","2024-02-11","371.9","375","370","370","0.00 %","22,323.00"
"MNBBL","2024-02-08","368.1","371.9","365.4","370","0.00 %","20,613.00"
"MNBBL","2024-02-07","376","376","369","370","0.00 %","10,836.00"
"MNBBL","2024-02-06","370","371","367","370","0.27 %","14,177.00"
"MNBBL","2024-02-05","375.3","375.3","367.8","369","0.27 %","15,373.00"
"MNBBL","2024-02-04","368","371.2","360","368","-0.03 %","23,160.00"
"MNBBL","2024-02-01","370","374","366","368.1","-0.92 %","29,141.00"
"MNBBL","2024-01-31","372.1","375","370.9","371.5","-0.67 %","19,200.00"
"MNBBL","2024-01-30","376.9","380","372","374","0.73 %","26,142.00"
"MNBBL","2024-01-29","379.1","379.1","371.3","371.3","-0.59 %","25,341.00"
"MNBBL","2024-01-28","372.6","379.4","370.5","373.5","0.40 %","18,370.00"
"MNBBL","2024-01-25","378.9","379.4","369","372","0.00 %","20,591.00"
"MNBBL","2024-01-24","380","380","371","372","-0.80 %","20,021.00"
"MNBBL","2024-01-23","378.9","379","375","375","0.13 %","22,934.00"
"MNBBL","2024-01-22","376","382","374.2","374.5","-1.34 %","25,803.00"
"MNBBL","2024-01-21","385","385","378","379.6","-2.16 %","71,075.00"
"MNBBL","2024-01-18","393.9","399.9","386.1","388","-1.50 %","55,273.00"
"MNBBL","2024-01-17","400","404.9","390","393.9","0.31 %","91,058.00"
"MNBBL","2024-01-16","384.5","395.1","384.5","392.7","2.13 %","58,835.00"
"MNBBL","2024-01-14","387.5","388","383.4","384.5","0.65 %","23,699.00"
"MNBBL","2024-01-11","386","388","380.1","382","-0.78 %","15,558.00"
"MNBBL","2024-01-10","393","396","384","385","-0.52 %","55,578.00"
"MNBBL","2024-01-09","362.8","397.8","362.8","387","4.59 %","66,801.00"
"MNBBL","2024-01-08","374","374","363.8","370","0.27 %","41,508.00"
"MNBBL","2024-01-07","379","379","369","369","-1.34 %","30,699.00"
"MNBBL","2024-01-04","379","380","373","374","0.61 %","44,398.00"
