"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MSHL","2024-08-11","889.8","959.6","889.8","959.6","10.00 %","17,881.00"
"MSHL","2024-08-08","807","872.4","797.5","872.4","10.00 %","56,878.00"
"MSHL","2024-08-07","749","796","745","793.1","4.36 %","11,194.00"
"MSHL","2024-08-06","832","835","755.1","760","-7.33 %","20,437.00"
"MSHL","2024-08-05","775","823.9","775","820.1","5.82 %","21,194.00"
"MSHL","2024-08-01","745","784","745","775","2.65 %","17,632.00"
"MSHL","2024-07-31","720","764","720","755","3.57 %","17,331.00"
"MSHL","2024-07-30","720","736","712.1","729","1.39 %","12,932.00"
"MSHL","2024-07-29","707.3","722","707.3","719","-0.28 %","15,888.00"
"MSHL","2024-07-28","728","741","712","721","0.98 %","7,133.00"
"MSHL","2024-07-25","705.6","715","705.6","714","-0.14 %","13,686.00"
"MSHL","2024-07-24","732","732","711","715","-3.12 %","11,476.00"
"MSHL","2024-07-23","708","749.7","702","738","4.24 %","15,755.00"
"MSHL","2024-07-22","710","724","697.4","708","-0.28 %","17,972.00"
"MSHL","2024-07-21","694.5","718","694.5","710","0.28 %","18,411.00"
"MSHL","2024-07-18","710","731","689","708","-1.26 %","28,033.00"
"MSHL","2024-07-17","731","745","705.7","717","0.00 %","16,083.00"
"MSHL","2024-07-16","665","719","665","717","9.12 %","37,592.00"
"MSHL","2024-07-15","665","670","650","657.1","0.55 %","14,026.00"
"MSHL","2024-07-14","671","678","650","653.5","-0.68 %","13,699.00"
"MSHL","2024-07-11","657","669","646","658","0.02 %","6,464.00"
"MSHL","2024-07-10","670","670","640","657.9","0.00 %","10,955.00"
"MSHL","2024-07-09","641","658","639","657.9","1.53 %","5,855.00"
"MSHL","2024-07-08","641.1","653","636","648","0.00 %","2,679.00"
"MSHL","2024-07-07","665","670","638","648","-1.52 %","31,280.00"
"MSHL","2024-07-04","655","674","650.6","658","-0.47 %","10,710.00"
"MSHL","2024-07-03","653","668.6","653","661.1","-0.59 %","6,594.00"
"MSHL","2024-07-02","659.9","699","652","665","2.78 %","4,679.00"
"MSHL","2024-07-01","645","655","645","647","0.31 %","3,883.00"
"MSHL","2024-06-30","660","668","640","645","-3.01 %","5,896.00"
"MSHL","2024-06-27","657.5","670","655","665","1.99 %","5,321.00"
"MSHL","2024-06-26","680","686.8","646","652","-4.26 %","7,801.00"
"MSHL","2024-06-25","665","687","665","681","1.04 %","3,726.00"
"MSHL","2024-06-24","669","690","669","674","0.75 %","5,180.00"
"MSHL","2024-06-23","650","693","650","669","2.14 %","2,089.00"
"MSHL","2024-06-20","668.1","680.7","652","655","0.00 %","3,647.00"
"MSHL","2024-06-19","655","675.2","655","655","-1.68 %","5,905.00"
"MSHL","2024-06-18","665","685","665","666.2","-1.16 %","6,253.00"
"MSHL","2024-06-16","695","697","674","674","-2.74 %","10,693.00"
"MSHL","2024-06-13","785","785","693","693","-10.00 %","33,365.00"
"MSHL","2024-06-12","705","770","676","770","10.00 %","25,119.00"
"MSHL","2024-06-11","700.5","714","644.3","700","-0.07 %","32,865.00"
"MSHL","2024-06-10","665.1","739.4","638.8","700.5","4.21 %","37,345.00"
"MSHL","2024-06-09","690","690","663","672.2","-4.52 %","7,287.00"
"MSHL","2024-06-06","639.1","704","633","704","10.00 %","6,980.00"
"MSHL","2024-06-05","637.1","649","635","640","-1.54 %","1,800.00"
"MSHL","2024-06-04","645","650","630","650","0.00 %","4,689.00"
"MSHL","2024-06-03","662","662","645","650","-1.52 %","2,832.00"
"MSHL","2024-06-02","650","660","641.1","660","0.92 %","4,147.00"
"MSHL","2024-05-30","666","699","640","654","-1.65 %","8,386.00"
"MSHL","2024-05-29","652","704","633","665","3.91 %","10,905.00"
"MSHL","2024-05-27","632.1","681","632.1","640","-0.78 %","2,245.00"
"MSHL","2024-05-26","663.7","676.9","627.5","645","-4.75 %","14,604.00"
"MSHL","2024-05-22","666","680","629.1","677.2","0.77 %","1,567.00"
"MSHL","2024-05-21","694.6","722.5","667","672","-1.32 %","4,088.00"
"MSHL","2024-05-20","661","702.3","653","681","4.93 %","12,015.00"
"MSHL","2024-05-19","640","659.9","630","649","1.41 %","3,903.00"
"MSHL","2024-05-16","634.4","640","621.8","640","2.89 %","1,788.00"
"MSHL","2024-05-15","642.7","642.7","621","622","-1.29 %","2,561.00"
"MSHL","2024-05-14","615","648","615","630.1","2.11 %","2,895.00"
"MSHL","2024-05-13","622","647","610","617.1","-1.01 %","2,394.00"
"MSHL","2024-05-12","606.2","623.4","606.2","623.4","0.87 %","1,008.00"
"MSHL","2024-05-09","606.1","630.5","594","618","-0.03 %","1,964.00"
"MSHL","2024-05-08","610","618.2","606.7","618.2","-0.13 %","900.00"
"MSHL","2024-05-07","614.5","626","606.7","619","-1.28 %","563.00"
"MSHL","2024-05-06","606.2","627","598","627","1.37 %","955.00"
"MSHL","2024-05-05","615","618.5","606","618.5","-1.36 %","940.00"
"MSHL","2024-05-02","624.3","648","610.1","627","-1.57 %","2,138.00"
"MSHL","2024-04-30","620","640","620","637","1.11 %","1,550.00"
"MSHL","2024-04-29","623","630","612.9","630","-0.71 %","1,110.00"
"MSHL","2024-04-28","625","635","625","634.5","0.71 %","1,861.00"
"MSHL","2024-04-25","620","642","611","630","0.00 %","1,130.00"
"MSHL","2024-04-24","609.2","644","606","630","1.37 %","560.00"
"MSHL","2024-04-22","612","635","612","621.5","0.00 %","1,362.00"
"MSHL","2024-04-21","620","626","610","621.5","-0.88 %","1,048.00"
"MSHL","2024-04-18","645","645","621","627","-4.71 %","800.00"
"MSHL","2024-04-16","691.6","691.6","645.1","658","-4.84 %","3,871.00"
"MSHL","2024-04-15","660","691.5","630","691.5","5.93 %","9,360.00"
"MSHL","2024-04-14","605","652.8","605","652.8","5.97 %","7,930.00"
"MSHL","2024-04-10","603","649.2","603","616","0.82 %","3,045.00"
"MSHL","2024-04-09","617","629","606","611","0.98 %","1,574.00"
"MSHL","2024-04-07","605.3","610","605","605.1","-0.02 %","1,028.00"
"MSHL","2024-04-04","603","614.8","603","605.2","-0.79 %","1,614.00"
"MSHL","2024-04-03","615","638","601.1","610","0.00 %","864.00"
"MSHL","2024-04-02","615.1","618.1","608.1","610","-1.58 %","640.00"
"MSHL","2024-04-01","616.5","641.5","616.5","619.8","-1.46 %","1,405.00"
"MSHL","2024-03-31","626","639.6","616.6","629","-1.41 %","1,595.00"
"MSHL","2024-03-28","615.2","645","615.2","638","1.75 %","1,786.00"
"MSHL","2024-03-27","630","655","617","627","1.46 %","2,782.00"
"MSHL","2024-03-26","605","657.9","600","618","0.32 %","2,600.00"
"MSHL","2024-03-25","603.1","625","592","616","0.16 %","611.00"
"MSHL","2024-03-21","632","632","609","615","-3.91 %","4,564.00"
"MSHL","2024-03-20","665","665","638.7","640","-2.14 %","1,920.00"
"MSHL","2024-03-19","680","683","649.9","654","-3.11 %","7,294.00"
"MSHL","2024-03-18","620.1","675","619","675","7.14 %","10,321.00"
"MSHL","2024-03-17","615","630","613.59","630","0.80 %","3,843.00"
"MSHL","2024-03-14","618.2","654","618.2","625","-0.79 %","2,806.00"
"MSHL","2024-03-13","625","630","612","630","-0.49 %","2,390.00"
"MSHL","2024-03-12","625","633.1","617.7","633.1","2.13 %","1,762.00"
"MSHL","2024-03-10","610","637.5","602","619.9","3.14 %","1,836.00"
"MSHL","2024-03-07","600","612","594.3","601","0.17 %","1,572.00"
"MSHL","2024-03-06","607.9","620","562","600","0.67 %","10,914.00"
"MSHL","2024-03-05","639.5","639.5","579.3","596","-4.94 %","5,876.00"
"MSHL","2024-03-04","602.8","627","602.8","627","6.09 %","30.00"
"MSHL","2024-03-03","596","605","582.1","591","-2.48 %","2,940.00"
"MSHL","2024-02-29","615","616","606","606","-1.62 %","1,039.00"
"MSHL","2024-02-28","637","637","616","616","-5.23 %","4,000.00"
"MSHL","2024-02-27","639","650","607.9","650","1.72 %","1,109.00"
"MSHL","2024-02-26","606.2","640","598","639","3.55 %","9,132.00"
"MSHL","2024-02-25","626.3","655","614","617.1","-3.43 %","2,721.00"
"MSHL","2024-02-22","650","655","625","639","-2.37 %","5,975.00"
"MSHL","2024-02-21","655","680","642.1","654.5","-2.02 %","6,900.00"
"MSHL","2024-02-20","647","673","647","668","1.21 %","6,325.00"
"MSHL","2024-02-18","673.4","687","660","660","-3.93 %","7,668.00"
"MSHL","2024-02-15","686","702.3","675","687","-1.84 %","5,360.00"
"MSHL","2024-02-14","691.1","715","685","699.9","-0.44 %","7,341.00"
"MSHL","2024-02-13","715","758.6","700","703","0.29 %","10,984.00"
"MSHL","2024-02-12","735","735","700.7","701","-3.18 %","21,577.00"
"MSHL","2024-02-11","700","752.1","695","724","4.17 %","21,254.00"
"MSHL","2024-02-08","701","714.8","677.1","695","0.87 %","8,927.00"
"MSHL","2024-02-07","672.1","703.8","672","689","0.58 %","11,721.00"
"MSHL","2024-02-06","690","709","672.3","685","-2.13 %","7,036.00"
"MSHL","2024-02-05","700","702","678","699.9","1.00 %","9,139.00"
"MSHL","2024-02-04","702","714","690","693","-1.95 %","5,581.00"
"MSHL","2024-02-01","743.9","743.9","701.2","706.8","-6.88 %","7,307.00"
"MSHL","2024-01-31","748","759","705","759","-0.52 %","22,719.00"
"MSHL","2024-01-30","815.9","815.9","749.3","763","-8.35 %","36,797.00"
"MSHL","2024-01-29","772","832.5","712.9","832.5","9.99 %","16,110.00"
"MSHL","2024-01-28","701.8","756.9","648","756.9","10.00 %","38,613.00"
"MSHL","2024-01-25","632.5","695.7","630.1","688.1","8.79 %","32,523.00"
"MSHL","2024-01-24","575","632.5","571.2","632.5","10.00 %","41,502.00"
"MSHL","2024-01-23","600.8","600.8","568","575","-6.20 %","5,516.00"
"MSHL","2024-01-22","550","615","527.1","613","9.46 %","42,579.00"
"MSHL","2024-01-21","520","561.1","505","560","9.78 %","13,125.00"
"MSHL","2024-01-18","500.9","520.8","500.9","510.1","-0.20 %","8,329.00"
"MSHL","2024-01-17","530.2","550","511.1","511.1","-5.53 %","9,982.00"
"MSHL","2024-01-16","556","569","535.1","541","-3.92 %","11,748.00"
