"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NABBC","2024-08-11","600.7","624.4","600","603","2.38 %","30,057.00"
"NABBC","2024-08-08","603","605","580","589","-2.31 %","27,209.00"
"NABBC","2024-08-07","579","603","575.1","602.9","4.04 %","24,775.00"
"NABBC","2024-08-06","608","616","578.1","579.5","-4.21 %","33,930.00"
"NABBC","2024-08-05","620","621","592","605","-0.64 %","26,348.00"
"NABBC","2024-08-01","619","639.9","607","608.9","0.15 %","54,781.00"
"NABBC","2024-07-31","600","629.5","597","608","3.23 %","46,351.00"
"NABBC","2024-07-30","585","600","584.1","589","1.46 %","30,081.00"
"NABBC","2024-07-29","574","607","574","580.5","-0.45 %","29,409.00"
"NABBC","2024-07-28","589.5","601","576.1","583.1","0.88 %","18,794.00"
"NABBC","2024-07-25","582","594.9","577.1","578","-0.34 %","17,497.00"
"NABBC","2024-07-24","590","595","572.1","580","-0.85 %","22,378.00"
"NABBC","2024-07-23","581","592","570.3","585","1.92 %","28,626.00"
"NABBC","2024-07-22","565.2","581","565.2","574","0.31 %","20,009.00"
"NABBC","2024-07-21","581","591","572.1","572.2","-1.51 %","25,357.00"
"NABBC","2024-07-18","612","612","580","581","-3.17 %","24,894.00"
"NABBC","2024-07-17","607","607","586.1","600","0.35 %","36,076.00"
"NABBC","2024-07-16","568.8","617.1","565.4","597.9","5.82 %","20,449.00"
"NABBC","2024-07-15","573","580.9","564","565","-1.91 %","14,457.00"
"NABBC","2024-07-14","585.4","597.1","575","576","0.35 %","12,973.00"
"NABBC","2024-07-11","575.2","595.1","573","574","-1.88 %","18,143.00"
"NABBC","2024-07-10","586.1","591.1","575.6","585","-0.36 %","19,189.00"
"NABBC","2024-07-09","580","605","578","587.1","1.42 %","46,915.00"
"NABBC","2024-07-08","588","588","568.4","578.9","-0.53 %","26,050.00"
"NABBC","2024-07-07","580","593","575","582","0.00 %","23,471.00"
"NABBC","2024-07-04","580","603","580","582","0.34 %","59,828.00"
"NABBC","2024-07-03","549.1","582","549","580","3.76 %","59,588.00"
"NABBC","2024-07-02","552.7","570","542","559","3.16 %","27,468.00"
