"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NADEP","2024-08-11","1015","1050","998","1050","5.21 %","37,591.00"
"NADEP","2024-08-08","1020.9","1035","987","998","-0.30 %","22,846.00"
"NADEP","2024-08-07","991.4","1030","955.8","1001","2.98 %","15,809.00"
"NADEP","2024-08-06","995.7","1015.6","961","972","-4.33 %","52,298.00"
"NADEP","2024-08-05","990","1034.9","972","1016","2.63 %","29,631.00"
"NADEP","2024-08-01","985.9","1037","980","990","-1.59 %","27,715.00"
"NADEP","2024-07-31","971","1044.9","971","1006","1.62 %","35,271.00"
"NADEP","2024-07-30","983","1001","965","990","0.71 %","34,420.00"
"NADEP","2024-07-29","1000","1001","965","983","-3.62 %","25,089.00"
"NADEP","2024-07-28","1081","1081","975","1019.9","-3.77 %","47,725.00"
"NADEP","2024-07-25","960","1060","960","1059.9","9.72 %","46,519.00"
"NADEP","2024-07-24","950","997.9","950","966","-0.31 %","38,443.00"
"NADEP","2024-07-23","922.1","969","922.1","969","3.65 %","34,490.00"
"NADEP","2024-07-22","925","934.9","910.3","934.9","-0.01 %","23,527.00"
"NADEP","2024-07-21","922","940","905","935","1.41 %","25,048.00"
"NADEP","2024-07-18","915","960","906.6","922","1.73 %","34,685.00"
"NADEP","2024-07-17","885.3","914","885","906.3","2.52 %","18,928.00"
"NADEP","2024-07-16","887.4","897.6","869.7","884","1.61 %","11,789.00"
"NADEP","2024-07-15","909.5","909.5","863.2","870","-2.43 %","11,660.00"
"NADEP","2024-07-14","901.6","919.6","884","891.7","0.87 %","10,142.00"
"NADEP","2024-07-11","921.7","921.7","876.1","884","-2.18 %","26,806.00"
"NADEP","2024-07-10","852.6","904","852.6","903.7","3.87 %","39,254.00"
"NADEP","2024-07-09","856","875","838.9","870","3.57 %","18,759.00"
"NADEP","2024-07-08","850.6","850.6","830","840","0.72 %","10,911.00"
"NADEP","2024-07-07","834.3","835","821.1","834","1.96 %","14,991.00"
"NADEP","2024-07-04","839.3","839.3","810","818","-0.60 %","7,125.00"
"NADEP","2024-07-03","840.4","840.4","808.1","822.9","-0.13 %","7,970.00"
"NADEP","2024-07-02","825.2","858","810","824","1.84 %","9,058.00"
"NADEP","2024-07-01","810","814.9","800.1","809.1","1.12 %","9,155.00"
"NADEP","2024-06-30","797.8","846","797.8","800.1","-1.71 %","7,163.00"
"NADEP","2024-06-27","808.1","820","807","814","-1.21 %","4,820.00"
"NADEP","2024-06-26","851","851","817","824","-1.25 %","6,317.00"
"NADEP","2024-06-25","828","842","822","834.4","0.89 %","8,826.00"
"NADEP","2024-06-24","810","846","810","827","2.61 %","12,374.00"
"NADEP","2024-06-23","811.1","829","805","806","-2.30 %","7,408.00"
"NADEP","2024-06-20","851","851","821.2","825","-1.20 %","9,510.00"
"NADEP","2024-06-19","842","842","830","835","1.09 %","6,817.00"
"NADEP","2024-06-18","855","855","825","826","-2.48 %","14,389.00"
"NADEP","2024-06-16","892.5","892.5","847","847","-3.20 %","13,578.00"
"NADEP","2024-06-13","878.2","886","864.5","875","1.63 %","31,421.00"
"NADEP","2024-06-12","853.5","878","852.1","861","-0.46 %","28,684.00"
"NADEP","2024-06-11","871","875","837.1","865","1.29 %","11,112.00"
"NADEP","2024-06-10","863.9","863.9","832.3","854","0.83 %","17,695.00"
"NADEP","2024-06-09","892.5","892.5","836","847","-3.20 %","48,678.00"
"NADEP","2024-06-06","865","905","865","875","1.16 %","42,021.00"
"NADEP","2024-06-05","822.1","884","796","865","7.32 %","79,532.00"
"NADEP","2024-06-04","811.9","815","795.1","806","1.26 %","21,792.00"
"NADEP","2024-06-03","790.5","806","775.2","796","2.71 %","20,302.00"
"NADEP","2024-06-02","744","778","744","775","2.11 %","13,906.00"
"NADEP","2024-05-30","793.5","793.5","749.7","759","-2.44 %","20,260.00"
"NADEP","2024-05-29","780","795","760","778","-0.64 %","13,830.00"
"NADEP","2024-05-27","808.8","808.8","776.9","783","-1.26 %","15,907.00"
"NADEP","2024-05-26","847.6","847.6","782","793","-4.57 %","31,810.00"
"NADEP","2024-05-22","840","850","803","831","-0.48 %","20,662.00"
"NADEP","2024-05-21","800","846.7","797.7","835","4.11 %","20,536.00"
"NADEP","2024-05-20","827","838.9","797","802","-1.23 %","27,330.00"
"NADEP","2024-05-19","810.9","819.9","801.1","812","2.14 %","31,935.00"
"NADEP","2024-05-16","765","805","765","795","2.36 %","34,350.00"
"NADEP","2024-05-15","800","805","774.2","776.7","-1.66 %","23,071.00"
"NADEP","2024-05-14","765","793","750","789.8","5.31 %","34,058.00"
"NADEP","2024-05-13","779","779","750","750","-1.81 %","10,019.00"
"NADEP","2024-05-12","765.5","765.5","752","763.8","-2.20 %","15,521.00"
"NADEP","2024-05-09","783.1","800","762","781","-2.25 %","20,920.00"
"NADEP","2024-05-08","774.4","800","766.2","799","5.13 %","24,498.00"
"NADEP","2024-05-07","734","763","706.1","760","5.56 %","17,178.00"
"NADEP","2024-05-06","780.1","780.1","719","720","-5.87 %","18,915.00"
"NADEP","2024-05-05","760","804","760","764.9","-0.66 %","45,862.00"
"NADEP","2024-05-02","739.8","802","734","770","5.48 %","29,004.00"
"NADEP","2024-04-30","700","730","694","730","5.05 %","22,423.00"
"NADEP","2024-04-29","698","703","686","694.9","-0.44 %","7,022.00"
"NADEP","2024-04-28","683.4","710","665.1","698","4.18 %","8,062.00"
"NADEP","2024-04-25","690","690","665","670","-1.18 %","9,106.00"
"NADEP","2024-04-24","693","693.6","669","678","-0.29 %","8,332.00"
"NADEP","2024-04-22","701.5","701.5","665","680","-1.16 %","3,030.00"
"NADEP","2024-04-21","690","690","670","688","1.33 %","3,927.00"
"NADEP","2024-04-18","686.3","691","665","679","-1.06 %","7,207.00"
"NADEP","2024-04-16","700.3","706.9","686.3","686.3","-3.95 %","10,481.00"
"NADEP","2024-04-15","730","744","701","714.5","-0.35 %","12,575.00"
"NADEP","2024-04-14","700","723.7","678","717","3.91 %","14,459.00"
"NADEP","2024-04-10","718.5","718.5","682.2","690","-2.06 %","11,735.00"
"NADEP","2024-04-09","710","720","696","704.5","-0.07 %","20,185.00"
"NADEP","2024-04-07","713","727","696","705","0.84 %","35,576.00"
"NADEP","2024-04-04","681","710","666.4","699.1","4.20 %","36,631.00"
"NADEP","2024-04-03","666","681","655.3","670.9","1.99 %","19,864.00"
"NADEP","2024-04-02","629.5","670","629.5","657.8","2.60 %","14,709.00"
"NADEP","2024-04-01","654.7","654.7","636.5","641.1","-2.08 %","4,609.00"
"NADEP","2024-03-31","655","655","641.9","654.7","-1.25 %","8,252.00"
"NADEP","2024-03-28","654.9","663","641.9","663","1.22 %","8,936.00"
"NADEP","2024-03-27","672","686","642","655","-0.71 %","13,088.00"
"NADEP","2024-03-26","645","669","645","659.7","2.92 %","14,438.00"
"NADEP","2024-03-25","662","662","641","641","-5.02 %","13,935.00"
"NADEP","2024-03-21","700","700","665.2","674.9","-1.90 %","26,045.00"
"NADEP","2024-03-20","670","698.6","661.1","688","4.24 %","46,497.00"
"NADEP","2024-03-19","658","684","650","660","2.25 %","20,330.00"
"NADEP","2024-03-18","617","653","612","645.5","4.28 %","29,997.00"
"NADEP","2024-03-17","615","639","607.7","619","2.65 %","34,991.00"
"NADEP","2024-03-14","590","650.7","590","603","1.28 %","23,618.00"
"NADEP","2024-03-13","615","627","591","595.4","-2.49 %","19,333.00"
"NADEP","2024-03-12","576.2","615","574","610.6","8.07 %","38,526.00"
"NADEP","2024-03-10","542","569.9","536","565","6.20 %","17,688.00"
"NADEP","2024-03-07","530.4","541","516.3","532","2.31 %","6,822.00"
"NADEP","2024-03-06","518","527","503","520","0.39 %","2,199.00"
"NADEP","2024-03-05","528.3","528.3","507.7","518","0.00 %","1,366.00"
"NADEP","2024-03-04","518","518","518","518","1.99 %","10.00"
"NADEP","2024-03-03","500","510","500","507.9","0.36 %","1,174.00"
"NADEP","2024-02-29","525.3","525.3","506.1","506.1","-1.73 %","2,464.00"
"NADEP","2024-02-28","522","522","507","515","-2.63 %","2,321.00"
"NADEP","2024-02-27","505","528.9","505","528.9","2.70 %","1,480.00"
"NADEP","2024-02-26","518.1","518.1","500.3","515","1.38 %","1,020.00"
"NADEP","2024-02-25","508","524","507","508","-1.55 %","3,944.00"
"NADEP","2024-02-22","519","530.4","511.5","516","-0.77 %","4,260.00"
"NADEP","2024-02-21","527.1","531","517","520","-1.35 %","2,227.00"
"NADEP","2024-02-20","527.3","530","512.1","527.1","-2.03 %","944.00"
"NADEP","2024-02-18","538","539","529","538","0.00 %","1,390.00"
"NADEP","2024-02-15","535","544","530.2","538","-0.19 %","1,556.00"
