"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NAGRO","2019-10-03","715","726","715","720","1.12 %","100.00"
"NAGRO","2019-10-02","715","716","712","712","-0.56 %","50.00"
"NAGRO","2019-10-01","729","730","716","716","-1.24 %","180.00"
"NAGRO","2019-09-30","713","727","711","725","-0.28 %","240.00"
"NAGRO","2019-09-29","720","727","713","727","0.97 %","150.00"
"NAGRO","2019-09-26","726","730","716","720","-0.83 %","344.00"
"NAGRO","2019-09-24","750","750","725","739","-2.64 %","180.00"
"NAGRO","2019-09-23","735","759","730","759","1.20 %","130.00"
"NAGRO","2019-09-22","755","755","718","750","-2.60 %","970.00"
"NAGRO","2019-09-19","775","775","745","770","0.13 %","210.00"
"NAGRO","2019-09-18","754","769","735","769","1.99 %","160.00"
"NAGRO","2019-09-17","749","770","736","754","2.59 %","1,260.00"
"NAGRO","2019-09-16","735","735","721","735","-1.87 %","720.00"
"NAGRO","2019-09-15","736","749","726","749","-0.13 %","180.00"
"NAGRO","2019-09-12","765","765","730","750","-1.83 %","560.00"
"NAGRO","2019-09-11","763","764","748","764","-1.80 %","180.00"
"NAGRO","2019-09-10","736","778","724","778","3.73 %","216.00"
"NAGRO","2019-09-09","755","755","738","750","-1.96 %","403.00"
"NAGRO","2019-09-08","770","774","745","765","-0.65 %","480.00"
"NAGRO","2019-09-05","760","770","744","770","0.00 %","250.00"
"NAGRO","2019-09-04","773","795","758","770","-2.28 %","320.00"
"NAGRO","2019-09-03","798","798","753","788","3.68 %","680.00"
"NAGRO","2019-09-02","741","760","727","760","0.80 %","820.00"
"NAGRO","2019-09-01","765","769","754","754","-2.08 %","310.00"
"NAGRO","2019-08-29","761","770","760","770","-0.65 %","80.00"
"NAGRO","2019-08-28","775","775","763","775","0.13 %","217.00"
"NAGRO","2019-08-27","764","789","764","774","-0.64 %","100.00"
"NAGRO","2019-08-26","780","780","766","779","-0.51 %","120.00"
"NAGRO","2019-08-25","772","783","759","783","0.00 %","360.00"
"NAGRO","2019-08-22","778","783","768","783","0.64 %","590.00"
