"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NESDO","2024-08-11","2249.3","2300","2249.3","2293","3.98 %","8,440.00"
"NESDO","2024-08-08","2226","2315.9","2200","2205.2","-2.90 %","7,373.00"
"NESDO","2024-08-07","2199.2","2346","2199.2","2271","1.20 %","6,228.00"
"NESDO","2024-08-06","2348","2431.3","2156","2244","-3.98 %","16,580.00"
"NESDO","2024-08-05","2360","2365","2284","2337","-0.97 %","7,824.00"
"NESDO","2024-08-01","2300","2400","2300","2360","0.64 %","7,044.00"
"NESDO","2024-07-31","2280","2350","2266","2345","3.53 %","12,708.00"
"NESDO","2024-07-30","2330","2330","2214.8","2265","-1.44 %","6,705.00"
"NESDO","2024-07-29","2400","2400","2266.8","2298","-5.24 %","14,899.00"
"NESDO","2024-07-28","2493.9","2493.9","2270.1","2425","-0.82 %","15,314.00"
"NESDO","2024-07-25","2300","2450","2281","2445","7.24 %","13,987.00"
"NESDO","2024-07-24","2335.8","2335.8","2235","2280","-0.44 %","5,489.00"
"NESDO","2024-07-23","2310","2330","2265","2290","-0.87 %","5,248.00"
"NESDO","2024-07-22","2325","2325","2233.5","2310","-0.39 %","6,128.00"
"NESDO","2024-07-21","2240","2320","2239.1","2319","3.67 %","9,812.00"
"NESDO","2024-07-18","2210","2340","2180","2237","3.18 %","15,965.00"
"NESDO","2024-07-17","2169","2169","2130.1","2168","1.78 %","4,951.00"
"NESDO","2024-07-16","2099","2137.9","2061","2130","1.48 %","2,966.00"
"NESDO","2024-07-15","2100","2124","2060.9","2099","-1.22 %","2,548.00"
"NESDO","2024-07-14","2147.1","2180","2083","2125","0.95 %","3,245.00"
"NESDO","2024-07-11","2102","2150","2095","2105","0.48 %","4,079.00"
"NESDO","2024-07-10","2160.3","2170","2090","2095","-1.69 %","6,307.00"
"NESDO","2024-07-09","2040","2135","2012.1","2131","4.51 %","7,318.00"
"NESDO","2024-07-08","2038","2068","2010.1","2039","0.00 %","1,930.00"
"NESDO","2024-07-07","1980","2045","1980","2039","1.90 %","1,790.00"
"NESDO","2024-07-04","1972","2020","1971","2001","-0.45 %","1,865.00"
"NESDO","2024-07-03","1980","2010","1961.1","2010","0.50 %","968.00"
"NESDO","2024-07-02","1999.2","2156","1960","2000","2.04 %","1,406.00"
"NESDO","2024-07-01","1950","1985","1950","1960","0.46 %","1,850.00"
"NESDO","2024-06-30","2000","2000","1950","1951","-2.45 %","1,757.00"
"NESDO","2024-06-27","2011","2020","1950.4","2000","-1.23 %","2,382.00"
"NESDO","2024-06-26","2030","2055","2025","2025","-0.74 %","1,184.00"
"NESDO","2024-06-25","2088","2173.2","2017.3","2040","-0.39 %","2,462.00"
"NESDO","2024-06-24","2021","2100","2021","2048","1.34 %","2,376.00"
"NESDO","2024-06-23","2070","2075","2020","2021","-3.67 %","4,457.00"
"NESDO","2024-06-20","2080","2136","2060","2098","-0.52 %","1,848.00"
"NESDO","2024-06-19","2091","2132.8","2060","2109","2.88 %","5,024.00"
"NESDO","2024-06-18","2031","2080","2021","2050","-0.77 %","3,119.00"
"NESDO","2024-06-16","2100","2110","2062","2066","-2.55 %","4,452.00"
"NESDO","2024-06-13","2180","2180","2106","2120","-0.93 %","9,627.00"
"NESDO","2024-06-12","2181","2182","2100","2140","0.00 %","4,118.00"
"NESDO","2024-06-11","2095","2140","2080.1","2140","2.15 %","3,253.00"
"NESDO","2024-06-10","2138","2138","2070","2095","-0.38 %","3,671.00"
"NESDO","2024-06-09","2150","2193","2100.1","2103","-3.09 %","12,610.00"
"NESDO","2024-06-06","2144","2172","2100","2170","2.99 %","11,654.00"
"NESDO","2024-06-05","1955","2130","1955","2107","6.15 %","20,491.00"
"NESDO","2024-06-04","2022","2022","1955","1985","-0.10 %","3,086.00"
"NESDO","2024-06-03","1964.5","2000","1890","1987","3.17 %","5,370.00"
"NESDO","2024-06-02","1899.1","1972","1899.1","1926","-0.52 %","2,330.00"
"NESDO","2024-05-30","1890","2000","1889","1936","1.79 %","5,163.00"
"NESDO","2024-05-29","1924","1963.1","1856","1902","0.79 %","6,259.00"
"NESDO","2024-05-27","1855","1888","1852.2","1887","-0.16 %","2,492.00"
"NESDO","2024-05-26","1895","1896","1850","1890","-1.56 %","2,587.00"
"NESDO","2024-05-22","1955","1955","1891.1","1920","-1.79 %","2,115.00"
"NESDO","2024-05-21","1907.3","1974","1903","1955","0.72 %","3,250.00"
"NESDO","2024-05-20","2043.9","2043.9","1941","1941","-3.19 %","4,367.00"
"NESDO","2024-05-19","2000","2010","1961","2004.9","0.95 %","8,533.00"
"NESDO","2024-05-16","1903","2055","1903","1986","3.01 %","9,549.00"
"NESDO","2024-05-15","1875","2054","1875","1928","3.16 %","6,949.00"
"NESDO","2024-05-14","1800","1881","1764","1869","5.30 %","8,175.00"
"NESDO","2024-05-13","1722.1","1775","1722.1","1775","1.54 %","1,334.00"
"NESDO","2024-05-12","1775","1775","1700","1748","-3.45 %","3,840.00"
"NESDO","2024-05-09","1778","1833","1778","1810.5","1.89 %","3,707.00"
"NESDO","2024-05-08","1770","1801","1754.1","1777","0.62 %","3,010.00"
"NESDO","2024-05-07","1721","1774.8","1713","1766","2.55 %","554.00"
"NESDO","2024-05-06","1739.6","1741","1717.2","1722.1","-2.98 %","505.00"
"NESDO","2024-05-05","1750.1","1850","1750.1","1775","-0.22 %","3,237.00"
"NESDO","2024-05-02","1710","1811","1676","1779","4.65 %","6,174.00"
"NESDO","2024-04-30","1650","1708","1650","1700","1.74 %","1,212.00"
"NESDO","2024-04-29","1690","1690","1670","1671","-1.07 %","320.00"
"NESDO","2024-04-28","1667","1689.9","1666","1689","0.24 %","490.00"
"NESDO","2024-04-25","1665","1688","1665","1685","-0.65 %","400.00"
"NESDO","2024-04-24","1657","1708.5","1657","1696","2.17 %","1,105.00"
"NESDO","2024-04-22","1700","1703.4","1660","1660","-0.60 %","593.00"
"NESDO","2024-04-21","1645","1680","1641","1670","-0.30 %","1,471.00"
"NESDO","2024-04-18","1673.1","1713","1673.1","1675","-3.12 %","1,130.00"
"NESDO","2024-04-16","1716","1740","1683.2","1729","-1.20 %","752.00"
"NESDO","2024-04-15","1726","1769","1726","1750","1.39 %","1,506.00"
"NESDO","2024-04-14","1700","1734","1690.3","1726","-0.23 %","1,158.00"
"NESDO","2024-04-10","1750","1750","1720.2","1730","-1.14 %","1,208.00"
"NESDO","2024-04-09","1740","1780","1740","1750","-1.07 %","1,966.00"
"NESDO","2024-04-07","1782.8","1782.8","1737","1769","1.20 %","1,264.00"
"NESDO","2024-04-04","1719","1780","1655","1748","-0.34 %","3,752.00"
"NESDO","2024-04-03","1740","1765.9","1710","1754","-0.06 %","1,436.00"
"NESDO","2024-04-02","1680","1755","1657","1755","5.08 %","1,908.00"
"NESDO","2024-04-01","1680","1690","1670","1670.1","-2.33 %","1,183.00"
"NESDO","2024-03-31","1690","1718","1680","1710","-0.52 %","552.00"
"NESDO","2024-03-28","1700","1725","1690","1719","1.42 %","879.00"
"NESDO","2024-03-27","1765","1800","1695","1695","-2.53 %","1,717.00"
"NESDO","2024-03-26","1734","1768.6","1700","1739","2.29 %","692.00"
"NESDO","2024-03-25","1733","1760","1690","1700","-3.74 %","1,720.00"
"NESDO","2024-03-21","1790","1805.2","1765.2","1766","-2.81 %","825.00"
"NESDO","2024-03-20","1836","1880","1800","1817","0.94 %","7,912.00"
"NESDO","2024-03-19","1780","1820","1780","1800","1.12 %","2,717.00"
"NESDO","2024-03-18","1793","1793","1754.1","1780","1.14 %","1,710.00"
"NESDO","2024-03-17","1770","1780","1756","1760","0.28 %","2,365.00"
"NESDO","2024-03-14","1781.7","1810","1755","1755","-3.47 %","2,991.00"
