"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NFS","2024-08-11","2008.1","2241.9","1844.1","2241.9","9.41 %","309,658.00"
"NFS","2024-08-08","1862","2090","1754.2","2049","7.84 %","210,335.00"
"NFS","2024-08-07","1710","1919.2","1570.4","1900","8.90 %","388,707.00"
"NFS","2024-08-06","1899.9","1899.9","1744.8","1744.8","-10.00 %","7,180.00"
"NFS","2024-08-05","2111","2111","1938.6","1938.6","-10.00 %","34,044.00"
"NFS","2024-08-01","1919.8","2154.7","1822.8","2154","9.96 %","213,771.00"
"NFS","2024-07-31","1755.9","1970.8","1687","1958.9","9.33 %","215,179.00"
"NFS","2024-07-30","1596.5","1791.9","1564.6","1791.7","9.99 %","219,412.00"
"NFS","2024-07-29","1513.6","1632.4","1470","1629","9.77 %","239,152.00"
"NFS","2024-07-28","1361.3","1527.9","1335","1484","6.84 %","115,710.00"
"NFS","2024-07-25","1295.4","1397","1270.1","1389","9.37 %","152,769.00"
"NFS","2024-07-24","1233.1","1309.9","1219.5","1270","5.05 %","125,473.00"
"NFS","2024-07-23","1156.4","1248.9","1130","1209","2.46 %","84,896.00"
"NFS","2024-07-22","1106","1189","1064","1180","8.77 %","158,194.00"
"NFS","2024-07-21","1017.7","1097","1017.7","1084.9","8.73 %","175,396.00"
"NFS","2024-07-18","889","997.8","889","997.8","10.00 %","434,129.00"
"NFS","2024-07-17","914.9","930","891.1","907.1","1.13 %","124,718.00"
"NFS","2024-07-16","911.8","911.8","893","897","0.34 %","75,644.00"
"NFS","2024-07-15","901.6","918","885","894","1.13 %","116,790.00"
"NFS","2024-07-14","852.9","886","840.1","884","5.72 %","220,911.00"
"NFS","2024-07-11","807.5","848","807.5","836.2","1.98 %","62,616.00"
"NFS","2024-07-10","831.3","831.3","800.1","820","0.61 %","64,118.00"
"NFS","2024-07-09","832.1","861","799","815","-4.00 %","198,696.00"
"NFS","2024-07-08","839.9","868","839.9","849","-0.93 %","73,523.00"
"NFS","2024-07-07","865.4","883.9","833","857","-2.94 %","63,953.00"
"NFS","2024-07-04","881.9","900.6","830.2","883","-1.87 %","202,888.00"
"NFS","2024-07-03","898.7","904.5","863.2","899.8","2.12 %","133,584.00"
"NFS","2024-07-02","890.4","907.8","838","881.1","0.93 %","76,251.00"
"NFS","2024-07-01","950.6","950.6","873","873","-10.00 %","216,843.00"
"NFS","2024-06-30","948.2","985","877.5","970","4.33 %","141,937.00"
"NFS","2024-06-27","1012.4","1099","929.7","929.7","-10.00 %","238,041.00"
"NFS","2024-06-26","921.4","1034.2","881","1033","9.87 %","174,988.00"
"NFS","2024-06-25","938.4","990","938.4","940.2","2.20 %","100,811.00"
"NFS","2024-06-24","853.1","920","848","920","10.00 %","103,346.00"
"NFS","2024-06-23","775.6","836.4","766","836.4","9.99 %","168,880.00"
"NFS","2024-06-20","738.6","779.9","715","760.4","5.00 %","94,548.00"
