"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NMBMF","2024-08-11","800","834","800","830","5.21 %","31,675.00"
"NMBMF","2024-08-08","805","809","769.3","788.9","-0.64 %","13,580.00"
"NMBMF","2024-08-07","780.3","795","772","794","3.79 %","12,404.00"
"NMBMF","2024-08-06","813","819","765","765","-5.96 %","20,036.00"
"NMBMF","2024-08-05","816.5","830","811","813.5","-1.73 %","11,600.00"
"NMBMF","2024-08-01","831","853","821","827.8","-0.39 %","22,923.00"
"NMBMF","2024-07-31","835","869.7","820.1","831","1.45 %","20,141.00"
"NMBMF","2024-07-30","827.2","827.2","804","819.1","1.00 %","18,478.00"
"NMBMF","2024-07-29","852","852","808","811","-4.59 %","30,010.00"
"NMBMF","2024-07-28","884.3","918","822.3","850","-1.96 %","32,728.00"
"NMBMF","2024-07-25","814.9","867","792","867","8.51 %","47,710.00"
"NMBMF","2024-07-24","820","824.9","790.1","799","-2.56 %","16,983.00"
"NMBMF","2024-07-23","816","825","789","820","2.50 %","26,744.00"
"NMBMF","2024-07-22","810","810","790.1","800","-1.71 %","13,849.00"
"NMBMF","2024-07-21","824.9","830","806","813.9","0.61 %","16,750.00"
"NMBMF","2024-07-18","781.2","825","781.2","809","3.70 %","28,573.00"
"NMBMF","2024-07-17","794","795.6","770","780.1","0.01 %","15,430.00"
"NMBMF","2024-07-16","775","785","755","780","2.63 %","6,664.00"
"NMBMF","2024-07-15","780.3","780.3","750","760","-0.65 %","10,086.00"
"NMBMF","2024-07-14","794.5","794.5","762","765","-1.80 %","14,617.00"
"NMBMF","2024-07-11","792.5","792.5","769","779","0.26 %","11,272.00"
"NMBMF","2024-07-10","792.5","798","770","777","0.00 %","22,451.00"
"NMBMF","2024-07-09","733","779.7","718.4","777","8.08 %","45,257.00"
"NMBMF","2024-07-08","713.9","718.9","705","718.9","2.26 %","9,449.00"
"NMBMF","2024-07-07","697.2","710","695.1","703","0.96 %","4,521.00"
"NMBMF","2024-07-04","708.8","708.9","691.2","696.3","-0.10 %","6,996.00"
"NMBMF","2024-07-03","714","714","686","697","-0.43 %","10,999.00"
"NMBMF","2024-07-02","701.6","729","690","700","1.76 %","5,788.00"
"NMBMF","2024-07-01","675","688","675","687.9","0.72 %","5,930.00"
"NMBMF","2024-06-30","710.9","710.9","678.2","683","-2.43 %","4,439.00"
"NMBMF","2024-06-27","715.9","715.9","692.2","700","-0.71 %","5,619.00"
"NMBMF","2024-06-26","724","724","705","705","-0.84 %","5,996.00"
"NMBMF","2024-06-25","724.8","725","708","711","-0.14 %","6,920.00"
"NMBMF","2024-06-24","690","716.9","690","712","3.19 %","9,777.00"
"NMBMF","2024-06-23","701.2","701.2","690","690","-1.60 %","9,202.00"
"NMBMF","2024-06-20","725","725","700","701.2","-1.38 %","12,509.00"
"NMBMF","2024-06-19","709.9","719","704.7","711","0.15 %","4,678.00"
"NMBMF","2024-06-18","704.2","715","692","709.9","-1.13 %","10,369.00"
"NMBMF","2024-06-16","725.3","740","715.6","718","-2.97 %","11,617.00"
"NMBMF","2024-06-13","759","759","731.1","740","-0.67 %","19,026.00"
"NMBMF","2024-06-12","735","760.5","726.5","745","2.59 %","26,946.00"
"NMBMF","2024-06-11","722","741","715.6","726.2","1.50 %","12,329.00"
"NMBMF","2024-06-10","732.5","732.5","715.1","715.5","-0.49 %","12,651.00"
"NMBMF","2024-06-09","730","754","718.1","719","-0.14 %","26,652.00"
"NMBMF","2024-06-06","692","743","687.6","720","4.05 %","51,037.00"
"NMBMF","2024-06-05","685","698.7","675","692","1.02 %","15,634.00"
"NMBMF","2024-06-04","670.2","693.9","670.2","685","0.74 %","11,570.00"
"NMBMF","2024-06-03","672","691.5","656","680","3.20 %","11,606.00"
"NMBMF","2024-06-02","630","664.9","630","658.9","2.63 %","4,669.00"
"NMBMF","2024-05-30","676.2","676.2","642","642","-3.17 %","10,441.00"
"NMBMF","2024-05-29","670","677.8","660.6","663","-1.04 %","8,797.00"
"NMBMF","2024-05-27","676","716","665","670","1.06 %","7,008.00"
"NMBMF","2024-05-26","672","674","660.1","663","-2.79 %","14,726.00"
"NMBMF","2024-05-22","692","700","681","682","-2.36 %","15,281.00"
"NMBMF","2024-05-21","697","716","678","698.5","1.97 %","26,341.00"
"NMBMF","2024-05-20","710","724","680.1","685","-1.71 %","29,285.00"
"NMBMF","2024-05-19","690","700.8","665.3","696.9","2.94 %","30,419.00"
"NMBMF","2024-05-16","636.1","698.6","636.1","677","4.96 %","39,796.00"
"NMBMF","2024-05-15","672.1","674","645","645","-3.70 %","21,153.00"
"NMBMF","2024-05-14","659.8","683","650","669.8","3.20 %","34,479.00"
"NMBMF","2024-05-13","650","651.9","639","649","0.62 %","7,220.00"
"NMBMF","2024-05-12","647.1","660","634.1","645","-2.27 %","10,901.00"
"NMBMF","2024-05-09","675","679","656","660","-3.51 %","20,805.00"
"NMBMF","2024-05-08","628","688","616","684","6.88 %","51,858.00"
"NMBMF","2024-05-07","626","652","626","640","4.12 %","20,620.00"
"NMBMF","2024-05-06","650","650","612","614.7","-4.40 %","13,930.00"
"NMBMF","2024-05-05","647","675.2","625","643","1.26 %","35,306.00"
"NMBMF","2024-05-02","602","650","602","635","6.37 %","36,163.00"
"NMBMF","2024-04-30","585.1","622.2","585","597","0.34 %","10,323.00"
"NMBMF","2024-04-29","599.7","607","590.3","595","0.00 %","5,605.00"
"NMBMF","2024-04-28","583.1","598.8","581","595","1.02 %","5,842.00"
"NMBMF","2024-04-25","591","591","586.2","589","-1.17 %","1,839.00"
"NMBMF","2024-04-24","583.3","597.6","583.3","596","2.41 %","3,038.00"
"NMBMF","2024-04-22","610.9","610.9","582","582","-2.98 %","3,504.00"
"NMBMF","2024-04-21","581.4","601","581","599.9","1.33 %","2,606.00"
"NMBMF","2024-04-18","597","600","585","592","-2.29 %","4,017.00"
"NMBMF","2024-04-16","605","607","595","605.9","0.15 %","3,613.00"
"NMBMF","2024-04-15","619","632","605","605","-1.63 %","16,752.00"
"NMBMF","2024-04-14","590","622","586.5","615","4.77 %","12,751.00"
"NMBMF","2024-04-10","600","605","585","587","-2.60 %","12,325.00"
"NMBMF","2024-04-09","620","620","602.7","602.7","-2.73 %","11,570.00"
"NMBMF","2024-04-07","640","640.5","615","619.6","-1.34 %","20,036.00"
"NMBMF","2024-04-04","618.7","636.5","606","628","2.95 %","28,977.00"
"NMBMF","2024-04-03","589.9","619","578.3","610","4.27 %","25,750.00"
"NMBMF","2024-04-02","564","596","560.1","585","3.14 %","12,964.00"
"NMBMF","2024-04-01","565","573","563","567.2","-0.44 %","3,799.00"
"NMBMF","2024-03-31","571","577","565","569.7","-1.94 %","3,144.00"
"NMBMF","2024-03-28","570.5","581","570.5","581","0.00 %","2,624.00"
"NMBMF","2024-03-27","582","589","571.2","581","-0.17 %","3,171.00"
"NMBMF","2024-03-26","576.5","585","576.5","582","1.75 %","17,243.00"
"NMBMF","2024-03-25","597","597","571.6","572","-4.19 %","17,751.00"
"NMBMF","2024-03-21","610","614","592.2","597","-1.81 %","16,319.00"
"NMBMF","2024-03-20","576","620","575","608","7.61 %","58,189.00"
"NMBMF","2024-03-19","554","576","554","565","3.44 %","11,835.00"
