"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NMB","2024-08-11","240","249.7","238","249.1","5.15 %","268,794.00"
"NMB","2024-08-08","244","244","234.5","236.9","-1.70 %","162,026.00"
"NMB","2024-08-07","233.3","252","225","241","1.26 %","186,870.00"
"NMB","2024-08-06","259","259","237","238","-8.14 %","313,150.00"
"NMB","2024-08-05","272","272","254.1","259.1","-4.57 %","333,244.00"
"NMB","2024-08-01","276","280","270","271.5","-1.70 %","195,269.00"
"NMB","2024-07-31","275","286","269","276.2","2.07 %","410,788.00"
"NMB","2024-07-30","277","277","260","270.6","-2.42 %","332,635.00"
"NMB","2024-07-29","280.5","295.7","271.1","277.3","0.84 %","583,851.00"
"NMB","2024-07-28","255","275","255","275","10.00 %","455,185.00"
"NMB","2024-07-25","248","252.8","245","250","0.85 %","231,456.00"
"NMB","2024-07-24","257.9","257.9","245.1","247.9","-1.98 %","240,234.00"
"NMB","2024-07-23","241","265","238","252.9","4.59 %","253,696.00"
"NMB","2024-07-22","250","251.9","237.2","241.8","-2.50 %","267,928.00"
"NMB","2024-07-21","239.7","249","235","248","5.53 %","328,079.00"
"NMB","2024-07-18","225","244","220.1","235","5.86 %","336,191.00"
"NMB","2024-07-17","222.1","225","213.8","222","0.00 %","180,845.00"
"NMB","2024-07-16","213.9","222","213.9","222","1.83 %","124,086.00"
"NMB","2024-07-15","220","226.4","212","218","0.05 %","138,716.00"
"NMB","2024-07-14","216.2","224.3","212","217.9","2.78 %","106,849.00"
"NMB","2024-07-11","211","212","205","212","2.46 %","141,057.00"
"NMB","2024-07-10","206","206.9","201.8","206.9","2.43 %","81,179.00"
"NMB","2024-07-09","198","204","198","202","2.02 %","32,352.00"
"NMB","2024-07-08","201","203","197.1","198","-1.00 %","36,820.00"
"NMB","2024-07-07","199.5","201.9","196.5","200","1.06 %","59,035.00"
"NMB","2024-07-04","200","202","196","197.9","0.87 %","51,925.00"
"NMB","2024-07-03","191.5","198","191.5","196.2","0.62 %","47,010.00"
"NMB","2024-07-02","194.8","206","194.1","195","2.09 %","88,941.00"
"NMB","2024-07-01","180","191","179.3","191","4.83 %","33,988.00"
"NMB","2024-06-30","184","186","180.4","182.2","-1.51 %","41,536.00"
"NMB","2024-06-27","185","189.6","184.6","185","-0.70 %","16,616.00"
"NMB","2024-06-26","193.4","193.4","186.3","186.3","-1.84 %","30,469.00"
"NMB","2024-06-25","189","193.5","189","189.8","-0.11 %","20,899.00"
"NMB","2024-06-24","189","191.9","187.2","190","0.00 %","26,841.00"
"NMB","2024-06-23","190","193","189","190","-0.52 %","16,273.00"
"NMB","2024-06-20","197.5","197.5","188.2","191","-1.39 %","22,301.00"
"NMB","2024-06-19","194","194","190.1","193.7","1.84 %","23,032.00"
"NMB","2024-06-18","193","195","190","190.2","-1.45 %","24,719.00"
"NMB","2024-06-16","196","197","192.6","193","-0.97 %","24,476.00"
"NMB","2024-06-13","200.9","200.9","194.5","194.9","-1.07 %","44,550.00"
"NMB","2024-06-12","198","203","195","197","0.00 %","74,758.00"
"NMB","2024-06-11","196.8","199.9","189.5","197","2.07 %","57,035.00"
"NMB","2024-06-10","196.8","196.8","190","193","0.00 %","25,144.00"
