"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NSLB","2023-07-13","701.9","701.9","677","693.5","0.65 %","588.00"
"NSLB","2023-07-12","657","690","655","689","3.14 %","3,259.00"
"NSLB","2023-07-11","672","680","649.8","668","0.89 %","1,444.00"
"NSLB","2023-07-10","650","670","650","662.1","1.86 %","662.00"
"NSLB","2023-07-09","642.6","655","642","650","3.17 %","217.00"
"NSLB","2023-07-06","633","639","630","630","-1.25 %","93.00"
"NSLB","2023-07-05","663.5","663.5","638","638","-5.13 %","438.00"
"NSLB","2023-07-04","673","673","659.6","672.5","1.89 %","695.00"
"NSLB","2023-07-03","681","684","658","660","-3.08 %","1,866.00"
"NSLB","2023-07-02","714","719","681","681","-6.46 %","2,898.00"
"NSLB","2023-06-28","748.6","753","690","728","-0.82 %","4,060.00"
"NSLB","2023-06-27","679.3","737","679.3","734","8.05 %","5,227.00"
"NSLB","2023-06-26","666","679.3","658.1","679.3","4.03 %","1,842.00"
"NSLB","2023-06-25","660","685.8","650","653","-2.96 %","2,560.00"
"NSLB","2023-06-22","680.3","680.3","666.7","672.9","-1.09 %","248.00"
"NSLB","2023-06-21","654","680.3","635.4","680.3","1.96 %","2,710.00"
"NSLB","2023-06-20","681","706.8","667.2","667.2","-0.12 %","1,307.00"
"NSLB","2023-06-19","708.9","708.9","668","668","-5.77 %","1,235.00"
"NSLB","2023-06-18","670","708.9","657","708.9","5.81 %","1,145.00"
"NSLB","2023-06-15","659.6","673","647","670","-0.45 %","219.00"
"NSLB","2023-06-14","678.7","692.2","651.9","673","-0.78 %","1,320.00"
"NSLB","2023-06-13","640","678.3","640","678.3","5.65 %","1,491.00"
"NSLB","2023-06-12","635","643","635","642","0.47 %","1,543.00"
"NSLB","2023-06-11","630","639","620.1","639","1.43 %","495.00"
"NSLB","2023-06-08","630","630","618","630","0.00 %","634.00"
"NSLB","2023-06-07","620.2","630","620","630","1.61 %","367.00"
"NSLB","2023-06-06","618","620","618","620","0.32 %","392.00"
"NSLB","2023-06-05","619","619","607","618","-0.31 %","534.00"
"NSLB","2023-06-04","587.5","619.9","587.5","619.9","7.62 %","366.00"
"NSLB","2023-06-01","597.5","597.5","576","576","-1.72 %","1,200.00"
"NSLB","2023-05-31","583","589","583","586.1","-0.66 %","199.00"
"NSLB","2023-05-30","590","602","580","590","-1.99 %","400.00"
"NSLB","2023-05-28","644","645","602","602","-4.90 %","655.00"
