"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PMHPL","2024-08-11","310.5","324","307","323","6.08 %","129,384.00"
"PMHPL","2024-08-08","308","314","298","304.5","0.83 %","100,544.00"
"PMHPL","2024-08-07","285","307","282.4","302","5.52 %","56,975.00"
"PMHPL","2024-08-06","320","324.3","286.2","286.2","-10.00 %","98,448.00"
"PMHPL","2024-08-05","305","320","295.2","318","4.26 %","100,385.00"
"PMHPL","2024-08-01","308","313.1","295","305","0.73 %","93,210.00"
"PMHPL","2024-07-31","287.6","304","282","302.8","7.38 %","141,979.00"
"PMHPL","2024-07-30","275","284.5","271.5","282","2.55 %","31,080.00"
"PMHPL","2024-07-29","275","285","269.5","275","0.92 %","46,054.00"
"PMHPL","2024-07-28","277","282.5","270","272.5","0.18 %","37,306.00"
"PMHPL","2024-07-25","278","280","271.5","272","-2.16 %","28,497.00"
"PMHPL","2024-07-24","290","292","277.4","278","-2.52 %","49,426.00"
"PMHPL","2024-07-23","284","291","274.5","285.2","2.19 %","61,304.00"
"PMHPL","2024-07-22","283","290","271","279.1","-1.38 %","63,127.00"
"PMHPL","2024-07-21","284","288.6","272.9","283","-2.04 %","115,429.00"
"PMHPL","2024-07-18","272.4","295","269","288.9","5.63 %","96,814.00"
"PMHPL","2024-07-17","261.9","275","256","273.5","6.21 %","107,577.00"
"PMHPL","2024-07-16","237","259.8","237","257.5","9.02 %","57,610.00"
"PMHPL","2024-07-15","240","240","233.7","236.2","-0.92 %","17,869.00"
"PMHPL","2024-07-14","237.5","242.2","233","238.4","2.36 %","21,760.00"
"PMHPL","2024-07-11","225","233","225","232.9","2.15 %","22,390.00"
"PMHPL","2024-07-10","227","229","223","228","0.44 %","14,851.00"
"PMHPL","2024-07-09","227.1","229.9","224","227","-0.22 %","4,141.00"
"PMHPL","2024-07-08","227.9","230.5","226","227.5","-2.11 %","6,180.00"
"PMHPL","2024-07-07","224.6","232.7","224","232.4","1.48 %","12,680.00"
"PMHPL","2024-07-04","231.4","231.5","225","229","0.88 %","11,194.00"
"PMHPL","2024-07-03","232","232","226","227","-1.52 %","4,021.00"
"PMHPL","2024-07-02","234.6","253","230","230.5","0.22 %","13,475.00"
"PMHPL","2024-07-01","231","231","221.9","230","1.32 %","6,820.00"
"PMHPL","2024-06-30","222.6","229","222.5","227","0.22 %","3,551.00"
"PMHPL","2024-06-27","222.3","229","222.3","226.5","0.22 %","1,580.00"
"PMHPL","2024-06-26","234.2","234.2","225","226","-1.61 %","6,118.00"
"PMHPL","2024-06-25","226","233","225.5","229.7","0.31 %","7,833.00"
"PMHPL","2024-06-24","225.4","234","225.4","229","-0.35 %","6,679.00"
"PMHPL","2024-06-23","231","235","227","229.8","-2.21 %","9,774.00"
"PMHPL","2024-06-20","237","237","232.3","235","-2.49 %","4,838.00"
"PMHPL","2024-06-19","232.6","241","230","241","1.69 %","7,635.00"
"PMHPL","2024-06-18","235.8","239","231.1","237","-0.71 %","5,420.00"
"PMHPL","2024-06-16","233","241","233","238.7","0.72 %","20,837.00"
"PMHPL","2024-06-13","245","245","231.5","237","-1.66 %","18,504.00"
"PMHPL","2024-06-12","238","256","234.2","241","1.26 %","28,265.00"
"PMHPL","2024-06-11","229.2","242","229.2","238","1.80 %","50,000.00"
"PMHPL","2024-06-10","228.7","237","220.1","233.8","0.21 %","11,543.00"
"PMHPL","2024-06-09","220","238","219.6","233.3","4.20 %","11,030.00"
"PMHPL","2024-06-06","225","228.3","220.4","223.9","-0.09 %","7,295.00"
"PMHPL","2024-06-05","224.3","233","220.1","224.1","-2.05 %","5,970.00"
"PMHPL","2024-06-04","228","230","226","228.8","-0.48 %","1,599.00"
"PMHPL","2024-06-03","232.5","235.3","224.1","229.9","0.83 %","2,801.00"
"PMHPL","2024-06-02","228","232.5","225.1","228","0.00 %","4,572.00"
"PMHPL","2024-05-30","225","238.1","225","228","-0.44 %","2,120.00"
"PMHPL","2024-05-29","236.3","236.3","225","229","-1.17 %","10,513.00"
"PMHPL","2024-05-27","227","234.9","227","231.7","0.09 %","2,633.00"
"PMHPL","2024-05-26","235","236","231.4","231.5","-2.65 %","3,413.00"
"PMHPL","2024-05-22","240","244","237.6","237.8","-0.92 %","10,906.00"
"PMHPL","2024-05-21","238","242","232.6","240","2.56 %","12,077.00"
"PMHPL","2024-05-20","235","238.5","230.3","234","-0.34 %","14,276.00"
"PMHPL","2024-05-19","227","246","224","234.8","3.03 %","10,483.00"
"PMHPL","2024-05-16","224","227.9","221.1","227.9","-0.04 %","5,936.00"
"PMHPL","2024-05-15","227","232","226","228","-0.44 %","4,545.00"
"PMHPL","2024-05-14","219.2","229.9","219.2","229","4.09 %","7,565.00"
"PMHPL","2024-05-13","223.9","223.9","218","220","0.00 %","3,859.00"
"PMHPL","2024-05-12","217.6","225","217.6","220","-0.90 %","1,050.00"
"PMHPL","2024-05-09","221","225.4","217","222","2.07 %","3,309.00"
"PMHPL","2024-05-08","214.2","226","214.2","217.5","-0.23 %","506.00"
"PMHPL","2024-05-07","220","225.4","215.6","218","-2.20 %","9,064.00"
