"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RURU","2024-08-11","882.3","907","870","877","1.39 %","63,538.00"
"RURU","2024-08-08","912","926.8","855.2","865","-4.84 %","86,988.00"
"RURU","2024-08-07","860","915","847","909","5.82 %","78,613.00"
"RURU","2024-08-06","849.3","915.9","817","859","3.16 %","133,810.00"
"RURU","2024-08-05","772.1","832.7","772.1","832.7","10.00 %","207,692.00"
"RURU","2024-08-01","758.6","788.8","754","757","-2.20 %","54,988.00"
"RURU","2024-07-31","765","785","760","774","2.07 %","61,280.00"
"RURU","2024-07-30","768.4","771.1","750","758.3","0.65 %","50,549.00"
"RURU","2024-07-29","774","788.9","751.9","753.4","-2.66 %","53,944.00"
"RURU","2024-07-28","785","810","749.2","774","-0.76 %","41,286.00"
"RURU","2024-07-25","772","789","765","779.9","0.37 %","76,942.00"
"RURU","2024-07-24","740","818","739.1","777","3.75 %","92,526.00"
"RURU","2024-07-23","727","755","710","748.9","1.34 %","75,308.00"
"RURU","2024-07-22","745","745","718.5","739","0.53 %","62,357.00"
"RURU","2024-07-21","739","747","712","735.1","1.39 %","80,352.00"
"RURU","2024-07-18","708.9","764.5","700","725","4.32 %","90,287.00"
"RURU","2024-07-17","690","699.9","680.3","695","2.16 %","142,021.00"
"RURU","2024-07-16","662","693","651.6","680.3","2.76 %","58,428.00"
"RURU","2024-07-15","686.4","699","657.2","662","-1.63 %","33,206.00"
"RURU","2024-07-14","672","713","657.9","673","2.14 %","29,959.00"
"RURU","2024-07-11","626.7","664","626.7","658.9","3.05 %","40,654.00"
"RURU","2024-07-10","629.2","660","629.2","639.4","-0.40 %","16,435.00"
"RURU","2024-07-09","632","651","631.1","642","0.31 %","21,908.00"
"RURU","2024-07-08","642","650","634.1","640","-0.31 %","10,059.00"
"RURU","2024-07-07","650","651","634.1","642","0.00 %","30,127.00"
"RURU","2024-07-04","630","647.5","625.8","642","1.90 %","33,952.00"
"RURU","2024-07-03","632","632","615","630","0.78 %","18,282.00"
"RURU","2024-07-02","630","655","621","625.1","0.84 %","17,113.00"
"RURU","2024-07-01","628.9","628.9","616.5","619.9","0.47 %","6,228.00"
"RURU","2024-06-30","608.5","630","608.5","617","-0.32 %","7,622.00"
"RURU","2024-06-27","607.3","626","607.3","619","0.08 %","10,719.00"
"RURU","2024-06-26","636","636","618","618.5","-1.51 %","14,029.00"
"RURU","2024-06-25","616.1","638.9","616","628","1.95 %","18,446.00"
"RURU","2024-06-24","617.1","630","615","616","-0.81 %","27,027.00"
"RURU","2024-06-23","630","636","618.1","621","-0.48 %","17,931.00"
"RURU","2024-06-20","630","633","621","624","-0.78 %","17,164.00"
"RURU","2024-06-19","625.2","639","624","628.9","-0.65 %","16,367.00"
"RURU","2024-06-18","638","648","628","633","-2.01 %","17,904.00"
"RURU","2024-06-16","651.3","669.6","645","646","-2.71 %","23,208.00"
"RURU","2024-06-13","678","691.6","653.1","664","-0.15 %","30,314.00"
"RURU","2024-06-12","666.4","685","658","665","-2.19 %","32,727.00"
"RURU","2024-06-11","678","685","665.5","679.9","2.24 %","37,938.00"
