"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SADBL","2024-08-11","464","471.7","455","469","2.45 %","262,202.00"
"SADBL","2024-08-08","471.4","477","450.1","457.8","-0.95 %","389,724.00"
"SADBL","2024-08-07","442","464","436","462.2","4.83 %","235,307.00"
"SADBL","2024-08-06","469","474","440.2","440.9","-5.18 %","396,075.00"
"SADBL","2024-08-05","473.7","473.7","450.1","465","0.11 %","324,441.00"
"SADBL","2024-08-01","460","481","450","464.5","1.53 %","510,724.00"
"SADBL","2024-07-31","427","463.1","426.9","457.5","8.67 %","585,291.00"
"SADBL","2024-07-30","400","424","395","421","5.51 %","298,463.00"
"SADBL","2024-07-29","406","413","395.2","399","-1.72 %","391,067.00"
"SADBL","2024-07-28","391","408","384","406","5.43 %","316,398.00"
"SADBL","2024-07-25","384","392.7","381","385.1","-0.47 %","171,545.00"
"SADBL","2024-07-24","404","404","380","386.9","-2.79 %","269,417.00"
"SADBL","2024-07-23","380.2","402","379","398","4.99 %","266,887.00"
"SADBL","2024-07-22","395.6","395.6","376","379.1","-2.27 %","200,367.00"
"SADBL","2024-07-21","380","395.7","375.5","387.9","1.28 %","312,440.00"
"SADBL","2024-07-18","376.6","400","370","383","2.24 %","298,428.00"
"SADBL","2024-07-17","372","381","360.1","374.6","2.10 %","194,114.00"
"SADBL","2024-07-16","350","368","347","366.9","5.13 %","154,165.00"
"SADBL","2024-07-15","362.1","362.1","349","349","-1.69 %","112,788.00"
"SADBL","2024-07-14","366.1","373.4","352","355","-1.11 %","138,858.00"
"SADBL","2024-07-11","361.1","368.2","355","359","0.28 %","170,290.00"
"SADBL","2024-07-10","362.3","367.2","355","358","-0.28 %","139,461.00"
"SADBL","2024-07-09","350","368","349","359","3.16 %","200,598.00"
"SADBL","2024-07-08","348","348","338.1","348","0.00 %","170,867.00"
"SADBL","2024-07-07","351","355","343","348","-0.57 %","214,387.00"
"SADBL","2024-07-04","322.4","351.4","322.4","350","6.42 %","448,682.00"
"SADBL","2024-07-03","316","330","316","328.9","3.10 %","119,066.00"
"SADBL","2024-07-02","328.9","339.6","316","319","-1.09 %","89,172.00"
"SADBL","2024-07-01","304.6","322.5","303.4","322.5","4.71 %","38,535.00"
"SADBL","2024-06-30","315","315","304","308","-1.19 %","48,329.00"
"SADBL","2024-06-27","314","317.9","310.3","311.7","-0.73 %","22,696.00"
"SADBL","2024-06-26","318","320","313.1","314","-1.41 %","16,104.00"
"SADBL","2024-06-25","322","325.9","313.6","318.5","0.50 %","77,229.00"
"SADBL","2024-06-24","312","318","310.6","316.9","2.56 %","46,838.00"
"SADBL","2024-06-23","307.1","314.1","307.1","309","0.23 %","10,150.00"
"SADBL","2024-06-20","313.9","314.9","307.7","308.3","-1.78 %","41,310.00"
"SADBL","2024-06-19","307.4","316.2","307.4","313.9","0.22 %","21,024.00"
"SADBL","2024-06-18","315","318","313.2","313.2","-0.92 %","27,801.00"
"SADBL","2024-06-16","320","330","316","316.1","-1.22 %","42,062.00"
"SADBL","2024-06-13","321","333","313","320","1.56 %","133,745.00"
"SADBL","2024-06-12","320.8","320.8","313.1","315.1","-0.28 %","43,628.00"
"SADBL","2024-06-11","316.2","317.9","310.1","316","1.94 %","44,864.00"
"SADBL","2024-06-10","309","314","308","310","0.58 %","21,497.00"
"SADBL","2024-06-09","312.1","315.8","307.5","308.2","-2.44 %","61,659.00"
"SADBL","2024-06-06","317","317.9","313","315.9","-0.32 %","34,586.00"
"SADBL","2024-06-05","312.7","319","312.7","316.9","-0.66 %","24,909.00"
"SADBL","2024-06-04","319.5","319.5","314.9","319","1.59 %","53,943.00"
"SADBL","2024-06-03","323","323","313.3","314","-0.95 %","65,641.00"
"SADBL","2024-06-02","315","318.8","313","317","0.96 %","27,007.00"
"SADBL","2024-05-30","314","318","312.6","314","0.00 %","51,074.00"
"SADBL","2024-05-29","318.1","324.3","312.6","314","-1.88 %","81,937.00"
"SADBL","2024-05-27","315.2","321","315","320","1.59 %","58,361.00"
"SADBL","2024-05-26","325","326","315","315","-2.36 %","72,385.00"
"SADBL","2024-05-22","315.1","329","315.1","322.6","1.13 %","98,137.00"
"SADBL","2024-05-21","320","323.9","313","319","0.89 %","76,867.00"
"SADBL","2024-05-20","323","326.9","315","316.2","-0.66 %","100,761.00"
"SADBL","2024-05-19","324.3","324.3","317","318.3","0.09 %","99,966.00"
"SADBL","2024-05-16","325","328.6","317","318","-2.18 %","101,463.00"
"SADBL","2024-05-15","329.9","336","323.1","325.1","0.03 %","241,897.00"
"SADBL","2024-05-14","319","327.2","318.4","325","2.52 %","153,735.00"
"SADBL","2024-05-13","324","329","317","317","-0.35 %","191,356.00"
"SADBL","2024-05-12","312","326.4","311","318.1","1.99 %","328,418.00"
"SADBL","2024-05-09","304.9","314.9","304.9","311.9","1.60 %","65,723.00"
"SADBL","2024-05-08","306.2","312","305","307","-0.32 %","13,631.00"
"SADBL","2024-05-07","309.9","313.1","305","308","0.98 %","29,466.00"
"SADBL","2024-05-06","301.1","312","301.1","305","0.66 %","52,925.00"
"SADBL","2024-05-05","315","316","303","303","-3.81 %","90,483.00"
"SADBL","2024-05-02","328","328","314.2","315","-2.17 %","56,737.00"
"SADBL","2024-04-30","311.9","332","310","322","5.23 %","322,394.00"
"SADBL","2024-04-29","304.8","310","299.1","306","2.07 %","52,459.00"
"SADBL","2024-04-28","294.1","300.7","293","299.8","3.63 %","25,932.00"
"SADBL","2024-04-25","292","299","289.3","289.3","-1.57 %","12,646.00"
"SADBL","2024-04-24","288.2","297.8","288","293.9","0.31 %","24,628.00"
"SADBL","2024-04-22","291.8","295","290","293","-0.85 %","16,477.00"
"SADBL","2024-04-21","290.3","295.9","289","295.5","1.90 %","19,920.00"
"SADBL","2024-04-18","288.3","298","288.3","290","-1.02 %","7,590.00"
"SADBL","2024-04-16","296","301.7","293","293","-1.01 %","19,564.00"
"SADBL","2024-04-15","293.2","303.8","293.2","296","-1.00 %","22,650.00"
"SADBL","2024-04-14","303","303","293.3","299","0.34 %","12,457.00"
"SADBL","2024-04-10","304","305","298","298","-2.55 %","25,238.00"
"SADBL","2024-04-09","308","309","300.1","305.8","1.26 %","44,700.00"
"SADBL","2024-04-07","293.9","306","292.5","302","4.79 %","26,585.00"
"SADBL","2024-04-04","291.5","294","288.2","288.2","-0.96 %","18,978.00"
"SADBL","2024-04-03","292.2","297","287.3","291","-0.68 %","19,523.00"
"SADBL","2024-04-02","292.1","299.8","292.1","293","-0.34 %","15,039.00"
"SADBL","2024-04-01","296","296.9","294","294","-0.34 %","9,948.00"
"SADBL","2024-03-31","295","302","293","295","-1.30 %","13,319.00"
"SADBL","2024-03-28","297.1","303","294.5","298.9","0.61 %","21,943.00"
"SADBL","2024-03-27","307","307","297.1","297.1","-1.30 %","8,446.00"
"SADBL","2024-03-26","299","307","299","301","0.20 %","17,976.00"
"SADBL","2024-03-25","310","310","298.2","300.4","-1.51 %","17,676.00"
"SADBL","2024-03-21","310","310","302.3","305","-0.94 %","20,763.00"
"SADBL","2024-03-20","314","314","306.6","307.9","-1.57 %","56,465.00"
"SADBL","2024-03-19","319","319","308","312.8","-0.19 %","40,487.00"
"SADBL","2024-03-18","313","315","308.1","313.4","2.08 %","49,654.00"
"SADBL","2024-03-17","300.2","322","300.2","307","0.39 %","37,982.00"
"SADBL","2024-03-14","309","309","302.9","305.8","-1.04 %","12,751.00"
"SADBL","2024-03-13","307","315","306.5","309","-0.55 %","22,430.00"
"SADBL","2024-03-12","307","311","304.3","310.7","1.54 %","31,619.00"
"SADBL","2024-03-10","303.9","309","299","306","2.68 %","19,654.00"
"SADBL","2024-03-07","301","305","296.2","298","0.71 %","8,190.00"
"SADBL","2024-03-06","298","305","291","295.9","-0.37 %","21,152.00"
"SADBL","2024-03-05","303.8","308","295","297","-4.19 %","28,487.00"
"SADBL","2024-03-04","294.7","310","294.7","310","7.27 %","460.00"
"SADBL","2024-03-03","290","290","285","289","-0.34 %","19,085.00"
"SADBL","2024-02-29","290.1","295","287.2","290","-1.36 %","16,650.00"
"SADBL","2024-02-28","296.3","297.7","292.3","294","-0.74 %","9,746.00"
"SADBL","2024-02-27","297","300","294.7","296.2","-0.27 %","10,402.00"
"SADBL","2024-02-26","297","300","293.2","297","1.64 %","13,470.00"
"SADBL","2024-02-25","304.8","304.8","292.2","292.2","-2.24 %","25,991.00"
"SADBL","2024-02-22","302","302","297.1","298.9","-0.96 %","20,498.00"
"SADBL","2024-02-21","309","309","298.5","301.8","-0.85 %","20,285.00"
"SADBL","2024-02-20","302","305","300.2","304.4","1.47 %","18,079.00"
"SADBL","2024-02-18","304.3","310","299","300","-2.91 %","25,923.00"
"SADBL","2024-02-15","315","316","305","309","-1.59 %","20,938.00"
"SADBL","2024-02-14","305","322.9","299.1","314","3.97 %","101,992.00"
"SADBL","2024-02-13","310","310","300.2","302","-1.95 %","26,505.00"
"SADBL","2024-02-12","306.2","309.8","305.1","308","-0.32 %","21,821.00"
"SADBL","2024-02-11","314","314","305.4","309","-0.64 %","28,408.00"
"SADBL","2024-02-08","308","314.9","304","311","0.32 %","39,599.00"
"SADBL","2024-02-07","312.9","312.9","306","310","0.98 %","15,412.00"
"SADBL","2024-02-06","307","311.9","304.1","307","1.02 %","12,215.00"
"SADBL","2024-02-05","307","307","300.9","303.9","0.96 %","19,364.00"
"SADBL","2024-02-04","296.1","303","296.1","301","1.31 %","12,884.00"
"SADBL","2024-02-01","300","304","297.1","297.1","-1.95 %","24,392.00"
"SADBL","2024-01-31","311","311","300","303","-2.57 %","18,793.00"
"SADBL","2024-01-30","307.5","311.5","307.5","311","1.44 %","36,497.00"
"SADBL","2024-01-29","306","310","303","306.6","0.23 %","21,831.00"
"SADBL","2024-01-28","302","308","299.3","305.9","2.31 %","12,770.00"
"SADBL","2024-01-25","301.5","304","297.1","299","-0.40 %","25,667.00"
"SADBL","2024-01-24","308","308","300","300.2","-0.60 %","26,774.00"
"SADBL","2024-01-23","308","313.9","301","302","-0.98 %","16,799.00"
"SADBL","2024-01-22","310.9","314.9","301.1","305","-1.90 %","27,320.00"
"SADBL","2024-01-21","317.5","318","309","310.9","-3.98 %","73,668.00"
"SADBL","2024-01-18","322","329","315","323.8","-0.67 %","62,550.00"
"SADBL","2024-01-17","331","342.3","326","326","-1.51 %","106,024.00"
"SADBL","2024-01-16","324","337.9","323","331","3.44 %","65,780.00"
