"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SAGF","2024-08-11","9.79","10.36","9.79","10.06","0.80 %","25,027.00"
"SAGF","2024-08-08","9.76","10.14","9.76","9.98","0.30 %","9,320.00"
"SAGF","2024-08-07","9.82","10.1","9.82","9.95","-0.50 %","3,100.00"
"SAGF","2024-08-06","10.19","10.39","9.99","10","0.00 %","31,600.00"
"SAGF","2024-08-05","10.07","10.25","9.92","10","-2.34 %","515,300.00"
"SAGF","2024-08-01","9.85","10.24","9.85","10.24","2.71 %","16,740.00"
"SAGF","2024-07-31","10","10.1","9.86","9.97","-0.30 %","6,200.00"
"SAGF","2024-07-30","10.05","10.31","9.33","10","-2.25 %","302,799.00"
"SAGF","2024-07-29","10","10.23","10","10.23","2.30 %","53,500.00"
"SAGF","2024-07-28","10","10.1","9.91","10","-0.99 %","2,400.00"
"SAGF","2024-07-25","9.87","10.1","9.87","10.1","0.30 %","4,060.00"
"SAGF","2024-07-24","9.86","10.07","9.67","10.07","0.20 %","35,250.00"
"SAGF","2024-07-23","10","10.05","9.83","10.05","0.30 %","13,100.00"
"SAGF","2024-07-22","9.87","10.02","9.87","10.02","1.52 %","7,710.00"
"SAGF","2024-07-21","9.51","9.87","9.5","9.87","1.75 %","511,410.00"
"SAGF","2024-07-18","9.79","9.9","9.7","9.7","0.00 %","2,300.00"
"SAGF","2024-07-17","9.41","9.7","9.23","9.7","1.04 %","98,650.00"
"SAGF","2024-07-16","9.94","9.94","9.6","9.6","-5.33 %","1,000.00"
"SAGF","2024-07-15","9.58","10.34","9.58","10.14","7.87 %","2,480.00"
"SAGF","2024-07-14","9.26","9.44","9.19","9.4","-0.42 %","22,600.00"
"SAGF","2024-07-11","9.18","9.44","9.18","9.44","1.94 %","502,300.00"
"SAGF","2024-07-10","9.26","9.3","9.26","9.26","-0.64 %","4,500.00"
"SAGF","2024-07-09","9.5","9.5","9.32","9.32","-2.00 %","200.00"
