"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SAPDBL","2024-08-11","469","489.6","465","487.9","4.25 %","112,590.00"
"SAPDBL","2024-08-08","462","474","458","468","0.43 %","62,182.00"
"SAPDBL","2024-08-07","431.3","475","424.1","466","5.93 %","71,092.00"
"SAPDBL","2024-08-06","473","482.4","425.7","439.9","-7.00 %","110,598.00"
"SAPDBL","2024-08-05","479.9","480.4","470","473","0.42 %","90,211.00"
"SAPDBL","2024-08-01","495","495","470","471","-4.81 %","113,661.00"
"SAPDBL","2024-07-31","488.7","504.9","484","494.8","2.66 %","169,360.00"
"SAPDBL","2024-07-30","475","485","470","482","1.47 %","84,808.00"
"SAPDBL","2024-07-29","495","500","475","475","-3.63 %","89,942.00"
"SAPDBL","2024-07-28","486.5","494","470","492.9","3.33 %","111,190.00"
"SAPDBL","2024-07-25","458","483.9","458","477","4.10 %","201,730.00"
"SAPDBL","2024-07-24","456","474","453","458.2","-0.39 %","133,278.00"
"SAPDBL","2024-07-23","445","461","445","460","2.22 %","74,604.00"
"SAPDBL","2024-07-22","451","458","442","450","-0.86 %","73,630.00"
"SAPDBL","2024-07-21","459.1","467","447","453.9","-1.11 %","112,178.00"
"SAPDBL","2024-07-18","467","480","458","459","-3.35 %","115,058.00"
"SAPDBL","2024-07-17","456.1","484.8","456.1","474.9","2.79 %","116,644.00"
"SAPDBL","2024-07-16","421.4","465","421.4","462","7.44 %","126,866.00"
"SAPDBL","2024-07-15","443","450","428","430","-1.15 %","84,079.00"
"SAPDBL","2024-07-14","455.9","455.9","435","435","-2.68 %","87,044.00"
"SAPDBL","2024-07-11","440.3","457","436.1","447","-0.45 %","117,878.00"
"SAPDBL","2024-07-10","449","449.5","434","449","1.61 %","83,794.00"
"SAPDBL","2024-07-09","430","452","430","441.9","2.77 %","132,168.00"
"SAPDBL","2024-07-08","422","430","412","430","1.90 %","96,817.00"
"SAPDBL","2024-07-07","410.7","427","402.6","422","0.72 %","119,501.00"
"SAPDBL","2024-07-04","407","428","407","419","4.78 %","149,618.00"
"SAPDBL","2024-07-03","370","399.9","370","399.9","8.08 %","149,446.00"
"SAPDBL","2024-07-02","372.6","395","369","370","1.29 %","81,679.00"
"SAPDBL","2024-07-01","356","370.1","356","365.3","0.91 %","53,901.00"
"SAPDBL","2024-06-30","363.1","369","359","362","0.56 %","32,528.00"
"SAPDBL","2024-06-27","357.7","371","357.7","360","-1.37 %","42,540.00"
"SAPDBL","2024-06-26","382.8","382.8","365","365","-3.67 %","67,422.00"
"SAPDBL","2024-06-25","386","395","375","378.9","-0.03 %","98,027.00"
"SAPDBL","2024-06-24","364","380","358.1","379","5.90 %","122,975.00"
"SAPDBL","2024-06-23","345","364","345","357.9","2.29 %","85,638.00"
"SAPDBL","2024-06-20","345","357","343","349.9","-0.03 %","41,077.00"
"SAPDBL","2024-06-19","343","360","343","350","0.14 %","54,386.00"
"SAPDBL","2024-06-18","355","368","347.9","349.5","-1.55 %","61,132.00"
"SAPDBL","2024-06-16","363","385","352","355","-0.84 %","150,881.00"
"SAPDBL","2024-06-13","332.5","358.6","324","358","9.82 %","228,934.00"
"SAPDBL","2024-06-12","331.5","331.5","322","326","0.31 %","31,314.00"
"SAPDBL","2024-06-11","324","328","318","325","2.20 %","24,519.00"
"SAPDBL","2024-06-10","321","330","317","318","-0.93 %","21,683.00"
"SAPDBL","2024-06-09","323","327","320","321","-0.90 %","24,855.00"
"SAPDBL","2024-06-06","331","331","321.1","323.9","-0.34 %","23,341.00"
"SAPDBL","2024-06-05","320","330.4","320","325","0.31 %","32,478.00"
"SAPDBL","2024-06-04","331","331","324","324","-0.31 %","30,274.00"
"SAPDBL","2024-06-03","331.8","331.9","322.5","325","-0.12 %","18,044.00"
"SAPDBL","2024-06-02","318.1","325.5","318","325.4","2.33 %","24,953.00"
"SAPDBL","2024-05-30","320","321.9","315.2","318","0.60 %","25,212.00"
"SAPDBL","2024-05-29","327.9","327.9","315.6","316.1","-1.68 %","24,340.00"
"SAPDBL","2024-05-27","323","326","317.2","321.5","0.78 %","20,103.00"
"SAPDBL","2024-05-26","324","329","316","319","-2.74 %","30,222.00"
"SAPDBL","2024-05-22","336","336","325.1","328","-0.91 %","26,220.00"
"SAPDBL","2024-05-21","320","334","320","331","2.80 %","48,505.00"
"SAPDBL","2024-05-20","329","331.5","319","322","-0.92 %","51,033.00"
"SAPDBL","2024-05-19","329.4","331","322","325","0.62 %","40,830.00"
"SAPDBL","2024-05-16","333","339","320","323","-1.22 %","40,381.00"
"SAPDBL","2024-05-15","337.6","340","324.3","327","-1.21 %","60,229.00"
"SAPDBL","2024-05-14","341","341","330.3","331","-1.46 %","43,895.00"
"SAPDBL","2024-05-13","337.1","340.8","328.4","335.9","1.45 %","68,818.00"
"SAPDBL","2024-05-12","328","340","325.5","331.1","0.95 %","47,334.00"
"SAPDBL","2024-05-09","316","333","316","328","2.82 %","84,052.00"
