"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SDLBSL","2024-07-11","1118","1125","1060","1067","-4.56 %","15,863.00"
"SDLBSL","2024-07-10","1100","1165.8","1100","1118","2.95 %","24,411.00"
"SDLBSL","2024-07-09","1040","1091.4","1020","1086","6.47 %","23,724.00"
"SDLBSL","2024-07-08","1065","1066","1013.5","1020","-3.32 %","12,988.00"
"SDLBSL","2024-07-07","1076","1097","1055","1055","-2.31 %","13,261.00"
"SDLBSL","2024-07-04","1051.6","1115","1051.6","1080","0.65 %","6,892.00"
"SDLBSL","2024-07-03","1070","1090","1065","1073","-0.74 %","7,711.00"
"SDLBSL","2024-07-02","1103.6","1190.2","1080.1","1081","-0.09 %","6,899.00"
"SDLBSL","2024-07-01","1040","1099","1040","1082","4.04 %","14,678.00"
"SDLBSL","2024-06-30","1117.2","1130","1040","1040","-8.77 %","21,749.00"
"SDLBSL","2024-06-27","1230","1230","1135","1140","-6.17 %","10,882.00"
"SDLBSL","2024-06-26","1271.9","1271.9","1168.1","1215","-6.38 %","71,880.00"
"SDLBSL","2024-06-25","1470.8","1470.8","1297.8","1297.8","-10.00 %","28,344.00"
"SDLBSL","2024-06-24","1333.5","1443.3","1224.7","1442","5.97 %","63,948.00"
"SDLBSL","2024-06-23","1230","1360.7","1196","1360.7","10.00 %","32,295.00"
"SDLBSL","2024-06-20","1196","1273.9","1195","1237","2.74 %","37,879.00"
"SDLBSL","2024-06-19","1218.9","1219.9","1182","1204","0.67 %","19,580.00"
"SDLBSL","2024-06-18","1170","1250","1161","1196","2.49 %","32,697.00"
"SDLBSL","2024-06-16","1195","1203","1140","1167","-2.34 %","32,388.00"
"SDLBSL","2024-06-13","1108.2","1195.1","1108.2","1195","9.99 %","109,053.00"
"SDLBSL","2024-06-12","1007.5","1086.5","1000","1086.5","9.99 %","38,382.00"
"SDLBSL","2024-06-11","980","998","978.1","987.8","-0.82 %","4,017.00"
"SDLBSL","2024-06-10","974","999.6","974","996","2.13 %","5,500.00"
"SDLBSL","2024-06-09","1009","1009","975.2","975.2","-1.51 %","16,696.00"
"SDLBSL","2024-06-06","1026","1026","987.2","990.2","-1.67 %","10,660.00"
"SDLBSL","2024-06-05","964","1025","964","1007","3.28 %","21,207.00"
"SDLBSL","2024-06-04","972","1007","970","975","0.26 %","17,061.00"
"SDLBSL","2024-06-03","920","986","905.1","972.5","5.94 %","12,503.00"
"SDLBSL","2024-06-02","887.5","918","874","918","3.44 %","5,974.00"
"SDLBSL","2024-05-30","899.1","915","881","887.5","-2.15 %","9,062.00"
"SDLBSL","2024-05-29","935.1","956","891.8","907","-3.42 %","13,157.00"
"SDLBSL","2024-05-27","953","1003.9","939","939.1","-0.31 %","6,238.00"
"SDLBSL","2024-05-26","964","985","931.2","942","-3.68 %","8,193.00"
"SDLBSL","2024-05-22","1002","1002","976","978","-2.69 %","7,868.00"
"SDLBSL","2024-05-21","975.1","1019.9","961","1005","1.52 %","14,163.00"
"SDLBSL","2024-05-20","1018.1","1045","985","990","-2.75 %","13,788.00"
"SDLBSL","2024-05-19","987.9","1022.7","980","1018","0.99 %","14,019.00"
"SDLBSL","2024-05-16","958.8","1009","940","1008","7.23 %","20,873.00"
"SDLBSL","2024-05-15","955.4","987.9","935","940","-3.29 %","12,485.00"
"SDLBSL","2024-05-14","948","982.9","937","972","4.53 %","30,187.00"
"SDLBSL","2024-05-13","890","934.3","890","929.9","4.37 %","12,442.00"
"SDLBSL","2024-05-12","910","923.8","880","891","-2.09 %","11,758.00"
"SDLBSL","2024-05-09","968.7","968.7","899","910","-4.21 %","11,903.00"
"SDLBSL","2024-05-08","882","958.8","865","950","5.67 %","18,710.00"
"SDLBSL","2024-05-07","831","907.8","831","899","6.14 %","26,346.00"
"SDLBSL","2024-05-06","865","883","840","847","-2.98 %","26,131.00"
"SDLBSL","2024-05-05","819","883.3","819","873","8.72 %","33,395.00"
"SDLBSL","2024-05-02","742","803","742","803","10.00 %","29,708.00"
"SDLBSL","2024-04-30","718","734.4","705.1","730","3.47 %","3,192.00"
"SDLBSL","2024-04-29","700.2","710","700.2","705.5","0.36 %","1,167.00"
"SDLBSL","2024-04-28","687","714","687","703","0.43 %","4,233.00"
"SDLBSL","2024-04-25","706","715","692","700","-2.38 %","7,212.00"
"SDLBSL","2024-04-24","713","753","699","717.1","0.58 %","2,925.00"
"SDLBSL","2024-04-22","725","730","711.2","713","-3.13 %","1,397.00"
"SDLBSL","2024-04-21","710","736","703.2","736","1.94 %","1,155.00"
"SDLBSL","2024-04-18","745","745","712.2","722","-3.07 %","1,185.00"
"SDLBSL","2024-04-16","751","755","737","744.9","-2.63 %","3,268.00"
"SDLBSL","2024-04-15","775","790","760","765","0.00 %","4,003.00"
"SDLBSL","2024-04-14","745","774","732.4","765","4.08 %","4,274.00"
"SDLBSL","2024-04-10","758","768","735","735","-4.28 %","4,462.00"
"SDLBSL","2024-04-09","766.2","797","753","767.9","0.22 %","5,020.00"
"SDLBSL","2024-04-07","780","794","760","766.2","0.17 %","13,271.00"
"SDLBSL","2024-04-04","735","771","735","764.9","4.51 %","14,334.00"
"SDLBSL","2024-04-03","693","745","693","731.9","5.89 %","12,463.00"
"SDLBSL","2024-04-02","673","714","673","691.2","0.91 %","3,631.00"
"SDLBSL","2024-04-01","677","689","666","685","0.15 %","2,872.00"
"SDLBSL","2024-03-31","687.7","693","677.7","684","-0.96 %","3,835.00"
"SDLBSL","2024-03-28","686","699.6","685","690.6","-1.33 %","2,681.00"
"SDLBSL","2024-03-27","713.8","728","686.5","699.9","0.00 %","1,241.00"
"SDLBSL","2024-03-26","714","725","694","699.9","-0.01 %","3,138.00"
"SDLBSL","2024-03-25","716","723","700","700","-3.58 %","2,549.00"
"SDLBSL","2024-03-21","720.4","757","711","726","-1.24 %","5,336.00"
"SDLBSL","2024-03-20","718","764","710","735.1","4.40 %","15,470.00"
"SDLBSL","2024-03-19","677","708.9","677","704.1","4.31 %","6,941.00"
"SDLBSL","2024-03-18","651","675","639","675","3.05 %","8,321.00"
"SDLBSL","2024-03-17","667.8","668","655","655","-1.93 %","2,028.00"
"SDLBSL","2024-03-14","651","670","649","667.9","1.20 %","8,056.00"
"SDLBSL","2024-03-13","670","670","651.8","660","0.30 %","1,857.00"
"SDLBSL","2024-03-12","641","660","641","658","4.68 %","9,745.00"
"SDLBSL","2024-03-10","615","640","615","628.6","3.05 %","2,953.00"
"SDLBSL","2024-03-07","598.7","610.6","595","610","3.92 %","1,692.00"
"SDLBSL","2024-03-06","592","613","576","587","0.15 %","879.00"
"SDLBSL","2024-03-05","586","597.7","585","586.1","1.93 %","2,126.00"
"SDLBSL","2024-03-03","572","583","572","575","-1.37 %","528.00"
"SDLBSL","2024-02-29","591","602.8","582.2","583","0.00 %","762.00"
"SDLBSL","2024-02-28","586","593","583","583","-2.02 %","609.00"
"SDLBSL","2024-02-27","590","595.1","590","595","0.85 %","426.00"
"SDLBSL","2024-02-26","590","605","589","590","-0.84 %","2,504.00"
"SDLBSL","2024-02-25","607","607","594.9","595","-1.98 %","836.00"
"SDLBSL","2024-02-22","625","625","603","607","-2.88 %","2,466.00"
"SDLBSL","2024-02-21","606","630","606","625","1.13 %","900.00"
"SDLBSL","2024-02-20","610","618","600","618","-0.64 %","427.00"
"SDLBSL","2024-02-18","623.4","625","610","622","-2.20 %","1,011.00"
"SDLBSL","2024-02-15","635.1","645","625","636","0.16 %","806.00"
"SDLBSL","2024-02-14","635","644","630","635","0.32 %","1,102.00"
"SDLBSL","2024-02-13","656","656","625.1","633","-2.16 %","1,735.00"
"SDLBSL","2024-02-12","650","650","640","647","0.02 %","670.00"
"SDLBSL","2024-02-11","631","660","631","646.9","3.50 %","5,399.00"
"SDLBSL","2024-02-08","610","625","610","625","1.63 %","871.00"
"SDLBSL","2024-02-07","630","630","611","615","-0.49 %","755.00"
"SDLBSL","2024-02-06","603","622.2","603","618","2.32 %","1,685.00"
"SDLBSL","2024-02-05","600","615","600","604","-0.17 %","1,355.00"
"SDLBSL","2024-02-04","605","623","605","605","0.00 %","706.00"
"SDLBSL","2024-02-01","638","638","605","605","-5.60 %","1,908.00"
"SDLBSL","2024-01-31","636.1","640.9","625.1","640.9","-1.08 %","798.00"
"SDLBSL","2024-01-30","640.3","650","630.4","647.9","-0.31 %","863.00"
"SDLBSL","2024-01-29","657.9","657.9","645","649.9","0.76 %","1,197.00"
"SDLBSL","2024-01-28","640","646.1","628","645","-0.77 %","1,080.00"
"SDLBSL","2024-01-25","641","650","632.2","650","0.00 %","1,784.00"
"SDLBSL","2024-01-24","660","671","648","650","0.00 %","1,424.00"
"SDLBSL","2024-01-23","665","665","641","650","-0.61 %","948.00"
"SDLBSL","2024-01-22","628.1","654","625.1","654","2.67 %","3,607.00"
"SDLBSL","2024-01-21","650","664.1","635","637","-2.76 %","5,047.00"
"SDLBSL","2024-01-18","650","682","640","655.1","-1.19 %","2,430.00"
"SDLBSL","2024-01-17","652","708.9","652","663","1.69 %","4,461.00"
"SDLBSL","2024-01-16","624","664","613","652","4.00 %","7,228.00"
"SDLBSL","2024-01-14","602","637","602","626.9","2.77 %","2,131.00"
"SDLBSL","2024-01-11","620","625","604.2","610","-1.61 %","912.00"
"SDLBSL","2024-01-10","617","636","617","620","1.41 %","1,874.00"
"SDLBSL","2024-01-09","610","628","607","611.4","1.23 %","2,318.00"
"SDLBSL","2024-01-08","605","609.9","594","604","-0.33 %","1,344.00"
