"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SGI","2022-07-13","358.1","373","358.1","365","1.96 %","1,911.00"
"SGI","2022-07-12","353","373","348","358","-0.58 %","1,705.00"
"SGI","2022-07-11","371.7","372","360","360.1","-5.04 %","1,970.00"
"SGI","2022-07-08","380.3","387","374","379.2","-2.27 %","1,311.00"
"SGI","2022-07-07","395","402.9","388","388","-2.27 %","2,185.00"
"SGI","2022-07-06","396","408","385.2","397","-0.75 %","1,681.00"
"SGI","2022-07-05","403.8","409","393","400","-2.91 %","2,325.00"
"SGI","2022-07-04","403","434","397","412","1.75 %","5,081.00"
"SGI","2022-07-03","400","404.9","377.3","404.9","2.22 %","3,026.00"
"SGI","2022-07-01","403","405","396","396.1","-2.20 %","1,496.00"
"SGI","2022-06-30","381","412","381","405","4.38 %","3,268.00"
"SGI","2022-06-29","385","392","385","388","0.26 %","2,393.00"
"SGI","2022-06-28","392","394","377","387","-3.25 %","1,560.00"
"SGI","2022-06-27","400.1","421.3","382.5","400","0.18 %","4,314.00"
"SGI","2022-06-26","363","399.3","361","399.3","10.00 %","5,006.00"
"SGI","2022-06-24","337.3","364","325.5","363","5.83 %","1,879.00"
"SGI","2022-06-23","357","357","336.1","343","-3.92 %","2,573.00"
"SGI","2022-06-22","365","365","350","357","-2.19 %","1,270.00"
"SGI","2022-06-21","350","369.4","348","365","2.79 %","786.00"
"SGI","2022-06-20","352.8","357","352.8","355.1","-1.36 %","2,684.00"
"SGI","2022-06-19","366.6","371","360","360","-3.74 %","3,624.00"
"SGI","2022-06-17","380","381","374","374","-1.84 %","1,045.00"
"SGI","2022-06-16","380","394","380","381","0.26 %","714.00"
"SGI","2022-06-15","389","395","373.8","380","-2.34 %","2,840.00"
"SGI","2022-06-14","393.3","399.9","389.1","389.1","-2.73 %","2,312.00"
"SGI","2022-06-13","400","401","395","400","-0.27 %","1,144.00"
"SGI","2022-06-10","402","402","394.1","401.1","-1.69 %","400.00"
"SGI","2022-06-09","412","431.4","395.8","408","-1.69 %","3,985.00"
"SGI","2022-06-08","394","422","394","415","3.75 %","1,250.00"
"SGI","2022-06-07","410","415","399","400","-3.61 %","4,215.00"
"SGI","2022-06-06","423","431.4","405","415","-1.89 %","1,810.00"
"SGI","2022-06-03","415","423","402","423","0.24 %","4,198.00"
"SGI","2022-06-02","435","435","421","422","-2.99 %","930.00"
"SGI","2022-06-01","432","443","432","435","-1.14 %","915.00"
"SGI","2022-05-31","440","446","439","440","-1.17 %","1,139.00"
"SGI","2022-05-30","453","453","442","445.2","-1.13 %","1,930.00"
"SGI","2022-05-27","450","468","450","450.3","-1.25 %","1,270.00"
"SGI","2022-05-26","444.2","463","444.2","456","0.66 %","840.00"
"SGI","2022-05-25","451","486","451","453","0.67 %","2,295.00"
"SGI","2022-05-24","443","455","443","450","-0.22 %","1,485.00"
"SGI","2022-05-23","460","460","450.8","451","-3.01 %","4,300.00"
"SGI","2022-05-20","464","469","463","465","-1.29 %","1,650.00"
"SGI","2022-05-19","470","479.4","465","471.1","-1.65 %","4,154.00"
"SGI","2022-05-18","476","488","458","479","-0.00 %","7,089.00"
"SGI","2022-05-17","510","510","480","480","-6.98 %","4,568.00"
"SGI","2022-05-12","532","533","514.5","516","-1.15 %","6,312.00"
"SGI","2022-05-11","520.2","530","510","522","2.35 %","2,259.00"
"SGI","2022-05-10","489.2","515.8","488.1","510","2.80 %","2,230.00"
"SGI","2022-05-09","495","515.1","490","496.1","0.22 %","1,370.00"
"SGI","2022-05-08","503.8","503.8","469","495","0.20 %","3,665.00"
"SGI","2022-05-05","497","503.1","488.1","494","-2.56 %","3,109.00"
"SGI","2022-05-04","510.1","515","505","507","-2.50 %","1,455.00"
"SGI","2022-05-02","531","534","511.1","520","-3.70 %","4,392.00"
"SGI","2022-04-28","525.7","545","525.7","540","0.75 %","1,430.00"
"SGI","2022-04-27","532","545","532","536","-0.92 %","1,501.00"
