"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SHIVM","2024-08-11","701","766.9","690","733","4.45 %","1,596,710.00"
"SHIVM","2024-08-08","650.7","701.8","632","701.8","10.00 %","1,795,316.00"
"SHIVM","2024-08-07","620","645","600","638","3.49 %","738,959.00"
"SHIVM","2024-08-06","662","668","613","616.5","-6.16 %","649,496.00"
"SHIVM","2024-08-05","644","666","629","657","2.02 %","654,233.00"
"SHIVM","2024-08-01","675.2","675.2","640.1","644","-2.72 %","669,805.00"
"SHIVM","2024-07-31","640","689","640","662","5.01 %","603,659.00"
"SHIVM","2024-07-30","628.2","635","610.1","630.4","2.34 %","601,763.00"
"SHIVM","2024-07-29","600","638","580","616","4.41 %","988,686.00"
"SHIVM","2024-07-28","578.3","612","574","590","4.06 %","550,276.00"
"SHIVM","2024-07-25","574","580","565","567","-1.22 %","414,927.00"
"SHIVM","2024-07-24","599.7","599.7","569.7","574","-2.38 %","589,000.00"
"SHIVM","2024-07-23","577","591.5","568","588","3.00 %","423,490.00"
"SHIVM","2024-07-22","559","574.9","552","570.9","3.99 %","614,445.00"
"SHIVM","2024-07-21","539","560","525","549","3.39 %","452,961.00"
"SHIVM","2024-07-18","540","545","526","531","-0.91 %","305,292.00"
"SHIVM","2024-07-17","528","540","522.4","535.9","2.47 %","259,534.00"
"SHIVM","2024-07-16","505","525.2","500","523","4.12 %","176,342.00"
"SHIVM","2024-07-15","518.1","518.1","500.5","502.3","-1.12 %","114,880.00"
"SHIVM","2024-07-14","504","515","500","508","2.63 %","169,182.00"
"SHIVM","2024-07-11","501.7","501.7","494.1","495","0.63 %","141,780.00"
"SHIVM","2024-07-10","492","497.9","490","491.9","0.18 %","117,781.00"
"SHIVM","2024-07-09","498.4","498.4","488.1","491","0.00 %","48,913.00"
"SHIVM","2024-07-08","493","504","490","491","-1.11 %","69,815.00"
"SHIVM","2024-07-07","495","505","491","496.5","0.30 %","93,124.00"
"SHIVM","2024-07-04","489","497","485","495","1.85 %","92,822.00"
"SHIVM","2024-07-03","490","491","478","486","0.00 %","65,494.00"
"SHIVM","2024-07-02","483.4","514","480","486","2.53 %","104,083.00"
"SHIVM","2024-07-01","472.1","476.7","470.8","474","0.30 %","47,888.00"
"SHIVM","2024-06-30","475","480","470.5","472.6","-0.08 %","63,636.00"
"SHIVM","2024-06-27","478.5","479","472","473","-0.32 %","55,736.00"
"SHIVM","2024-06-26","483","483","473.9","474.5","-0.52 %","59,173.00"
"SHIVM","2024-06-25","485","487","476","477","-0.83 %","127,754.00"
"SHIVM","2024-06-24","485","488","480.2","481","-1.03 %","62,495.00"
"SHIVM","2024-06-23","495","495","483.2","486","-0.23 %","73,210.00"
"SHIVM","2024-06-20","495","495","487","487.1","-0.25 %","69,309.00"
