"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SHLB","2024-08-11","1863.5","1976.7","1820","1891","3.50 %","3,658.00"
"SHLB","2024-08-08","1854","2002","1825","1827","0.38 %","5,782.00"
"SHLB","2024-08-07","1821","1835","1789","1820","1.93 %","4,230.00"
"SHLB","2024-08-06","1833","1871","1785.6","1785.6","-0.76 %","4,069.00"
"SHLB","2024-08-05","1820","1831","1796.1","1799.2","-1.74 %","5,357.00"
"SHLB","2024-08-01","1840","1920","1831.1","1831.1","-1.50 %","3,670.00"
"SHLB","2024-07-31","1853","1900","1853","1859","0.32 %","3,996.00"
"SHLB","2024-07-30","1830","1861","1810.1","1853","0.43 %","2,679.00"
"SHLB","2024-07-29","1948.3","1948.3","1830","1845","-3.41 %","4,498.00"
"SHLB","2024-07-28","1993","2000","1854","1910.1","-2.25 %","4,797.00"
"SHLB","2024-07-25","1894","2011","1866","1954","5.05 %","8,966.00"
"SHLB","2024-07-24","1959.9","2002","1852","1860","-3.38 %","3,385.00"
"SHLB","2024-07-23","1856","2043","1854","1925","1.95 %","5,959.00"
"SHLB","2024-07-22","1957.9","2016","1881","1888.1","-1.67 %","5,186.00"
"SHLB","2024-07-21","2022","2022","1911","1920.1","-3.17 %","3,673.00"
"SHLB","2024-07-18","1976.7","2121","1968.9","1983","2.32 %","9,605.00"
"SHLB","2024-07-17","1978","1978","1876","1938","-0.10 %","2,414.00"
"SHLB","2024-07-16","1960","1960","1866","1940","-1.18 %","2,353.00"
"SHLB","2024-07-15","1927","2044","1850","1963.2","3.87 %","4,084.00"
"SHLB","2024-07-14","1925.7","2038.9","1863","1890","0.11 %","3,352.00"
"SHLB","2024-07-11","1958.5","1997","1866.2","1888","-1.67 %","2,829.00"
"SHLB","2024-07-10","1944","2060","1919","1920.1","0.74 %","3,593.00"
"SHLB","2024-07-09","1836","1980","1800","1906","5.89 %","10,112.00"
"SHLB","2024-07-08","1814","1814","1755","1800","0.90 %","4,532.00"
"SHLB","2024-07-07","1793","1793","1725.7","1784","1.35 %","1,714.00"
"SHLB","2024-07-04","1734","1803","1734","1760.2","-0.49 %","2,284.00"
"SHLB","2024-07-03","1738.3","1769.9","1738.3","1768.9","-0.23 %","2,300.00"
"SHLB","2024-07-02","1785","1856","1750.2","1773","1.31 %","1,135.00"
"SHLB","2024-07-01","1700","1853","1700","1750","1.01 %","1,588.00"
"SHLB","2024-06-30","1740","1755.4","1713","1732.5","-0.14 %","3,169.00"
"SHLB","2024-06-27","1753","1760","1735","1735","-1.42 %","1,799.00"
"SHLB","2024-06-26","1800","1807","1760","1760","-2.71 %","2,378.00"
"SHLB","2024-06-25","1775","1829","1775","1809","1.92 %","3,038.00"
"SHLB","2024-06-24","1793.9","1825","1761","1775","0.68 %","3,550.00"
"SHLB","2024-06-23","1810","1815","1750","1763","-4.18 %","4,129.00"
"SHLB","2024-06-20","1886","1924.7","1816","1840","-0.54 %","6,330.00"
"SHLB","2024-06-19","1711","1899.2","1698.1","1850","6.87 %","13,115.00"
"SHLB","2024-06-18","1750","1764","1700","1731.1","-0.45 %","4,533.00"
"SHLB","2024-06-16","1783.9","1783.9","1712.1","1739","-0.57 %","3,226.00"
"SHLB","2024-06-13","1749","1795","1681","1749","-0.06 %","5,068.00"
"SHLB","2024-06-12","1762","1790","1750","1750","-1.13 %","2,188.00"
"SHLB","2024-06-11","1770","1785","1740","1770","1.14 %","4,597.00"
"SHLB","2024-06-10","1715","1790","1691.1","1750","2.04 %","3,536.00"
"SHLB","2024-06-09","1735","1765","1713","1715","-1.44 %","6,791.00"
"SHLB","2024-06-06","1790","1815","1740","1740","-1.42 %","6,808.00"
"SHLB","2024-06-05","1737","1800","1737","1765","0.27 %","4,557.00"
"SHLB","2024-06-04","1770","1799.8","1760","1760.2","0.58 %","3,964.00"
"SHLB","2024-06-03","1703","1795.2","1669","1750","2.76 %","3,856.00"
"SHLB","2024-06-02","1716","1716","1656","1703","1.07 %","4,253.00"
"SHLB","2024-05-30","1719","1720","1665","1685","-0.20 %","4,923.00"
"SHLB","2024-05-29","1770","1839","1688.3","1688.3","-4.62 %","6,306.00"
"SHLB","2024-05-27","1752","1818","1751","1770","0.00 %","12,043.00"
"SHLB","2024-05-26","1803","1815.8","1744.6","1770","-3.33 %","14,276.00"
"SHLB","2024-05-22","1810","1860","1765","1830.9","0.35 %","8,568.00"
"SHLB","2024-05-21","1697.1","1845","1670","1824.5","5.71 %","14,231.00"
"SHLB","2024-05-20","1878.9","1930","1721","1726","-6.35 %","16,967.00"
"SHLB","2024-05-19","1780.6","1895.9","1720","1843","5.57 %","13,523.00"
"SHLB","2024-05-16","1600","1745.7","1600","1745.7","10.00 %","22,121.00"
"SHLB","2024-05-15","1545","1600","1498.4","1587","1.73 %","14,131.00"
"SHLB","2024-05-14","1540.2","1660","1515","1560","3.31 %","13,946.00"
"SHLB","2024-05-13","1400","1510","1400","1510","9.99 %","15,788.00"
"SHLB","2024-05-12","1272.9","1372.8","1272.9","1372.8","10.00 %","23,260.00"
"SHLB","2024-05-09","1270","1270","1227","1248","-1.58 %","3,926.00"
"SHLB","2024-05-08","1203.7","1271","1179.7","1268","7.45 %","4,683.00"
"SHLB","2024-05-07","1172.1","1234","1172.1","1180.1","-1.25 %","990.00"
"SHLB","2024-05-06","1206","1206","1160","1195","-2.85 %","1,877.00"
"SHLB","2024-05-05","1264.8","1285","1200","1230","-0.81 %","2,275.00"
"SHLB","2024-05-02","1225","1326.5","1225","1240","1.22 %","8,399.00"
"SHLB","2024-04-30","1200","1246","1172.2","1225","0.91 %","4,074.00"
"SHLB","2024-04-29","1220","1234","1196.1","1214","-1.54 %","3,222.00"
"SHLB","2024-04-28","1200","1252.1","1180","1233","1.90 %","2,195.00"
"SHLB","2024-04-25","1215","1230","1194","1210","-2.02 %","921.00"
"SHLB","2024-04-24","1220","1244.3","1200.5","1235","-0.40 %","2,081.00"
"SHLB","2024-04-22","1270","1295","1221","1240","-4.25 %","3,118.00"
"SHLB","2024-04-21","1215.2","1325","1191","1295","4.44 %","3,611.00"
"SHLB","2024-04-18","1274","1274","1205","1240","-4.62 %","5,144.00"
"SHLB","2024-04-16","1294.6","1344","1243.5","1300","-1.59 %","4,203.00"
"SHLB","2024-04-15","1288","1380","1278.9","1321","4.61 %","13,097.00"
"SHLB","2024-04-14","1148","1262.8","1140","1262.8","10.00 %","9,087.00"
"SHLB","2024-04-10","1180","1180","1124","1148","-2.38 %","4,787.00"
"SHLB","2024-04-09","1122","1176","1106","1176","4.34 %","9,334.00"
"SHLB","2024-04-07","1120","1168","1120","1127.1","2.37 %","10,163.00"
"SHLB","2024-04-04","1070","1142","1013","1101","4.86 %","10,660.00"
"SHLB","2024-04-03","994","1070","971.2","1050","7.69 %","8,647.00"
"SHLB","2024-04-02","984.3","1003","931.8","975","1.04 %","1,956.00"
"SHLB","2024-04-01","926.2","982","926.2","965","2.43 %","1,383.00"
"SHLB","2024-03-31","954.6","973","941.4","942.1","-3.28 %","1,955.00"
"SHLB","2024-03-28","952.6","974","950","974","0.41 %","1,501.00"
"SHLB","2024-03-27","990.1","1009.9","936","970","-3.96 %","2,465.00"
