"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SIC","2023-03-12","688.1","694","650","666","-4.86 %","1,247.00"
"SIC","2023-03-09","661","700","661","700","4.79 %","1,304.00"
"SIC","2023-03-07","660","673","660","668","0.75 %","1,323.00"
"SIC","2023-03-05","676.1","676.1","663","663","-1.19 %","1,481.00"
"SIC","2023-03-02","666","674","665.5","671","0.30 %","3,459.00"
"SIC","2023-03-01","663","674","663","669","1.06 %","2,022.00"
"SIC","2023-02-28","650.2","670","650","662","0.30 %","877.00"
"SIC","2023-02-27","661.1","666","653","660","0.00 %","1,641.00"
"SIC","2023-02-26","661.5","672","651","660","-2.21 %","3,567.00"
"SIC","2023-02-23","670","674.9","669","674.9","-1.19 %","1,853.00"
"SIC","2023-02-22","676","689","675","683","-0.15 %","2,564.00"
"SIC","2023-02-20","689","700","682","684","-0.73 %","1,101.00"
"SIC","2023-02-16","688.1","699","684","689","0.00 %","3,625.00"
"SIC","2023-02-15","701","701","689","689","0.15 %","2,201.00"
"SIC","2023-02-14","691","705.9","688","688","-0.43 %","8,156.00"
"SIC","2023-02-12","705","725","686","691","-2.89 %","6,724.00"
"SIC","2023-02-09","798","805","784","799.8","0.23 %","9,228.00"
"SIC","2023-02-08","810","812","790","798","0.39 %","5,410.00"
"SIC","2023-02-07","763.9","795","763.9","794.9","4.59 %","5,673.00"
"SIC","2023-02-06","759","764","752.4","760","1.02 %","2,613.00"
"SIC","2023-02-05","750","765","746","752.3","-0.96 %","4,019.00"
"SIC","2023-02-02","755","760","736.2","759.6","1.28 %","5,817.00"
"SIC","2023-02-01","763.7","770.1","749.1","750","-3.72 %","9,161.00"
"SIC","2023-01-31","800","825","770.2","779","-4.30 %","4,035.00"
"SIC","2023-01-30","855.1","855.1","799","814","-6.44 %","8,467.00"
"SIC","2023-01-29","928.2","930","870","870","-4.40 %","15,844.00"
"SIC","2023-01-26","887.4","957","887.4","910","4.60 %","17,264.00"
"SIC","2022-07-13","857","870","840","870","3.45 %","1,909.00"
"SIC","2022-07-12","823.2","848","807.1","841","0.12 %","2,806.00"
"SIC","2022-07-11","843","846","827.2","840","-2.33 %","2,054.00"
"SIC","2022-07-08","846","860","840","860","1.75 %","799.00"
"SIC","2022-07-07","870","875","845.2","845.2","-1.26 %","1,136.00"
"SIC","2022-07-06","851","875","835","856","0.12 %","2,137.00"
"SIC","2022-07-05","887.4","887.4","855","855","-1.72 %","1,638.00"
"SIC","2022-07-04","900","918","870","870","-1.84 %","6,038.00"
"SIC","2022-07-03","870","886.3","837","886.3","3.81 %","1,451.00"
"SIC","2022-07-01","830","855","830","853.8","2.26 %","1,921.00"
"SIC","2022-06-30","788","836","788","834.9","7.85 %","3,912.00"
"SIC","2022-06-29","765","774.1","758","774.1","2.80 %","850.00"
"SIC","2022-06-28","740","754","735","753","-0.26 %","532.00"
"SIC","2022-06-27","750","770","745","755","-0.66 %","2,405.00"
"SIC","2022-06-26","738","765","737","760","4.97 %","2,644.00"
"SIC","2022-06-24","700","724.9","686","724","3.43 %","1,259.00"
"SIC","2022-06-23","720","720","696","700","-3.91 %","2,322.00"
"SIC","2022-06-22","740.1","740.1","728","728.5","-2.87 %","1,027.00"
"SIC","2022-06-21","730","750","730","750","1.90 %","768.00"
"SIC","2022-06-20","763","772.9","720","736","-4.79 %","5,495.00"
"SIC","2022-06-19","770","800.7","770","773","-0.90 %","1,391.00"
"SIC","2022-06-17","788","788","780","780","-0.89 %","566.00"
"SIC","2022-06-16","770.3","801","770.3","787","0.13 %","748.00"
"SIC","2022-06-15","805.8","805.8","768.1","786","-0.51 %","2,031.00"
"SIC","2022-06-14","828.1","828.1","780.3","790","-6.51 %","3,701.00"
"SIC","2022-06-13","861.9","861.9","801","845","0.00 %","1,184.00"
"SIC","2022-06-10","848","848","776.6","845","-1.52 %","822.00"
"SIC","2022-06-09","882.3","882.3","846","858","-0.81 %","889.00"
"SIC","2022-06-08","795","868","792","865","8.81 %","4,092.00"
"SIC","2022-06-07","795","800","795","795","-1.85 %","587.00"
"SIC","2022-06-06","801","815","768.4","810","-0.61 %","1,801.00"
"SIC","2022-06-03","825","829.5","815","815","-2.86 %","855.00"
"SIC","2022-06-02","839.9","839.9","795.2","839","1.08 %","1,666.00"
"SIC","2022-06-01","845","851","830","830","-1.96 %","1,555.00"
"SIC","2022-05-31","885","885","830","846.6","-4.34 %","4,368.00"
"SIC","2022-05-30","895.8","928.2","885","885","-3.17 %","1,610.00"
"SIC","2022-05-27","900","930","900","914","0.11 %","844.00"
"SIC","2022-05-26","921","930","895.1","913","1.11 %","1,347.00"
"SIC","2022-05-25","911","925","902","903","-0.77 %","649.00"
"SIC","2022-05-24","925","928","878","910","-2.26 %","2,998.00"
"SIC","2022-05-23","975","975","930","931","-2.72 %","2,084.00"
"SIC","2022-05-20","970","970","956.5","957","-0.63 %","832.00"
"SIC","2022-05-19","990","995.5","961.3","963.1","-1.32 %","907.00"
"SIC","2022-05-18","965.3","984","946.2","976","-0.01 %","1,868.00"
"SIC","2022-05-17","1030","1030","981","985","-5.74 %","2,146.00"
"SIC","2022-05-12","1064","1085","1030","1045","0.16 %","1,565.00"
"SIC","2022-05-11","985","1043.4","985","1043.3","6.24 %","5,194.00"
"SIC","2022-05-10","988","1004","961","982","1.34 %","870.00"
"SIC","2022-05-09","949","984.3","949","969","2.11 %","1,038.00"
"SIC","2022-05-08","949","966","931","949","-1.71 %","2,539.00"
"SIC","2022-05-05","965","975","962","965.5","-1.08 %","1,454.00"
"SIC","2022-05-04","1000","1018","976","976","-4.31 %","2,970.00"
"SIC","2022-05-02","1085","1085","1010","1020","-5.48 %","4,364.00"
"SIC","2022-04-28","1326","1333.9","1295","1295","-1.22 %","16,276.00"
"SIC","2022-04-27","1313","1315","1290.1","1311","0.85 %","1,708.00"
"SIC","2022-04-26","1335","1337","1297","1300","-1.44 %","2,830.00"
"SIC","2022-04-25","1356","1356","1303.4","1319","-0.83 %","3,239.00"
"SIC","2022-04-24","1280","1330","1275","1330","3.91 %","4,754.00"
"SIC","2022-04-21","1300.5","1300.5","1255","1280","0.39 %","11,902.00"
"SIC","2022-04-20","1290","1315","1239.8","1275","0.79 %","6,126.00"
"SIC","2022-04-19","1275","1275","1250","1265","1.18 %","2,633.00"
"SIC","2022-04-18","1272","1285","1245","1250.2","-3.09 %","2,677.00"
"SIC","2022-04-17","1306","1310","1290","1290","-1.23 %","887.00"
"SIC","2022-04-13","1280.1","1306","1261","1306","2.35 %","744.00"
"SIC","2022-04-12","1275","1290","1275","1276","-1.85 %","846.00"
"SIC","2022-04-11","1312","1316.1","1290","1300","-0.76 %","2,129.00"
"SIC","2022-04-07","1305","1323","1305","1310","0.38 %","2,837.00"
"SIC","2022-04-06","1335","1344","1305","1305","-1.66 %","2,007.00"
"SIC","2022-04-05","1356","1356","1315","1327","-2.21 %","5,794.00"
"SIC","2022-04-04","1390","1395","1357","1357","-1.09 %","2,540.00"
"SIC","2022-04-03","1400","1404","1372","1372","-2.70 %","4,260.00"
"SIC","2022-03-31","1429","1429","1389.5","1410","0.57 %","7,647.00"
"SIC","2022-03-30","1350","1402","1350","1402","2.71 %","2,563.00"
"SIC","2022-03-29","1380","1380","1350","1365","-2.60 %","4,030.00"
"SIC","2022-03-28","1430","1449","1401.5","1401.5","-1.86 %","11,851.00"
"SIC","2022-03-27","1433","1495","1426.1","1428","1.64 %","26,597.00"
"SIC","2022-03-24","1390","1413","1390","1405","0.72 %","4,621.00"
"SIC","2022-03-23","1400","1400","1387","1395","-0.64 %","1,790.00"
"SIC","2022-03-22","1405","1410","1399","1404","0.29 %","3,691.00"
"SIC","2022-03-21","1417","1420","1376","1400","-1.34 %","10,037.00"
"SIC","2022-03-20","1412","1440","1406","1419","-0.42 %","33,206.00"
"SIC","2022-03-16","1384.8","1425","1380","1425","0.85 %","10,967.00"
"SIC","2022-03-15","1328","1413","1322.1","1413","6.64 %","15,716.00"
"SIC","2022-03-14","1319","1325","1300","1325","1.22 %","1,926.00"
"SIC","2022-03-13","1298.4","1309","1280","1309","2.83 %","2,803.00"
"SIC","2022-03-10","1248","1273","1240","1273","2.00 %","3,036.00"
"SIC","2022-03-09","1262","1270","1242","1248","-1.03 %","1,998.00"
"SIC","2022-03-07","1268","1275","1261","1261","-0.55 %","1,326.00"
"SIC","2022-03-06","1260.1","1275","1260","1268","0.71 %","1,892.00"
"SIC","2022-03-02","1308","1308","1250","1259","-1.87 %","7,330.00"
"SIC","2022-02-28","1325","1325","1276.2","1283","-2.36 %","5,542.00"
"SIC","2022-02-27","1326","1349","1285","1314","1.08 %","7,799.00"
"SIC","2022-02-24","1317.2","1340","1300","1300","-3.27 %","10,051.00"
"SIC","2022-02-23","1347","1360","1320","1344","0.52 %","7,345.00"
"SIC","2022-02-22","1296.1","1345","1296.1","1337","3.64 %","8,830.00"
"SIC","2022-02-21","1326","1326","1276","1290","-0.77 %","1,018.00"
"SIC","2022-02-20","1292.7","1300.5","1270","1300","-1.44 %","6,078.00"
"SIC","2022-02-17","1330","1330","1294","1319","-0.08 %","2,517.00"
"SIC","2022-02-16","1309","1350","1286.1","1320","2.72 %","6,164.00"
"SIC","2022-02-15","1315","1315","1285","1285","-0.39 %","2,962.00"
"SIC","2022-02-14","1300","1309.9","1288","1290","-0.15 %","3,069.00"
"SIC","2022-02-13","1319","1319","1292","1292","-3.95 %","3,159.00"
"SIC","2022-02-10","1360","1360","1333","1345.1","-2.88 %","1,423.00"
"SIC","2022-02-09","1371","1387","1355","1385","-0.22 %","4,206.00"
"SIC","2022-02-08","1400","1400","1370","1388","0.00 %","6,346.00"
"SIC","2022-02-07","1345","1393.9","1345","1390","1.46 %","6,403.00"
"SIC","2022-02-06","1360","1390","1345","1370","-0.72 %","5,818.00"
"SIC","2022-02-03","1380","1396","1373","1380","0.73 %","3,963.00"
