"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SJCL","2024-08-11","404","420","396.1","402","-0.50 %","211,127.00"
"SJCL","2024-08-08","380","408","370.2","404","8.02 %","484,939.00"
"SJCL","2024-08-07","351","379","351","374","4.47 %","97,842.00"
"SJCL","2024-08-06","382.5","382.5","350.1","358","-4.53 %","162,458.00"
"SJCL","2024-08-05","382","382","351.9","375","0.00 %","186,426.00"
"SJCL","2024-08-01","390","393","366","375","-3.33 %","186,862.00"
"SJCL","2024-07-31","374.7","404.1","374.7","387.9","5.58 %","254,112.00"
"SJCL","2024-07-30","339","367.4","335","367.4","10.00 %","358,546.00"
"SJCL","2024-07-29","325","346.8","322","334","2.45 %","166,780.00"
"SJCL","2024-07-28","329.9","329.9","320","326","0.77 %","41,229.00"
"SJCL","2024-07-25","328.1","330","321","323.5","-1.37 %","74,219.00"
"SJCL","2024-07-24","333.3","345","327.5","328","-3.24 %","104,282.00"
"SJCL","2024-07-23","322","344.6","317","339","5.28 %","171,223.00"
"SJCL","2024-07-22","315.1","330","306.6","322","2.19 %","110,670.00"
"SJCL","2024-07-21","293.1","319.9","293.1","315.1","5.38 %","99,674.00"
"SJCL","2024-07-18","308","309","295","299","-2.32 %","81,297.00"
"SJCL","2024-07-17","299.4","308","292.4","306.1","2.27 %","70,213.00"
"SJCL","2024-07-16","286","301.1","281","299.3","5.50 %","74,133.00"
"SJCL","2024-07-15","276","287.4","270.1","283.7","3.01 %","42,409.00"
"SJCL","2024-07-14","269.7","285","268.2","275.4","4.12 %","22,833.00"
"SJCL","2024-07-11","266.2","272.5","260","264.5","0.95 %","21,826.00"
"SJCL","2024-07-10","261.1","263","260","262","0.38 %","10,882.00"
"SJCL","2024-07-09","260.3","264","259.4","261","-1.14 %","11,745.00"
"SJCL","2024-07-08","268","268","260.2","264","0.15 %","3,708.00"
"SJCL","2024-07-07","260.5","266","260.5","263.6","-0.08 %","9,630.00"
"SJCL","2024-07-04","267","267","257","263.8","0.69 %","12,933.00"
"SJCL","2024-07-03","257.2","262","257.2","262","0.00 %","4,175.00"
"SJCL","2024-07-02","262.5","277.1","259","262","1.79 %","8,775.00"
"SJCL","2024-07-01","257.3","265","257.3","257.4","-1.00 %","3,270.00"
"SJCL","2024-06-30","257","261","256","260","1.17 %","3,169.00"
"SJCL","2024-06-27","260","264","257","257","-1.15 %","8,975.00"
"SJCL","2024-06-26","260.1","264","259","260","-1.14 %","8,675.00"
"SJCL","2024-06-25","267.2","267.2","262","263","0.38 %","5,301.00"
"SJCL","2024-06-24","257.1","272.5","257.1","262","0.73 %","4,620.00"
"SJCL","2024-06-23","259","263","259","260.1","-0.73 %","7,826.00"
"SJCL","2024-06-20","263","265","261.3","262","-0.30 %","3,675.00"
"SJCL","2024-06-19","262.2","265","262.2","262.8","-0.83 %","6,786.00"
"SJCL","2024-06-18","263","270","263","265","-1.12 %","8,117.00"
"SJCL","2024-06-16","267","271","266.4","268","-1.40 %","11,626.00"
"SJCL","2024-06-13","263.6","274","263.6","271.8","1.08 %","7,586.00"
"SJCL","2024-06-12","274","275","265","268.9","-0.41 %","7,391.00"
"SJCL","2024-06-11","267","270.9","262","270","2.86 %","13,415.00"
"SJCL","2024-06-10","265.2","265.2","260","262.5","0.96 %","8,935.00"
"SJCL","2024-06-09","259.1","268.3","259.1","260","-1.18 %","17,976.00"
"SJCL","2024-06-06","272.3","272.3","263","263.1","-1.46 %","9,636.00"
"SJCL","2024-06-05","265.2","270","260.1","267","-0.11 %","17,761.00"
"SJCL","2024-06-04","267.1","270","266","267.3","-1.00 %","2,639.00"
"SJCL","2024-06-03","266.3","271.9","266.3","270","0.07 %","4,287.00"
"SJCL","2024-06-02","271","272","265.1","269.8","1.24 %","7,720.00"
"SJCL","2024-05-30","268","272.9","266.5","266.5","-0.56 %","4,700.00"
"SJCL","2024-05-29","281.5","281.5","268","268","-2.90 %","7,876.00"
"SJCL","2024-05-27","270","280","270","276","0.36 %","3,060.00"
"SJCL","2024-05-26","275","278","273.1","275","-0.76 %","4,208.00"
"SJCL","2024-05-22","276","282.9","276","277.1","-0.32 %","8,329.00"
"SJCL","2024-05-21","280","282","266.7","278","0.40 %","11,955.00"
"SJCL","2024-05-20","277","280","272","276.9","1.76 %","6,463.00"
"SJCL","2024-05-19","275.2","276.9","268.1","272.1","0.82 %","12,618.00"
"SJCL","2024-05-16","262.7","270","262.7","269.9","0.71 %","7,991.00"
"SJCL","2024-05-15","269","272","265.2","268","-0.37 %","5,625.00"
"SJCL","2024-05-14","263.5","270","262","269","0.75 %","7,914.00"
"SJCL","2024-05-13","261","269","261","267","1.10 %","3,145.00"
"SJCL","2024-05-12","264.5","273","260","264.1","-0.15 %","4,994.00"
"SJCL","2024-05-09","260.2","270","260.2","264.5","-0.19 %","7,060.00"
"SJCL","2024-05-08","260","270","260","265","0.76 %","2,749.00"
"SJCL","2024-05-07","261.1","280.5","261.1","263","-1.13 %","3,214.00"
"SJCL","2024-05-06","261.1","271","261.1","266","0.11 %","2,473.00"
"SJCL","2024-05-05","266","271","265.7","265.7","-1.96 %","3,094.00"
"SJCL","2024-05-02","273","273","264.7","271","0.37 %","3,831.00"
"SJCL","2024-04-30","265.3","275","264","270","0.37 %","22,597.00"
"SJCL","2024-04-29","267","281.8","267","269","-0.70 %","2,075.00"
"SJCL","2024-04-28","267","273","267","270.9","-0.55 %","4,840.00"
"SJCL","2024-04-25","269","274","268.9","272.4","-0.58 %","3,030.00"
"SJCL","2024-04-24","269.2","274","269.1","274","-0.18 %","2,186.00"
"SJCL","2024-04-22","280","284","271","274.5","-3.68 %","6,205.00"
"SJCL","2024-04-21","264","285","263","285","5.87 %","5,238.00"
"SJCL","2024-04-18","269.4","271","268.7","269.2","-1.79 %","4,605.00"
"SJCL","2024-04-16","274.5","278","272.3","274.1","-2.04 %","6,075.00"
"SJCL","2024-04-15","277","280","273","279.8","-0.71 %","7,065.00"
"SJCL","2024-04-14","272","283","272","281.8","1.70 %","10,644.00"
"SJCL","2024-04-10","282","282","276.4","277.1","-0.07 %","5,527.00"
"SJCL","2024-04-09","275","281","275","277.3","-0.61 %","6,600.00"
"SJCL","2024-04-07","283.5","289","273","279","0.36 %","9,634.00"
"SJCL","2024-04-04","273.4","278","273.4","278","0.11 %","6,620.00"
"SJCL","2024-04-03","275.1","280","275.1","277.7","0.25 %","3,558.00"
"SJCL","2024-04-02","276.1","279.9","275.2","277","-0.40 %","6,289.00"
"SJCL","2024-04-01","277","281","276.7","278.1","-1.03 %","4,165.00"
"SJCL","2024-03-31","283.1","284.1","281","281","-1.71 %","3,550.00"
"SJCL","2024-03-28","281","286.4","278.1","285.9","-0.07 %","4,070.00"
"SJCL","2024-03-27","283.7","293","274","286.1","-1.14 %","2,975.00"
"SJCL","2024-03-26","274","295.3","274","289.4","4.10 %","5,296.00"
"SJCL","2024-03-25","276.6","280","276.5","278","-1.42 %","2,985.00"
"SJCL","2024-03-21","280","282","276.4","282","0.00 %","13,420.00"
"SJCL","2024-03-20","278.4","295","278.4","282","-0.70 %","12,863.00"
"SJCL","2024-03-19","284.6","287","283","284","-0.11 %","5,494.00"
"SJCL","2024-03-18","283.2","288","283.2","284.3","-1.28 %","7,714.00"
"SJCL","2024-03-17","285","290","284.2","288","0.35 %","6,933.00"
"SJCL","2024-03-14","286","300","286","287","-1.37 %","9,967.00"
"SJCL","2024-03-13","292","295","288","291","-0.72 %","6,493.00"
"SJCL","2024-03-12","289.6","295","285","293.1","3.20 %","11,212.00"
"SJCL","2024-03-10","290","298","284","284","-1.39 %","11,581.00"
"SJCL","2024-03-07","284.9","296","282.1","288","2.86 %","18,902.00"
"SJCL","2024-03-06","274","287.9","274","280","0.68 %","7,564.00"
"SJCL","2024-03-05","287.5","293","278","278.1","-1.35 %","19,898.00"
"SJCL","2024-03-04","271","281.9","271","281.9","3.64 %","60.00"
"SJCL","2024-03-03","269.5","275","269.5","272","0.07 %","8,353.00"
"SJCL","2024-02-29","279","279","271.5","271.8","-2.93 %","16,202.00"
"SJCL","2024-02-28","277.2","285","275.7","280","-0.18 %","12,056.00"
"SJCL","2024-02-27","274.3","285.2","274.3","280.5","2.26 %","6,254.00"
"SJCL","2024-02-26","270.3","285","270.3","274.3","-0.25 %","8,741.00"
"SJCL","2024-02-25","275","282","275","275","-1.79 %","11,819.00"
"SJCL","2024-02-22","285","288","280","280","-2.06 %","14,699.00"
"SJCL","2024-02-21","290.2","295","285.7","285.9","-1.92 %","14,973.00"
"SJCL","2024-02-20","290.1","297","290.1","291.5","-0.34 %","13,957.00"
"SJCL","2024-02-18","295.6","303.4","292","292.5","-1.68 %","13,053.00"
"SJCL","2024-02-15","296.8","304","296.8","297.5","-0.63 %","21,551.00"
"SJCL","2024-02-14","296.1","304","296.1","299.4","-0.86 %","6,586.00"
"SJCL","2024-02-13","305","306","298","302","0.33 %","34,827.00"
"SJCL","2024-02-12","295","302.5","294.1","301","1.01 %","10,142.00"
"SJCL","2024-02-11","297","302","297","298","0.68 %","10,803.00"
"SJCL","2024-02-08","291","296","291","296","0.34 %","9,696.00"
"SJCL","2024-02-07","295","300","289.2","295","0.00 %","3,643.00"
"SJCL","2024-02-06","286","295","286","295","1.72 %","6,320.00"
"SJCL","2024-02-05","289","293","286.3","290","0.03 %","9,667.00"
"SJCL","2024-02-04","287","296","286","289.9","-0.21 %","15,129.00"
"SJCL","2024-02-01","300","305","290.4","290.5","-3.87 %","41,751.00"
"SJCL","2024-01-31","305","311.9","302.2","302.2","-1.31 %","14,570.00"
"SJCL","2024-01-30","300.7","311","300.7","306.2","0.39 %","15,720.00"
"SJCL","2024-01-29","300","311","300","305","0.00 %","9,787.00"
"SJCL","2024-01-28","294.2","316","294.2","305","1.67 %","9,448.00"
