"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SLI","2023-03-22","402","405","393","396.8","-1.29 %","3,407.00"
"SLI","2023-03-20","398.1","405","393","402","-0.25 %","4,191.00"
"SLI","2023-03-19","394","405","388.1","403","0.25 %","5,157.00"
"SLI","2023-03-16","391.9","405","391.9","402","0.75 %","4,702.00"
"SLI","2023-03-15","392.3","402.9","392.3","399","0.25 %","2,929.00"
"SLI","2023-03-14","395","400","395","398","-0.70 %","2,616.00"
"SLI","2023-03-13","399.9","404","394.1","400.8","-1.76 %","5,002.00"
"SLI","2023-03-12","412","412","405","408","-0.97 %","7,499.00"
"SLI","2023-03-09","399","412","396","412","3.83 %","7,471.00"
"SLI","2023-03-07","396","405","388.1","396.8","0.20 %","2,460.00"
"SLI","2023-03-05","399","408.9","389","396","-0.98 %","15,809.00"
"SLI","2023-03-02","398.9","400","395.3","399.9","-1.74 %","7,308.00"
"SLI","2023-03-01","405","414","399","407","-0.66 %","3,855.00"
"SLI","2023-02-28","400","411.3","396","409.7","0.42 %","4,773.00"
"SLI","2023-02-27","401.8","415","398","408","-0.49 %","7,159.00"
"SLI","2023-02-26","401.8","410","393.8","410","0.00 %","14,274.00"
"SLI","2023-02-23","405","413","396.9","410","-0.73 %","9,272.00"
"SLI","2023-02-22","397.1","415","397.1","413","2.66 %","4,401.00"
"SLI","2023-02-20","410","410","402.1","402.3","-1.88 %","6,741.00"
"SLI","2023-02-16","407.2","415","405","410","-1.32 %","8,828.00"
"SLI","2023-02-15","410","425","410","415.5","-0.62 %","8,796.00"
"SLI","2023-02-14","415","425","410","418.1","0.02 %","9,934.00"
"SLI","2023-02-12","428.3","430","417.8","418","-4.35 %","16,128.00"
"SLI","2023-02-09","430.3","446.8","421.7","437","-0.46 %","9,238.00"
"SLI","2023-02-08","452.8","453.9","433.7","439","-1.13 %","13,578.00"
"SLI","2023-02-07","425","444","420","444","4.96 %","14,540.00"
"SLI","2023-02-06","424","432","411.5","423","-0.24 %","6,419.00"
"SLI","2023-02-05","424","430","414.2","424","-0.24 %","9,074.00"
"SLI","2023-02-02","427.8","433","422","425","-2.63 %","14,291.00"
"SLI","2023-02-01","422.1","436.5","422.1","436.5","1.49 %","11,556.00"
"SLI","2023-01-31","425.3","440","425.3","430.1","-0.74 %","14,712.00"
"SLI","2023-01-30","443.1","455","433","433.3","-4.14 %","24,733.00"
"SLI","2023-01-29","453.1","464","442","452","-0.24 %","13,927.00"
"SLI","2023-01-26","457.8","465","445.2","453.1","0.94 %","17,338.00"
"SLI","2023-01-25","428","454","428","448.9","4.40 %","17,388.00"
"SLI","2023-01-24","422.4","432","422.4","430","-0.23 %","11,121.00"
"SLI","2023-01-23","447","447","431","431","-1.67 %","22,022.00"
"SLI","2023-01-19","441.1","457","435.2","438.3","-2.58 %","17,216.00"
"SLI","2023-01-18","448","463","444","449.9","-0.24 %","24,875.00"
"SLI","2023-01-17","431","455.9","430.1","451","2.73 %","16,581.00"
"SLI","2023-01-12","465","481","435.1","439","-6.00 %","30,110.00"
"SLI","2023-01-10","485","498.7","439","467","-3.81 %","34,001.00"
"SLI","2023-01-09","448.9","485.5","448.9","485.5","6.00 %","34,802.00"
"SLI","2023-01-08","430","472.1","429.9","458","6.51 %","49,213.00"
"SLI","2023-01-05","436","440.1","423","430","-1.15 %","24,474.00"
"SLI","2023-01-04","430","437.5","418","435","1.64 %","23,281.00"
"SLI","2023-01-03","436","441","423","428","-0.47 %","16,098.00"
"SLI","2023-01-02","412","436","405","430","3.61 %","22,169.00"
"SLI","2023-01-01","394","430","390","415","5.68 %","40,033.00"
"SLI","2022-12-29","350","392.7","344.1","392.7","10.00 %","25,501.00"
"SLI","2022-12-28","340","365","335","357","5.00 %","17,710.00"
"SLI","2022-12-27","333","349.9","331","340","3.98 %","13,925.00"
"SLI","2022-12-26","316","327.5","315","327","3.45 %","7,831.00"
"SLI","2022-12-22","317","322.3","311.5","316.1","-0.38 %","3,556.00"
"SLI","2022-12-21","318","324","317","317.3","-1.18 %","6,586.00"
"SLI","2022-12-20","317","328","316","321.1","0.34 %","2,792.00"
"SLI","2022-12-19","313.7","348","313.7","320","0.00 %","4,203.00"
"SLI","2022-12-18","321","333.5","317.2","320","-2.17 %","2,610.00"
"SLI","2022-12-15","333","341","327.1","327.1","-3.20 %","4,435.00"
"SLI","2022-12-14","330","342","329","337.9","0.87 %","4,001.00"
"SLI","2022-12-13","323","345.3","323","335","1.82 %","4,219.00"
"SLI","2022-12-12","322","339.6","322","329","0.24 %","9,476.00"
"SLI","2022-12-11","339","339","326","328.2","-5.12 %","8,430.00"
"SLI","2022-07-12","349","349","336.3","345.9","0.44 %","3,236.00"
"SLI","2022-07-11","355","355","337","344.4","-2.99 %","5,809.00"
"SLI","2022-07-08","354","360","349","355","-1.66 %","5,640.00"
"SLI","2022-07-07","372.3","376","354","361","-1.10 %","8,580.00"
"SLI","2022-07-06","365","375.2","358.6","365","-1.35 %","3,190.00"
"SLI","2022-07-05","380","380","363.8","370","-3.90 %","9,671.00"
"SLI","2022-07-04","385","396","374","385","0.52 %","17,466.00"
"SLI","2022-07-03","375.3","390.4","367","383","4.08 %","6,169.00"
"SLI","2022-07-01","380","381.4","365","368","-3.16 %","3,324.00"
"SLI","2022-06-30","360","380","360","380","4.68 %","9,595.00"
"SLI","2022-06-29","366","366","356","363","0.89 %","6,801.00"
"SLI","2022-06-28","352.8","363","346","359.8","-0.06 %","3,470.00"
"SLI","2022-06-27","365","370.4","341","360","-0.83 %","7,075.00"
"SLI","2022-06-26","325","363","325","363","10.00 %","7,390.00"
"SLI","2022-06-24","335","354.9","319.3","330","-1.64 %","3,055.00"
"SLI","2022-06-23","342.3","345","320","335.5","-3.87 %","9,392.00"
"SLI","2022-06-22","353","353","346","349","-0.91 %","3,332.00"
"SLI","2022-06-21","350","367","343","367","4.86 %","5,657.00"
"SLI","2022-06-20","358","358","341.6","350","-3.98 %","5,259.00"
"SLI","2022-06-19","375","375","361","364.5","-4.15 %","2,993.00"
"SLI","2022-06-17","362","380.3","362","380.3","3.06 %","1,365.00"
"SLI","2022-06-16","360","374","360","369","0.54 %","2,689.00"
"SLI","2022-06-15","366.5","380","353","367","-1.82 %","4,730.00"
"SLI","2022-06-14","385.5","385.5","368","373.8","-1.11 %","5,565.00"
"SLI","2022-06-13","390","390","375","378","-1.31 %","5,545.00"
"SLI","2022-06-10","375","388.4","368","383","0.52 %","2,373.00"
"SLI","2022-06-09","393","396.8","377.3","381","-2.56 %","5,238.00"
"SLI","2022-06-08","368","396","365.1","391","5.11 %","4,835.00"
"SLI","2022-06-07","370.5","380","370.5","372","-1.56 %","3,700.00"
"SLI","2022-06-06","375","382","370","377.9","0.77 %","4,625.00"
"SLI","2022-06-03","380","385","370","375","-3.05 %","6,084.00"
"SLI","2022-06-02","397","397","378","386.8","-0.80 %","4,329.00"
"SLI","2022-06-01","394.9","396","374.4","389.9","0.00 %","7,173.00"
"SLI","2022-05-31","402","402","379.5","389.9","-1.29 %","9,264.00"
"SLI","2022-05-30","405","405","387.1","395","-3.42 %","11,776.00"
"SLI","2022-05-27","408","414","400","409","-0.20 %","4,156.00"
"SLI","2022-05-26","408","417","402.1","409.8","0.20 %","6,330.00"
"SLI","2022-05-25","406","422","400","409","2.51 %","4,537.00"
"SLI","2022-05-24","390","410.9","387","399","1.53 %","6,692.00"
"SLI","2022-05-23","397","407","388","393","-2.96 %","17,720.00"
"SLI","2022-05-20","415","415","405","405","-2.17 %","5,326.00"
"SLI","2022-05-19","416","424","408.1","414","-2.10 %","12,356.00"
"SLI","2022-05-18","428","428","411","422.9","-0.02 %","16,983.00"
"SLI","2022-05-17","455.7","456","430","431","-7.31 %","15,598.00"
"SLI","2022-05-12","472","483.4","456","465","-1.46 %","20,607.00"
"SLI","2022-05-11","447.7","472.2","447.7","471.9","3.49 %","11,557.00"
"SLI","2022-05-10","441","456.6","441","456","2.24 %","8,079.00"
"SLI","2022-05-09","445","457","440","446","-0.62 %","6,988.00"
"SLI","2022-05-08","446","454","431.4","448.8","-1.36 %","18,519.00"
"SLI","2022-05-05","465.6","478","449.6","455","-4.21 %","20,534.00"
"SLI","2022-05-04","475","488","468","475","-1.88 %","11,120.00"
"SLI","2022-05-02","512","513","482","484.1","-3.76 %","11,395.00"
"SLI","2022-04-28","502.1","516","500.1","503","-1.37 %","7,475.00"
"SLI","2022-04-27","510","528","501.2","510","0.28 %","6,874.00"
"SLI","2022-04-26","530","530","507.2","508.6","-2.19 %","7,137.00"
"SLI","2022-04-25","526","537","510","520","-1.35 %","11,555.00"
"SLI","2022-04-24","505","538","505","527.1","4.19 %","13,228.00"
"SLI","2022-04-21","505","515","488","505.9","0.18 %","9,422.00"
"SLI","2022-04-20","508","520.2","496","505","-2.51 %","10,671.00"
"SLI","2022-04-19","515","518","495","518","2.35 %","8,860.00"
"SLI","2022-04-18","519","523.3","506","506.1","-4.15 %","10,558.00"
"SLI","2022-04-17","538","538","522.2","528","-1.86 %","10,521.00"
"SLI","2022-04-13","532.2","550.8","525.4","538","-0.74 %","10,480.00"
"SLI","2022-04-12","548","555","536","542","-3.04 %","9,587.00"
"SLI","2022-04-11","570","580","550","559","-1.76 %","22,631.00"
"SLI","2022-04-07","550","580","550","569","1.97 %","14,870.00"
"SLI","2022-04-06","550","565","539.1","558","0.00 %","19,393.00"
"SLI","2022-04-05","570","570","550","558","-2.96 %","21,922.00"
"SLI","2022-04-04","580","587","574","575","-2.38 %","23,192.00"
"SLI","2022-04-03","584.1","599","584.1","589","-0.84 %","7,942.00"
"SLI","2022-03-31","600","604","591.3","594","-1.49 %","15,569.00"
"SLI","2022-03-30","585","607","578.2","603","2.20 %","24,507.00"
"SLI","2022-03-29","600","602","581","590","-0.17 %","17,132.00"
"SLI","2022-03-28","620","630","590","591","-4.52 %","43,256.00"
"SLI","2022-03-27","603","651.2","603","619","4.56 %","187,953.00"
"SLI","2022-03-24","565","601","555","592","4.80 %","77,783.00"
"SLI","2022-03-23","553.7","578","553.7","564.9","-0.02 %","14,421.00"
"SLI","2022-03-22","553.7","573","553.7","565","0.00 %","13,773.00"
"SLI","2022-03-21","553.1","565","552.1","565","0.18 %","11,383.00"
"SLI","2022-03-20","570","580","559","564","-1.91 %","12,883.00"
"SLI","2022-03-16","561","586.5","561","575","0.84 %","12,356.00"
"SLI","2022-03-15","583","588","555","570.2","-0.31 %","15,286.00"
"SLI","2022-03-14","575","588","557","572","0.97 %","14,268.00"
"SLI","2022-03-13","525","566.5","516","566.5","10.00 %","53,529.00"
"SLI","2022-03-10","516","526","490","515","1.58 %","16,330.00"
"SLI","2022-03-09","505","520","500","507","-1.36 %","13,948.00"
"SLI","2022-03-07","506","517","506","514","-0.23 %","9,124.00"
"SLI","2022-03-06","512","529.3","512","515.2","-0.73 %","7,507.00"
"SLI","2022-03-02","520","525","515","519","-2.17 %","11,287.00"
"SLI","2022-02-28","540","551","530.2","530.5","-1.83 %","9,364.00"
"SLI","2022-02-27","535.2","550","535.2","540.4","-0.84 %","9,697.00"
"SLI","2022-02-24","548","558","545","545","-2.50 %","17,710.00"
"SLI","2022-02-23","560","568","556","559","-1.58 %","11,682.00"
"SLI","2022-02-22","561","574.5","561","568","1.25 %","16,194.00"
"SLI","2022-02-21","575","575","555.5","561","-0.57 %","10,483.00"
"SLI","2022-02-20","561.6","568","551","564.2","-1.54 %","12,004.00"
"SLI","2022-02-17","576","580","566","573","-0.66 %","10,930.00"
"SLI","2022-02-16","574","585","560","576.8","0.40 %","17,830.00"
"SLI","2022-02-15","562","583.9","562","574.5","0.30 %","10,295.00"
"SLI","2022-02-14","565","580","565","572.8","-0.21 %","18,619.00"
"SLI","2022-02-13","583","583.9","560","574","-2.26 %","38,447.00"
"SLI","2022-02-10","572.1","593","572.1","587.3","0.72 %","23,931.00"
"SLI","2022-02-09","600","604","580.2","583.1","-1.84 %","15,263.00"
"SLI","2022-02-08","602","614","585","594","0.00 %","55,237.00"
"SLI","2022-02-07","575","609","570","602","5.04 %","85,614.00"
"SLI","2022-02-06","565.5","580","565.5","573.1","-0.68 %","17,750.00"
"SLI","2022-02-03","560","598","560","577","1.23 %","54,574.00"
"SLI","2022-02-01","573","583.9","562.3","570","-0.52 %","23,215.00"
"SLI","2022-01-31","580.1","582","570.4","573","-1.22 %","23,045.00"
"SLI","2022-01-30","565","598","565","580.1","3.77 %","25,686.00"
"SLI","2022-01-27","557","573","557","559","-0.53 %","14,808.00"
"SLI","2022-01-26","564.2","575","558","562","-2.26 %","25,277.00"
"SLI","2022-01-25","577","590","566","575","-0.35 %","31,687.00"
"SLI","2022-01-24","599","605","574.2","577","-3.19 %","83,702.00"
"SLI","2022-01-23","560","603","560","596","6.45 %","134,927.00"
"SLI","2022-01-20","535","566","535","559.9","2.56 %","28,580.00"
"SLI","2022-01-19","561","566","545","545.9","-1.64 %","23,626.00"
"SLI","2022-01-18","557.1","575","550","555","-2.31 %","30,639.00"
"SLI","2022-01-17","563","575","563","568.1","-0.73 %","22,447.00"
"SLI","2022-01-16","566","587","565","572.3","1.11 %","33,327.00"
"SLI","2022-01-13","568","568","550","566","1.62 %","26,846.00"
"SLI","2022-01-12","557.7","572","550.1","557","-2.11 %","26,093.00"
"SLI","2022-01-11","535","581","535","569","5.18 %","71,630.00"
"SLI","2022-01-10","549.8","549.9","532","541","0.19 %","20,822.00"
"SLI","2022-01-09","525","541.4","525","540","2.27 %","29,322.00"
"SLI","2022-01-06","520.1","530","516.2","528","0.00 %","18,240.00"
"SLI","2022-01-05","531","537.9","525.1","528","-0.58 %","17,620.00"
"SLI","2022-01-04","539","539","519","531.1","0.40 %","15,704.00"
"SLI","2022-01-03","515","540","515","529","0.76 %","19,641.00"
"SLI","2022-01-02","510","528.3","504.7","525","1.94 %","16,952.00"
"SLI","2021-12-29","513","520","506","515","0.39 %","9,993.00"
"SLI","2021-12-28","507.8","518.5","500","513","-0.98 %","11,579.00"
"SLI","2021-12-27","546.4","575","516.1","518.1","-3.29 %","57,000.00"
"SLI","2021-12-26","486","535.7","484","535.7","10.00 %","53,959.00"
"SLI","2021-12-23","460.3","493","456.1","487","4.73 %","18,998.00"
"SLI","2021-12-22","441","468","441","465","4.97 %","14,021.00"
"SLI","2021-12-21","427","444","427","443","1.84 %","7,755.00"
"SLI","2021-12-20","435","441","430.7","435","-1.36 %","6,260.00"
"SLI","2021-12-16","441","442","433","441","-1.67 %","7,646.00"
"SLI","2021-12-15","462","480","448.1","448.5","-0.99 %","13,047.00"
"SLI","2021-12-14","430","453.9","430","453","5.84 %","4,255.00"
"SLI","2021-12-13","433.1","434.5","424.4","428","-2.95 %","10,004.00"
"SLI","2021-12-12","460","467","441","441","-5.14 %","9,765.00"
"SLI","2021-12-09","463","470","457","464.9","-1.30 %","7,180.00"
"SLI","2021-12-08","485","485","468","471","-1.88 %","5,877.00"
"SLI","2021-12-07","470","494","470","480","0.42 %","10,016.00"
"SLI","2021-12-06","475","481","460","478","0.63 %","12,284.00"
"SLI","2021-12-05","496","500","472","475","-4.06 %","13,407.00"
"SLI","2021-12-02","510","510","495","495.1","-1.57 %","7,894.00"
"SLI","2021-12-01","500.1","510","498","503","0.58 %","6,502.00"
"SLI","2021-11-30","490.2","505","490.2","500.1","0.02 %","8,776.00"
"SLI","2021-11-29","497","510","497","500","-1.38 %","12,780.00"
"SLI","2021-11-28","508.7","520","495","507","-2.31 %","16,345.00"
"SLI","2021-11-25","510","520","510","519","-0.19 %","9,434.00"
"SLI","2021-11-24","511","523","506.2","520","0.00 %","15,039.00"
"SLI","2021-11-23","521","529","518.2","520","-1.70 %","11,153.00"
"SLI","2021-11-22","521","535","520","529","0.17 %","13,136.00"
"SLI","2021-11-21","535","538","527","528.1","-2.74 %","12,375.00"
"SLI","2021-11-18","545","555","534.9","543","-0.57 %","15,448.00"
"SLI","2021-11-17","545","565","545","546.1","-1.60 %","18,903.00"
"SLI","2021-11-16","538.5","560","522.1","555","5.11 %","25,677.00"
"SLI","2021-11-15","511.7","530","511.7","528","1.15 %","16,665.00"
"SLI","2021-11-14","520","530","512","522","-1.42 %","14,682.00"
"SLI","2021-11-11","543","543","520.1","529.5","-2.50 %","10,660.00"
"SLI","2021-11-09","558.6","565","537.1","543.1","-4.72 %","17,574.00"
"SLI","2021-11-08","575","576","566","570","-0.87 %","11,528.00"
"SLI","2021-11-03","577.4","585","570","575","0.70 %","14,706.00"
"SLI","2021-11-02","560","579","557","571","0.53 %","13,358.00"
"SLI","2021-11-01","580","584","562","568","-1.22 %","11,316.00"
"SLI","2021-10-31","555","575.5","554","575","2.86 %","14,710.00"
"SLI","2021-10-28","570","570","550","559","-1.93 %","14,170.00"
"SLI","2021-10-27","540","602","540","570","3.45 %","24,056.00"
"SLI","2021-10-26","528","554.8","528","551","4.36 %","14,381.00"
"SLI","2021-10-25","510","528","510","528","3.53 %","11,378.00"
"SLI","2021-10-24","510","515","510","510","-0.78 %","10,055.00"
"SLI","2021-10-21","530","530.1","511","514","-1.15 %","10,829.00"
"SLI","2021-10-20","510","538.5","510","520","0.78 %","12,141.00"
"SLI","2021-10-19","526.3","526.3","510","516","-3.91 %","11,334.00"
"SLI","2021-10-18","540","550","530","537","-2.01 %","8,684.00"
"SLI","2021-10-17","545","550","536","548","-0.98 %","5,022.00"
"SLI","2021-10-11","518","555","510","553.4","7.88 %","13,470.00"
"SLI","2021-10-10","510","530","510","513","-1.16 %","14,570.00"
"SLI","2021-10-06","505","529.9","498","519","2.37 %","10,042.00"
"SLI","2021-10-05","500","525","500","507","0.00 %","10,969.00"
"SLI","2021-10-04","505","522","498","507","-1.55 %","11,806.00"
"SLI","2021-10-03","525","533","515","515","-3.74 %","13,889.00"
"SLI","2021-09-30","540","555","535","535","-2.37 %","16,819.00"
"SLI","2021-09-29","540","552","522","548","2.43 %","14,159.00"
"SLI","2021-09-28","564","564","534","535","-5.14 %","22,765.00"
"SLI","2021-09-27","592","600","563.5","564","-4.73 %","22,185.00"
"SLI","2021-09-26","612","615","590","592","-3.27 %","21,174.00"
"SLI","2021-09-23","642","642","610","612","-2.86 %","29,409.00"
"SLI","2021-09-22","625","645","608","630","1.94 %","27,893.00"
"SLI","2021-09-21","618","630","580","618","0.00 %","39,957.00"
"SLI","2021-09-20","688.5","701.7","616","618","-8.44 %","47,368.00"
"SLI","2021-09-16","700","700","662","675","-3.43 %","51,516.00"
"SLI","2021-09-15","742.5","787.8","690","699","-3.98 %","240,404.00"
"SLI","2021-09-14","675.1","728","675.1","728","9.99 %","13,308.00"
"SLI","2021-09-13","598.6","661.9","598.6","661.9","9.99 %","1,065.00"
"SLI","2021-09-12","547.1","601.8","547.1","601.8","10.00 %","708.00"
"SLI","2021-09-09","497.4","547.1","497.4","547.1","9.99 %","350.00"
"SLI","2021-09-08","443.2","497.4","443.2","497.4","10.00 %","227.00"
"SLI","2021-09-07","414.9","452.2","414.9","452.2","10.00 %","179.00"
"SLI","2021-09-06","373.8","411.1","373.8","411.1","9.98 %","199.00"
"SLI","2021-09-05","333.9","373.8","333.9","373.8","9.97 %","301.00"
"SLI","2021-09-02","309","339.9","309","339.9","0.00 %","433.00"
