"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SMH","2024-08-11","990","1066","985","1043.4","6.47 %","15,525.00"
"SMH","2024-08-08","995","1000","960","980","-0.91 %","9,664.00"
"SMH","2024-08-07","935","990","919","989","6.36 %","11,309.00"
"SMH","2024-08-06","956","991","917.3","929.9","-4.43 %","7,603.00"
"SMH","2024-08-05","910.2","1005","910.2","973","5.76 %","12,972.00"
"SMH","2024-08-01","964","964","910","920","-4.56 %","5,822.00"
"SMH","2024-07-31","961","999","936","964","2.23 %","8,835.00"
"SMH","2024-07-30","924","965","905","943","1.98 %","16,711.00"
"SMH","2024-07-29","960","960","909.2","924.7","-2.04 %","7,158.00"
"SMH","2024-07-28","978","978","920","944","-1.66 %","7,850.00"
"SMH","2024-07-25","966.9","1025.9","947","959.9","1.26 %","6,457.00"
"SMH","2024-07-24","890","975","890","948","6.64 %","15,182.00"
"SMH","2024-07-23","873","900","873","889","0.00 %","6,672.00"
"SMH","2024-07-22","870","900.6","870","889","0.68 %","8,611.00"
"SMH","2024-07-21","877","893.7","860","883","0.78 %","8,122.00"
"SMH","2024-07-18","894","915","876","876.2","-1.99 %","11,129.00"
"SMH","2024-07-17","899.9","900","871","894","0.22 %","7,863.00"
"SMH","2024-07-16","863","895","863","892","3.36 %","18,633.00"
"SMH","2024-07-15","875.1","890","850","863","0.58 %","11,446.00"
"SMH","2024-07-14","855","872.1","832","858","2.35 %","9,697.00"
"SMH","2024-07-11","795","838.3","795","838.3","3.37 %","8,416.00"
"SMH","2024-07-10","800","820","788.3","811","2.15 %","6,908.00"
"SMH","2024-07-09","802.7","802.7","785.6","793.9","0.88 %","1,445.00"
"SMH","2024-07-08","810","826.5","787","787","-0.94 %","4,660.00"
"SMH","2024-07-07","798","804","789","794.5","-0.53 %","2,760.00"
"SMH","2024-07-04","812","812","786","798.7","0.21 %","5,016.00"
"SMH","2024-07-03","807","810","779.9","797","-1.60 %","5,310.00"
"SMH","2024-07-02","812.9","854.1","790","810","1.63 %","3,996.00"
"SMH","2024-07-01","788","810","788","797","1.14 %","3,199.00"
"SMH","2024-06-30","801","816","788","788","-1.93 %","4,276.00"
"SMH","2024-06-27","805","815","801","803.5","-1.53 %","2,144.00"
"SMH","2024-06-26","819","829","808","816","1.49 %","10,546.00"
"SMH","2024-06-25","800.7","815","794","804","2.42 %","3,845.00"
"SMH","2024-06-24","798","820","785","785","-0.63 %","8,527.00"
"SMH","2024-06-23","801.5","810","789","790","-1.74 %","4,090.00"
"SMH","2024-06-20","828","828","799","804","-1.23 %","4,305.00"
"SMH","2024-06-19","802.5","847","800","814","1.50 %","5,444.00"
"SMH","2024-06-18","815","820","802","802","-1.47 %","4,239.00"
"SMH","2024-06-16","825","853.9","804","814","-0.73 %","6,287.00"
"SMH","2024-06-13","794","830","794","820","1.49 %","12,212.00"
"SMH","2024-06-12","815","844.5","802","808","-2.42 %","22,554.00"
"SMH","2024-06-11","855.9","855.9","800","828","-1.33 %","14,251.00"
"SMH","2024-06-10","785.4","847","780","839.2","8.99 %","27,520.00"
"SMH","2024-06-09","754","784.3","754","770","2.12 %","19,360.00"
"SMH","2024-06-06","715","773.1","713","754","5.77 %","16,470.00"
"SMH","2024-06-05","714","714","694","712.9","1.84 %","6,780.00"
"SMH","2024-06-04","695","710","695","700","-0.93 %","5,250.00"
"SMH","2024-06-03","715","723","705","706.6","-1.04 %","6,008.00"
"SMH","2024-06-02","708","721","701","714","2.59 %","8,349.00"
"SMH","2024-05-30","705.8","706","685.5","696","-0.57 %","7,300.00"
"SMH","2024-05-29","697.6","710","686.1","700","2.34 %","4,695.00"
"SMH","2024-05-27","680","689.6","670","684","1.17 %","2,010.00"
"SMH","2024-05-26","697.9","700","676","676.1","-3.28 %","3,310.00"
"SMH","2024-05-22","700","702","690","699","-0.14 %","1,620.00"
"SMH","2024-05-21","700","712.9","698","700","0.00 %","10,420.00"
"SMH","2024-05-20","712","725","697","700","0.00 %","5,425.00"
"SMH","2024-05-19","708.9","723","690.1","700","0.72 %","4,335.00"
"SMH","2024-05-16","699.6","713.5","690","695","1.33 %","11,795.00"
"SMH","2024-05-15","669.9","690","665","685.9","4.40 %","16,293.00"
"SMH","2024-05-14","656","665","655","657","0.77 %","3,843.00"
"SMH","2024-05-13","645","666","645","652","-0.28 %","1,765.00"
"SMH","2024-05-12","658","670","641","653.8","1.33 %","1,866.00"
"SMH","2024-05-09","650","655","645","645.2","-1.48 %","2,933.00"
"SMH","2024-05-08","652","654.9","640","654.9","-0.47 %","3,500.00"
"SMH","2024-05-07","641.6","663","641.6","658","0.92 %","1,266.00"
"SMH","2024-05-06","656","659.8","650","652","-0.61 %","4,588.00"
"SMH","2024-05-05","666","669","653","656","-1.50 %","1,981.00"
"SMH","2024-05-02","660","676","660","666","0.30 %","3,264.00"
"SMH","2024-04-30","661","664","649","664","2.45 %","2,690.00"
"SMH","2024-04-29","665","665","645.3","648.1","-0.90 %","1,140.00"
"SMH","2024-04-28","650.1","663","650.1","654","-1.04 %","448.00"
"SMH","2024-04-25","647.2","661.8","647.2","660.9","0.14 %","2,240.00"
"SMH","2024-04-24","647","686.4","641","660","2.01 %","372.00"
"SMH","2024-04-22","686.4","699","647","647","-3.86 %","5,607.00"
"SMH","2024-04-21","660","673","655.1","673","1.97 %","1,420.00"
"SMH","2024-04-18","666","675","660","660","-0.77 %","1,260.00"
"SMH","2024-04-16","670","684.9","664","665.1","-1.23 %","2,929.00"
"SMH","2024-04-15","693.7","717","673.4","673.4","-0.99 %","3,625.00"
"SMH","2024-04-14","670.1","709","670","680.1","0.01 %","7,571.00"
"SMH","2024-04-10","687","699","666","680","0.61 %","4,407.00"
"SMH","2024-04-09","670","675.9","665","675.9","-0.16 %","2,761.00"
"SMH","2024-04-07","660","680","647","677","2.58 %","2,998.00"
"SMH","2024-04-04","650","677","650","660","0.00 %","2,228.00"
"SMH","2024-04-03","660","692","660","660","-1.20 %","1,381.00"
"SMH","2024-04-02","677.9","677.9","658","668","0.42 %","1,431.00"
"SMH","2024-04-01","670","674","661.3","665.2","-2.18 %","2,340.00"
"SMH","2024-03-31","689","689","664.1","680","0.65 %","909.00"
"SMH","2024-03-28","665.5","684","652.3","675.6","-0.35 %","1,500.00"
"SMH","2024-03-27","679","694","660.6","678","-2.01 %","4,425.00"
"SMH","2024-03-26","651","697.6","651","691.9","4.83 %","6,930.00"
"SMH","2024-03-25","663","670","659.1","660","-2.35 %","2,530.00"
"SMH","2024-03-21","685","685","659","675.9","-1.33 %","4,745.00"
"SMH","2024-03-20","684","687.5","672.1","685","-0.42 %","2,966.00"
"SMH","2024-03-19","680.9","692.5","668.1","687.9","-0.98 %","3,060.00"
"SMH","2024-03-18","670","694.7","661.3","694.7","1.86 %","2,159.00"
"SMH","2024-03-17","671","682","660","682","0.89 %","3,809.00"
"SMH","2024-03-14","680","693.6","668","676","-1.31 %","1,803.00"
"SMH","2024-03-13","677.1","688","671","685","-0.72 %","4,450.00"
"SMH","2024-03-12","675.1","693.9","663.1","690","0.88 %","9,449.00"
"SMH","2024-03-10","695","709.5","672.6","684","0.29 %","1,430.00"
"SMH","2024-03-07","673.1","686.5","673.1","682","-0.42 %","1,421.00"
"SMH","2024-03-06","670","686","650","684.9","1.18 %","3,307.00"
"SMH","2024-03-05","686","687","666.3","676.9","-3.30 %","2,345.00"
"SMH","2024-03-04","661.9","700","661.9","700","7.86 %","540.00"
"SMH","2024-03-03","661.6","670","647.1","649","-2.84 %","5,855.00"
"SMH","2024-02-29","687","692","668","668","-4.57 %","4,026.00"
"SMH","2024-02-28","693.1","701.8","688.1","700","0.43 %","2,925.00"
"SMH","2024-02-27","684.1","706","684.1","697","0.58 %","5,178.00"
"SMH","2024-02-26","676","699","676","693","0.48 %","3,183.00"
"SMH","2024-02-25","677","703.8","672","689.7","-0.04 %","5,978.00"
"SMH","2024-02-22","693","706.8","665","690","1.44 %","6,076.00"
"SMH","2024-02-21","687.1","714","674","680.2","-2.83 %","5,705.00"
"SMH","2024-02-20","697.1","720","690","700","-1.55 %","8,113.00"
"SMH","2024-02-18","720.2","724","695","711","-3.24 %","15,260.00"
"SMH","2024-02-15","724.2","738","698","734.8","-0.55 %","12,768.00"
"SMH","2024-02-14","745","785","723","738.9","-0.04 %","14,741.00"
"SMH","2024-02-13","660","739.2","658.6","739.2","10.00 %","36,977.00"
"SMH","2024-02-12","619","674","619","672","6.84 %","32,037.00"
"SMH","2024-02-11","605","640","604","629","2.78 %","12,496.00"
"SMH","2024-02-08","620","620","605","612","-0.49 %","3,126.00"
"SMH","2024-02-07","621","621","605.1","615","0.33 %","4,631.00"
"SMH","2024-02-06","617","617.1","600.1","613","1.32 %","4,273.00"
"SMH","2024-02-05","611","612","600.2","605","-0.66 %","2,260.00"
"SMH","2024-02-04","607","610","596.3","609","0.33 %","2,066.00"
"SMH","2024-02-01","605.4","616","603","607","-0.65 %","13,637.00"
"SMH","2024-01-31","610.5","636","597","611","-1.86 %","12,089.00"
"SMH","2024-01-30","632.4","632.4","604","622.6","0.42 %","11,911.00"
"SMH","2024-01-29","592","629.3","590","620","6.16 %","14,090.00"
"SMH","2024-01-28","565","599","565","584","1.83 %","4,537.00"
"SMH","2024-01-25","575.1","591","573.5","573.5","-2.00 %","2,005.00"
