"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SPDL","2024-08-11","327.4","343.6","327","339.8","5.86 %","278,908.00"
"SPDL","2024-08-08","334.3","336.5","320","321","-2.13 %","204,244.00"
"SPDL","2024-08-07","310","329.8","309","328","6.49 %","156,919.00"
"SPDL","2024-08-06","330","346.8","305.1","308","-7.78 %","303,042.00"
"SPDL","2024-08-05","324","340","318","334","2.96 %","285,319.00"
"SPDL","2024-08-01","340.5","345","323","324.4","-5.42 %","331,202.00"
"SPDL","2024-07-31","336","364.1","336","343","3.31 %","307,551.00"
"SPDL","2024-07-30","307","334","304","332","8.14 %","323,317.00"
"SPDL","2024-07-29","300","312","294.1","307","2.71 %","322,145.00"
"SPDL","2024-07-28","300","313","291","298.9","1.22 %","174,330.00"
"SPDL","2024-07-25","295","303","288.2","295.3","-1.27 %","165,082.00"
"SPDL","2024-07-24","316.2","316.2","294","299.1","-3.52 %","186,043.00"
"SPDL","2024-07-23","300","310","294","310","4.06 %","297,312.00"
"SPDL","2024-07-22","285","299.5","284","297.9","4.53 %","294,743.00"
"SPDL","2024-07-21","274","294","270","285","4.01 %","220,287.00"
"SPDL","2024-07-18","280","284.9","271","274","-1.79 %","167,471.00"
"SPDL","2024-07-17","273","285","272","279","2.20 %","247,684.00"
"SPDL","2024-07-16","259.9","274.9","252","273","7.10 %","234,693.00"
"SPDL","2024-07-15","264.1","264.1","252.5","254.9","-1.58 %","73,276.00"
"SPDL","2024-07-14","258","264","250","259","2.01 %","57,797.00"
"SPDL","2024-07-11","244.7","253.9","241.1","253.9","5.35 %","86,135.00"
"SPDL","2024-07-10","239.1","245","239","241","0.42 %","72,726.00"
"SPDL","2024-07-09","239.3","242","235","240","1.48 %","37,718.00"
"SPDL","2024-07-08","242","242","236.1","236.5","-1.05 %","13,231.00"
"SPDL","2024-07-07","241","241.9","236","239","0.84 %","40,264.00"
"SPDL","2024-07-04","244.9","245.8","235.2","237","-1.66 %","68,023.00"
"SPDL","2024-07-03","238","242.7","235","241","0.42 %","20,390.00"
"SPDL","2024-07-02","238.6","256.8","238","240","2.56 %","41,240.00"
"SPDL","2024-07-01","237.6","238","232","234","-0.43 %","20,132.00"
"SPDL","2024-06-30","235","241","230.5","235","-1.47 %","40,809.00"
"SPDL","2024-06-27","232.8","242.3","232.8","238.5","0.46 %","23,122.00"
"SPDL","2024-06-26","246.6","246.6","237.4","237.4","-1.90 %","31,549.00"
"SPDL","2024-06-25","243","247.8","241.5","242","-1.22 %","29,140.00"
"SPDL","2024-06-24","245","254.5","242.1","245","-1.84 %","34,922.00"
"SPDL","2024-06-23","253.8","268","240","249.6","-3.59 %","74,549.00"
"SPDL","2024-06-20","245","269","245","258.9","3.56 %","49,090.00"
"SPDL","2024-06-19","244","255","244","250","1.21 %","52,663.00"
"SPDL","2024-06-18","247","253","244","247","-1.98 %","47,553.00"
"SPDL","2024-06-16","256","259.9","250","252","0.00 %","97,460.00"
"SPDL","2024-06-13","254","254","245.5","252","0.84 %","79,235.00"
"SPDL","2024-06-12","255.9","258","247","249.9","-0.44 %","121,098.00"
"SPDL","2024-06-11","240","256.7","240","251","3.08 %","127,225.00"
"SPDL","2024-06-10","238","247","238","243.5","0.62 %","86,305.00"
"SPDL","2024-06-09","230","244","228.7","242","5.22 %","54,048.00"
"SPDL","2024-06-06","229","231.9","227.8","230","-0.82 %","11,707.00"
"SPDL","2024-06-05","230.4","234","229","231.9","-0.81 %","25,644.00"
"SPDL","2024-06-04","236","236","231.4","233.8","-0.93 %","16,982.00"
"SPDL","2024-06-03","238.5","240","231","236","0.85 %","19,517.00"
"SPDL","2024-06-02","231","238.9","231","234","-0.43 %","26,042.00"
"SPDL","2024-05-30","242.5","242.5","233","235","-1.18 %","46,490.00"
"SPDL","2024-05-29","249.9","249.9","237.4","237.8","-2.94 %","24,309.00"
"SPDL","2024-05-27","245.7","245.7","238.2","245","1.70 %","34,202.00"
