"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SRLI","2024-08-11","580","590","567","587.1","1.05 %","188,966.00"
"SRLI","2024-08-08","573","599.2","571","581","3.38 %","266,031.00"
"SRLI","2024-08-07","530","562","510.1","562","6.04 %","173,276.00"
"SRLI","2024-08-06","565","568.5","527","530","-6.19 %","163,450.00"
"SRLI","2024-08-05","549","570","546.5","565","2.91 %","180,036.00"
"SRLI","2024-08-01","528","571","519.3","549","4.53 %","247,973.00"
"SRLI","2024-07-31","505.8","537","505.8","525.2","1.76 %","137,830.00"
"SRLI","2024-07-30","517","523.7","501","516.1","-0.04 %","62,245.00"
"SRLI","2024-07-29","535","535","515.1","516.3","-3.59 %","73,529.00"
"SRLI","2024-07-28","525","541","515","535.5","2.76 %","70,478.00"
"SRLI","2024-07-25","513","535.2","510.3","521.1","0.60 %","70,045.00"
"SRLI","2024-07-24","532","538","508.1","518","-2.26 %","81,633.00"
"SRLI","2024-07-23","498.9","532","498.9","530","4.13 %","84,285.00"
"SRLI","2024-07-22","511","511","496","509","-0.41 %","88,185.00"
"SRLI","2024-07-21","498","520","489","511.1","2.65 %","83,584.00"
"SRLI","2024-07-18","490","503","482.4","497.9","2.03 %","140,956.00"
"SRLI","2024-07-17","486","493.8","478.2","488","0.41 %","49,511.00"
"SRLI","2024-07-16","465.1","487","465.1","486","2.88 %","33,632.00"
"SRLI","2024-07-15","485","494","472.4","472.4","-2.60 %","48,918.00"
"SRLI","2024-07-14","485.5","505","476","485","1.89 %","49,364.00"
"SRLI","2024-07-11","450","478.3","450","476","4.62 %","75,012.00"
"SRLI","2024-07-10","450","459.9","448","455","1.79 %","21,095.00"
"SRLI","2024-07-09","457.9","462","442","447","-0.45 %","23,409.00"
"SRLI","2024-07-08","462","462","445.5","449","-0.88 %","23,193.00"
"SRLI","2024-07-07","450","459.9","450","453","0.44 %","32,245.00"
"SRLI","2024-07-04","434.1","455","434.1","451","2.50 %","32,368.00"
"SRLI","2024-07-03","436.5","440","436.2","440","-1.12 %","4,898.00"
"SRLI","2024-07-02","442.6","459","434","445","2.53 %","16,154.00"
"SRLI","2024-07-01","418.1","434","418.1","434","2.09 %","12,543.00"
"SRLI","2024-06-30","426.5","431","425.1","425.1","-0.33 %","11,923.00"
"SRLI","2024-06-27","427","432","422.1","426.5","-0.81 %","19,225.00"
"SRLI","2024-06-26","430","431","427.3","430","-0.53 %","12,545.00"
"SRLI","2024-06-25","429.2","436","429.2","432.3","0.75 %","8,178.00"
"SRLI","2024-06-24","427","435","426","429.1","-0.44 %","8,346.00"
"SRLI","2024-06-23","429","435","429","431","0.12 %","9,487.00"
"SRLI","2024-06-20","439.5","439.5","430.5","430.5","-0.60 %","10,466.00"
"SRLI","2024-06-19","430","440.6","430","433.1","-0.23 %","7,858.00"
"SRLI","2024-06-18","440","440","433","434.1","-1.34 %","14,433.00"
"SRLI","2024-06-16","449","460","440","440","-1.08 %","15,352.00"
"SRLI","2024-06-13","450","450","440.4","444.8","-0.49 %","14,058.00"
"SRLI","2024-06-12","446","454.8","443","447","-0.02 %","19,231.00"
"SRLI","2024-06-11","432","451","432","447.1","2.76 %","26,578.00"
"SRLI","2024-06-10","444","444","429","435.1","-0.21 %","23,704.00"
"SRLI","2024-06-09","435","444","435","436","-0.91 %","13,581.00"
"SRLI","2024-06-06","441.3","444","438.1","440","-1.12 %","7,809.00"
"SRLI","2024-06-05","445","446.7","438","445","0.00 %","10,250.00"
"SRLI","2024-06-04","438.1","449.1","438.1","445","0.68 %","13,742.00"
"SRLI","2024-06-03","435.2","443","435.2","442","0.07 %","7,449.00"
"SRLI","2024-06-02","437","442","437","441.7","1.08 %","10,929.00"
"SRLI","2024-05-30","436.1","445.7","436.1","437","-0.68 %","13,355.00"
"SRLI","2024-05-29","461","461","439.5","440","-3.30 %","29,040.00"
"SRLI","2024-05-27","438.6","455","438.6","455","1.79 %","21,935.00"
"SRLI","2024-05-26","445","454","440.2","447","-0.02 %","17,258.00"
"SRLI","2024-05-22","450","456.5","445","447.1","-1.95 %","16,358.00"
"SRLI","2024-05-21","451","460","451","456","-0.85 %","13,490.00"
"SRLI","2024-05-20","460","470.5","450","459.9","-0.22 %","33,400.00"
"SRLI","2024-05-19","443.7","464","434.2","460.9","5.95 %","48,667.00"
"SRLI","2024-05-16","435","437.5","430.6","435","-1.14 %","18,090.00"
"SRLI","2024-05-15","442.1","449","438","440","-0.52 %","11,618.00"
"SRLI","2024-05-14","437","444","437","442.3","-0.36 %","7,593.00"
"SRLI","2024-05-13","440","445.9","438.2","443.9","1.12 %","13,622.00"
"SRLI","2024-05-12","430","445","430","439","3.05 %","18,749.00"
"SRLI","2024-05-09","423.1","428","423","426","-0.44 %","11,498.00"
"SRLI","2024-05-08","429","430","421.9","427.9","0.21 %","8,841.00"
"SRLI","2024-05-07","442.6","442.6","425","427","-1.61 %","19,395.00"
"SRLI","2024-05-06","440","450","432","434","-1.36 %","14,188.00"
"SRLI","2024-05-05","433","441","431.2","440","-0.09 %","17,014.00"
"SRLI","2024-05-02","455","464","440","440.4","-1.45 %","29,996.00"
"SRLI","2024-04-30","430.2","448","430.2","446.9","2.03 %","17,001.00"
"SRLI","2024-04-29","435.1","438","433","438","0.02 %","8,336.00"
"SRLI","2024-04-28","429","437.9","428","437.9","1.48 %","11,095.00"
"SRLI","2024-04-25","425.1","433","425.1","431.5","0.35 %","7,233.00"
"SRLI","2024-04-24","425.3","436.5","425.3","430","0.47 %","5,363.00"
"SRLI","2024-04-22","431","434","425","428","-2.26 %","10,575.00"
"SRLI","2024-04-21","421.2","437.9","421.2","437.9","2.43 %","11,749.00"
"SRLI","2024-04-18","430.1","430.6","427.5","427.5","-0.88 %","6,828.00"
"SRLI","2024-04-16","430.1","435","430.1","431.3","-0.62 %","7,239.00"
"SRLI","2024-04-15","437","445","433.4","434","-1.14 %","11,637.00"
"SRLI","2024-04-14","449","449","439","439","-2.23 %","12,581.00"
"SRLI","2024-04-10","457","458","446","449","-1.97 %","9,115.00"
"SRLI","2024-04-09","460","461.2","451.5","458","-0.22 %","18,679.00"
"SRLI","2024-04-07","437.5","459","437.5","459","4.32 %","24,628.00"
"SRLI","2024-04-04","438","446.7","437.2","440","-0.45 %","9,097.00"
"SRLI","2024-04-03","440","446.5","436.1","442","0.45 %","13,656.00"
"SRLI","2024-04-02","441","441","434.1","440","-0.23 %","15,073.00"
"SRLI","2024-04-01","434","447.7","434","441","0.46 %","16,272.00"
"SRLI","2024-03-31","436.7","442.9","435","439","-0.45 %","10,464.00"
"SRLI","2024-03-28","441","442.5","436.1","441","-0.38 %","7,808.00"
