"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"STC","2024-08-11","6352.5","6399","6226","6399","2.75 %","13,739.00"
"STC","2024-08-08","6200","6349","6160","6228","-0.51 %","7,357.00"
"STC","2024-08-07","6019","6270","5900","6260","6.08 %","7,959.00"
"STC","2024-08-06","6410.7","6410.7","5900","5901","-6.11 %","10,833.00"
"STC","2024-08-05","6028","6293.4","5791.8","6285","6.35 %","14,335.00"
"STC","2024-08-01","6250","6250","5890","5910","-3.90 %","11,125.00"
"STC","2024-07-31","6100","6300","6010","6150","2.83 %","4,957.00"
"STC","2024-07-30","5915","6170","5900","5981","-0.81 %","8,004.00"
"STC","2024-07-29","6429","6429","6022.1","6030","-4.44 %","5,965.00"
"STC","2024-07-28","6270.9","6630","6146","6310","2.64 %","8,503.00"
"STC","2024-07-25","6220.9","6220.9","6011","6148","0.80 %","9,001.00"
"STC","2024-07-24","6426","6477","6007","6099","-3.19 %","15,088.00"
"STC","2024-07-23","6099","6324","5962","6300","5.33 %","9,336.00"
"STC","2024-07-22","5964.9","6083","5637","5981","2.27 %","10,384.00"
"STC","2024-07-21","5507","6000","5371","5848","6.72 %","20,249.00"
"STC","2024-07-18","5520","5600","5345","5480","0.62 %","8,800.00"
"STC","2024-07-17","5100","5446","5100","5446","8.16 %","12,787.00"
"STC","2024-07-16","4836","5040","4836","5035","2.65 %","8,697.00"
"STC","2024-07-15","5028.9","5028.9","4893","4905","-0.71 %","5,747.00"
"STC","2024-07-14","4921.5","5120","4850","4940","2.38 %","4,226.00"
"STC","2024-07-11","4900","4900","4788","4825","-0.49 %","23,639.00"
"STC","2024-07-10","4833","4895","4803","4849","0.08 %","1,882.00"
"STC","2024-07-09","4950","4950","4800.1","4845","-0.51 %","7,309.00"
"STC","2024-07-08","4998","4998","4796","4870","-0.61 %","8,061.00"
"STC","2024-07-07","5040","5042","4898","4900","-2.51 %","4,497.00"
"STC","2024-07-04","5050","5196","4980","5026","0.58 %","4,870.00"
