"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SWBBL","2024-08-11","1068","1120","1060","1120","6.87 %","87,860.00"
"SWBBL","2024-08-08","1050","1061.8","1031.9","1048","0.67 %","24,329.00"
"SWBBL","2024-08-07","1030","1056","1022.1","1041","2.44 %","28,496.00"
"SWBBL","2024-08-06","1070","1095","1016.1","1016.2","-5.38 %","53,703.00"
"SWBBL","2024-08-05","1050","1081","1038.3","1074","1.81 %","55,948.00"
"SWBBL","2024-08-01","1071","1092","1054.9","1054.9","0.47 %","61,015.00"
"SWBBL","2024-07-31","1065","1065","1035.1","1050","0.38 %","63,417.00"
"SWBBL","2024-07-30","1016.5","1054","1003","1046","2.35 %","46,549.00"
"SWBBL","2024-07-29","1071","1071","1018","1022","-2.67 %","53,458.00"
"SWBBL","2024-07-28","1055","1081","1014.3","1050","-0.56 %","57,561.00"
"SWBBL","2024-07-25","1010","1061","1010","1055.9","4.54 %","62,212.00"
"SWBBL","2024-07-24","1034","1034","992","1010","-0.69 %","28,826.00"
"SWBBL","2024-07-23","1020","1020","999.9","1017","1.70 %","33,186.00"
"SWBBL","2024-07-22","1032","1032","983","1000","-1.18 %","35,848.00"
"SWBBL","2024-07-21","1005","1015.9","982.3","1011.9","1.90 %","66,773.00"
"SWBBL","2024-07-18","1001","1010","981","993","1.12 %","63,732.00"
"SWBBL","2024-07-17","974","989","957","982","1.66 %","44,093.00"
"SWBBL","2024-07-16","958.8","968.9","935.1","966","2.77 %","31,761.00"
"SWBBL","2024-07-15","980","980","922","940","-2.57 %","26,583.00"
"SWBBL","2024-07-14","954","965","917.3","964.8","3.08 %","40,704.00"
"SWBBL","2024-07-11","950.8","950.8","926.1","936","0.41 %","26,763.00"
"SWBBL","2024-07-10","930.4","938","921","932.2","2.19 %","52,369.00"
"SWBBL","2024-07-09","910","915","892.5","912.2","1.57 %","31,405.00"
"SWBBL","2024-07-08","880.5","905","880.5","898.1","0.68 %","77,777.00"
"SWBBL","2024-07-07","870","892","864","892","2.65 %","31,640.00"
"SWBBL","2024-07-04","880","880","862.5","869","0.35 %","21,525.00"
"SWBBL","2024-07-03","843.3","869","843.3","866","1.04 %","4,203.00"
"SWBBL","2024-07-02","860","892","855","857.1","1.65 %","9,785.00"
"SWBBL","2024-07-01","836.6","849","836.6","843.2","-0.21 %","5,597.00"
"SWBBL","2024-06-30","847.5","862","840.3","845","-1.40 %","8,493.00"
"SWBBL","2024-06-27","860","860","848.7","857","-1.04 %","4,486.00"
"SWBBL","2024-06-26","879","879","861.5","866","0.46 %","12,920.00"
"SWBBL","2024-06-25","877","882","860.1","862","-0.35 %","8,695.00"
"SWBBL","2024-06-24","876","876","853.1","865","0.55 %","21,232.00"
"SWBBL","2024-06-23","871","875","855","860.3","-1.57 %","8,073.00"
"SWBBL","2024-06-20","880","890","871","874","-0.68 %","3,862.00"
"SWBBL","2024-06-19","880","886","868","880","0.32 %","11,477.00"
"SWBBL","2024-06-18","875","890","875","877.2","-0.66 %","16,215.00"
"SWBBL","2024-06-16","900","900","883","883","-2.25 %","21,061.00"
"SWBBL","2024-06-13","919","919","902","903.3","0.03 %","53,353.00"
"SWBBL","2024-06-12","905","910","894","903","0.33 %","44,747.00"
"SWBBL","2024-06-11","923","923","896","900","-0.55 %","47,400.00"
"SWBBL","2024-06-10","893","909.9","876","905","3.31 %","82,699.00"
"SWBBL","2024-06-09","880","890","870","876","-0.45 %","43,133.00"
"SWBBL","2024-06-06","860","896","851.5","880","3.41 %","90,061.00"
"SWBBL","2024-06-05","849.6","851","828.1","851","2.16 %","29,367.00"
"SWBBL","2024-06-04","828.8","836.4","826","833","1.59 %","29,230.00"
"SWBBL","2024-06-03","810","843","801.4","820","1.23 %","8,174.00"
"SWBBL","2024-06-02","792.2","821","781","810","0.62 %","10,052.00"
"SWBBL","2024-05-30","800","815","795.2","805","-0.52 %","17,051.00"
"SWBBL","2024-05-29","825","835","809.2","809.2","-1.92 %","18,569.00"
"SWBBL","2024-05-27","835","837","823.1","825","-0.60 %","7,996.00"
"SWBBL","2024-05-26","859.8","859.8","823","830","-1.54 %","31,761.00"
"SWBBL","2024-05-22","856","870","843","843","-3.10 %","12,127.00"
"SWBBL","2024-05-21","840","870","830.2","870","2.59 %","29,415.00"
"SWBBL","2024-05-20","883","883","840","848","-2.19 %","37,037.00"
"SWBBL","2024-05-19","834","867","824.9","867","3.96 %","51,221.00"
"SWBBL","2024-05-16","800","845","800","834","2.96 %","64,670.00"
"SWBBL","2024-05-15","807","830","805","810","0.50 %","55,024.00"
"SWBBL","2024-05-14","770","815","768.4","806","4.68 %","91,252.00"
"SWBBL","2024-05-13","774.9","774.9","755.1","770","0.92 %","4,847.00"
"SWBBL","2024-05-12","760.7","772.4","758.1","763","-1.22 %","7,677.00"
"SWBBL","2024-05-09","792","792","770","772.4","-0.97 %","14,695.00"
"SWBBL","2024-05-08","775","780","762.5","780","2.63 %","11,564.00"
"SWBBL","2024-05-07","768","770","753","760","0.66 %","11,928.00"
