"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SWMF","2024-08-11","1025","1025","995","1004","-0.99 %","19,614.00"
"SWMF","2024-08-08","1033.3","1070","1000","1014","0.09 %","23,673.00"
"SWMF","2024-08-07","1080","1155","1080","1155","6.94 %","59,336.00"
"SWMF","2024-08-06","1129","1144","1070","1080","-4.42 %","32,607.00"
"SWMF","2024-08-05","1132.1","1147","1117.3","1130","-0.88 %","16,743.00"
"SWMF","2024-08-01","1168.9","1192","1125","1140","-0.52 %","17,001.00"
"SWMF","2024-07-31","1159.69","1162.8","1127","1146","0.53 %","20,352.00"
"SWMF","2024-07-30","1114","1150","1096","1140","2.24 %","27,283.00"
"SWMF","2024-07-29","1149","1164.9","1113","1115","-2.96 %","28,396.00"
"SWMF","2024-07-28","1168.9","1214.8","1100","1149","0.26 %","34,553.00"
"SWMF","2024-07-25","1083","1149.9","1083","1146","7.90 %","54,799.00"
"SWMF","2024-07-24","1105","1124","1050","1062.1","-2.11 %","27,500.00"
"SWMF","2024-07-23","1070","1090","1040","1085","3.33 %","28,120.00"
"SWMF","2024-07-22","1025","1050","1000","1050","3.04 %","24,196.00"
"SWMF","2024-07-21","1016","1035","1001","1019","2.24 %","24,029.00"
"SWMF","2024-07-18","996.9","1055","985","996.7","1.19 %","32,344.00"
"SWMF","2024-07-17","986.9","995","962","985","1.14 %","19,389.00"
"SWMF","2024-07-16","960","974.1","938","973.9","3.06 %","12,840.00"
"SWMF","2024-07-15","970.2","979","933.1","945","-1.56 %","13,669.00"
"SWMF","2024-07-14","938.4","963","911.4","960","4.35 %","19,124.00"
"SWMF","2024-07-11","938","974","920","920","0.00 %","20,762.00"
"SWMF","2024-07-10","928","938","914","920","0.66 %","17,487.00"
"SWMF","2024-07-09","906","918","886","914","1.84 %","15,878.00"
"SWMF","2024-07-08","899.8","919","887","897.5","1.34 %","13,401.00"
"SWMF","2024-07-07","894","894","878","885.6","0.87 %","8,709.00"
"SWMF","2024-07-04","891.9","894.9","876","878","0.34 %","8,216.00"
"SWMF","2024-07-03","860","878","860","875","0.23 %","4,035.00"
"SWMF","2024-07-02","886.3","938","862.2","873","0.46 %","6,602.00"
"SWMF","2024-07-01","851.2","870","851.1","869","0.99 %","4,713.00"
