"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"TAMOR","2024-08-11","525","531","515.1","520","0.78 %","80,059.00"
"TAMOR","2024-08-08","535","545.7","515.1","516","-1.71 %","58,576.00"
"TAMOR","2024-08-07","505","532","498","525","3.96 %","63,723.00"
"TAMOR","2024-08-06","543","553","503","505","-6.48 %","180,277.00"
"TAMOR","2024-08-05","510","540","501","540","3.85 %","101,094.00"
"TAMOR","2024-08-01","533","537","507","520","-4.06 %","157,062.00"
"TAMOR","2024-07-31","558","569.1","536","542","-2.87 %","175,144.00"
"TAMOR","2024-07-30","524","570","520.1","558","6.90 %","165,394.00"
"TAMOR","2024-07-29","528","539","513.1","522","-1.14 %","91,635.00"
"TAMOR","2024-07-28","535.5","536.5","510","528","0.57 %","123,063.00"
"TAMOR","2024-07-25","500.1","527","499.9","525","3.75 %","133,538.00"
"TAMOR","2024-07-24","515","520","497","506","-3.07 %","106,510.00"
"TAMOR","2024-07-23","504","539","504","522","2.55 %","122,930.00"
"TAMOR","2024-07-22","470.2","518","470.2","509","6.26 %","240,718.00"
"TAMOR","2024-07-21","464.5","495","455.5","479","3.23 %","104,201.00"
"TAMOR","2024-07-18","465","474","456.3","464","-0.19 %","143,914.00"
"TAMOR","2024-07-17","466","474.2","455.9","464.9","-0.87 %","123,165.00"
"TAMOR","2024-07-16","448","472","446.1","469","4.22 %","104,714.00"
"TAMOR","2024-07-15","459.9","463","447","450","-2.15 %","78,841.00"
"TAMOR","2024-07-14","453.9","461","440","459.9","3.35 %","120,061.00"
"TAMOR","2024-07-11","435","448.9","430","445","3.49 %","114,684.00"
"TAMOR","2024-07-10","432","440","425","430","-0.46 %","64,192.00"
"TAMOR","2024-07-09","430","439.6","425.5","432","0.21 %","34,427.00"
"TAMOR","2024-07-08","432","440","417.2","431.1","1.67 %","113,019.00"
"TAMOR","2024-07-07","404.1","428.7","404.1","424","3.82 %","157,762.00"
"TAMOR","2024-07-04","395.1","420","395.1","408.4","2.10 %","90,299.00"
"TAMOR","2024-07-03","400","400","393","400","0.00 %","13,985.00"
"TAMOR","2024-07-02","400.8","409","392.1","400","1.78 %","36,827.00"
"TAMOR","2024-07-01","390","395","387","393","0.28 %","19,022.00"
"TAMOR","2024-06-30","405.5","405.5","390","391.9","-1.43 %","40,001.00"
"TAMOR","2024-06-27","404","408","397","397.6","-1.83 %","24,442.00"
"TAMOR","2024-06-26","396.7","410","390","405","4.11 %","70,805.00"
