"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UAIL","2024-08-11","768","783","753","770","2.26 %","114,998.00"
"UAIL","2024-08-08","775","785","750","753","-1.70 %","52,050.00"
"UAIL","2024-08-07","740","770","730","766","3.51 %","67,634.00"
"UAIL","2024-08-06","790","790.1","735","740","-6.09 %","121,082.00"
"UAIL","2024-08-05","773.3","822","773.3","788","-0.13 %","110,580.00"
"UAIL","2024-08-01","761","837.3","745.8","789","3.65 %","199,003.00"
"UAIL","2024-07-31","700","761.2","681.1","761.2","10.00 %","239,220.00"
"UAIL","2024-07-30","688","697.6","666","692","0.29 %","65,473.00"
"UAIL","2024-07-29","711","713","689","690","-2.82 %","72,738.00"
"UAIL","2024-07-28","710","725.5","684.1","710","1.72 %","73,084.00"
"UAIL","2024-07-25","666","710","657","698","4.80 %","114,477.00"
"UAIL","2024-07-24","668","679","649","666","0.08 %","74,986.00"
"UAIL","2024-07-23","659.1","675","640","665.5","2.99 %","63,100.00"
"UAIL","2024-07-22","657","657","637","646.2","-0.43 %","45,763.00"
"UAIL","2024-07-21","640","656.9","631","649","0.93 %","62,225.00"
"UAIL","2024-07-18","649.7","650","631","643","0.47 %","70,060.00"
"UAIL","2024-07-17","629.4","646","615","640","3.71 %","97,063.00"
"UAIL","2024-07-16","600.3","617.1","593.1","617.1","3.11 %","39,927.00"
"UAIL","2024-07-15","609","614","594","598.5","-1.63 %","46,554.00"
"UAIL","2024-07-14","612","624","600","608.4","1.40 %","53,492.00"
"UAIL","2024-07-11","591","600","582.2","600","3.25 %","157,892.00"
"UAIL","2024-07-10","577.9","590.6","577.9","581.1","0.55 %","42,724.00"
"UAIL","2024-07-09","580.2","584.5","570","577.9","-0.40 %","56,564.00"
"UAIL","2024-07-08","590","590.2","580","580.2","-0.82 %","12,690.00"
"UAIL","2024-07-07","588.9","589.9","582","585","0.86 %","21,234.00"
"UAIL","2024-07-04","570","584","570","580","1.75 %","16,046.00"
"UAIL","2024-07-03","564","571","558.2","570","-0.70 %","15,517.00"
"UAIL","2024-07-02","564.9","587","560","574","3.63 %","24,046.00"
"UAIL","2024-07-01","548","554","545.2","553.9","1.08 %","6,715.00"
"UAIL","2024-06-30","552","558","548","548","-0.72 %","9,575.00"
"UAIL","2024-06-27","558","559.9","550.2","552","-1.16 %","12,134.00"
"UAIL","2024-06-26","563","564","553.6","558.5","-0.27 %","7,383.00"
"UAIL","2024-06-25","558","564","557.5","560","0.88 %","7,458.00"
"UAIL","2024-06-24","567","569","555","555.1","-0.61 %","12,273.00"
"UAIL","2024-06-23","557.1","560","553.1","558.5","-0.09 %","20,414.00"
"UAIL","2024-06-20","558.2","566","558","559","-0.62 %","15,003.00"
"UAIL","2024-06-19","558.1","578","555","562.5","-0.44 %","13,634.00"
"UAIL","2024-06-18","561","575","561","565","-0.53 %","10,423.00"
"UAIL","2024-06-16","567","577.8","567","568","-1.32 %","35,860.00"
"UAIL","2024-06-13","580","583.9","575","575.6","-1.77 %","10,922.00"
"UAIL","2024-06-12","599.7","602","579.3","586","-0.34 %","19,240.00"
"UAIL","2024-06-11","571.2","597","568","588","1.55 %","40,438.00"
"UAIL","2024-06-10","560","592","548.8","579","3.39 %","59,236.00"
"UAIL","2024-06-09","561","570","554","560","-0.18 %","26,256.00"
"UAIL","2024-06-06","577","577","558","561","-0.88 %","17,484.00"
"UAIL","2024-06-05","571","586","566","566","-2.08 %","20,769.00"
"UAIL","2024-06-04","571.2","599","555","578","3.21 %","209,862.00"
"UAIL","2024-06-03","567","567","558","560","-0.36 %","19,268.00"
"UAIL","2024-06-02","574","575","561","562","-1.49 %","31,410.00"
"UAIL","2024-05-30","586","586.5","564.1","570.5","-0.80 %","19,135.00"
"UAIL","2024-05-29","599.7","599.7","573.1","575.1","-2.19 %","22,438.00"
"UAIL","2024-05-27","589","595","578.2","588","1.17 %","17,825.00"
"UAIL","2024-05-26","603","603","580.2","581.2","-3.62 %","29,376.00"
"UAIL","2024-05-22","606","615","594","603","-0.50 %","40,425.00"
"UAIL","2024-05-21","591","607","590","606","1.17 %","24,636.00"
