"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UMHL","2024-08-11","346","360","343","358","5.29 %","350,409.00"
"UMHL","2024-08-08","340","355","335","340","0.47 %","278,730.00"
"UMHL","2024-08-07","310","340","310","338.4","8.46 %","243,930.00"
"UMHL","2024-08-06","326","334.5","309","312","-2.50 %","364,869.00"
"UMHL","2024-08-05","313","326","307","320","2.24 %","317,208.00"
"UMHL","2024-08-01","325","326","310","313","-2.19 %","197,336.00"
"UMHL","2024-07-31","315","331.4","313","320","2.56 %","300,552.00"
"UMHL","2024-07-30","297.9","315","297.9","312","5.69 %","236,817.00"
"UMHL","2024-07-29","304","310.9","294","295.2","-1.14 %","188,972.00"
"UMHL","2024-07-28","300","308","289.2","298.6","0.54 %","136,498.00"
"UMHL","2024-07-25","304.2","305","294","297","-1.00 %","122,862.00"
"UMHL","2024-07-24","308.7","319","297","300","-4.73 %","314,743.00"
"UMHL","2024-07-23","305","318","303","314.9","3.59 %","188,013.00"
"UMHL","2024-07-22","302.9","310","293","304","2.36 %","383,652.00"
"UMHL","2024-07-21","270","297","269.5","297","10.00 %","382,852.00"
"UMHL","2024-07-18","278.4","278.4","268","270","-1.10 %","125,680.00"
"UMHL","2024-07-17","275","277.4","263","273","0.74 %","114,759.00"
"UMHL","2024-07-16","254.1","274","254.1","271","5.86 %","127,617.00"
"UMHL","2024-07-15","263","264","251.5","256","-0.78 %","71,482.00"
"UMHL","2024-07-14","249.9","258","248","258","5.31 %","67,899.00"
"UMHL","2024-07-11","241","246","239","245","1.66 %","44,947.00"
"UMHL","2024-07-10","235.2","244.4","235.2","241","0.42 %","34,037.00"
"UMHL","2024-07-09","237.2","241.5","237","240","0.00 %","23,083.00"
"UMHL","2024-07-08","246.2","246.2","238","240","-0.58 %","20,120.00"
"UMHL","2024-07-07","243.8","243.8","239","241.4","0.96 %","27,068.00"
"UMHL","2024-07-04","235.2","245","235.1","239.1","0.34 %","30,024.00"
"UMHL","2024-07-03","237.3","241","237.3","238.3","-1.53 %","10,183.00"
"UMHL","2024-07-02","238.6","253","238.6","242","3.42 %","48,026.00"
"UMHL","2024-07-01","234.2","237","233","234","-1.47 %","20,434.00"
"UMHL","2024-06-30","235","239","233","237.5","0.64 %","19,276.00"
"UMHL","2024-06-27","234.5","242","232","236","-0.84 %","24,603.00"
"UMHL","2024-06-26","240","240","234.2","238","0.42 %","31,535.00"
"UMHL","2024-06-25","237","241","236.5","237","0.00 %","15,625.00"
"UMHL","2024-06-24","235","243.5","235","237","-0.84 %","22,140.00"
"UMHL","2024-06-23","238.3","243","236","239","-0.42 %","30,280.00"
"UMHL","2024-06-20","242.1","246.9","239","240","-0.70 %","19,560.00"
"UMHL","2024-06-19","249.8","249.9","240.2","241.7","-1.35 %","18,427.00"
"UMHL","2024-06-18","250","251.2","243","245","-2.55 %","35,070.00"
"UMHL","2024-06-16","248.1","257","248.1","251.4","2.20 %","58,564.00"
"UMHL","2024-06-13","254.7","254.7","243.1","246","-1.52 %","36,922.00"
"UMHL","2024-06-12","259","260","248","249.8","-2.04 %","52,732.00"
"UMHL","2024-06-11","243.7","256.8","241.2","255","6.69 %","137,016.00"
"UMHL","2024-06-10","231","242.7","231","239","2.40 %","48,173.00"
"UMHL","2024-06-09","231.5","234","228.1","233.4","1.04 %","25,026.00"
"UMHL","2024-06-06","236","236","230.3","231","-2.12 %","12,718.00"
"UMHL","2024-06-05","241","241","230","236","-0.34 %","15,207.00"
"UMHL","2024-06-04","237.9","242","235","236.8","0.04 %","25,503.00"
"UMHL","2024-06-03","243","243","233.4","236.7","-0.92 %","16,170.00"
"UMHL","2024-06-02","240.7","243","227.4","238.9","1.23 %","27,800.00"
"UMHL","2024-05-30","239.7","239.7","232.6","236","0.43 %","22,292.00"
"UMHL","2024-05-29","241.4","242","233","235","-0.72 %","27,356.00"
"UMHL","2024-05-27","238.6","238.6","233.5","236.7","1.15 %","11,210.00"
"UMHL","2024-05-26","235.2","243","232.5","234","-2.50 %","17,979.00"
"UMHL","2024-05-22","241.5","249.9","237","240","-2.48 %","37,575.00"
"UMHL","2024-05-21","247","249.9","235","246.1","0.94 %","35,800.00"
"UMHL","2024-05-20","238","247","238","243.8","2.44 %","51,689.00"
"UMHL","2024-05-19","241.8","241.8","233.2","238","0.38 %","22,495.00"
"UMHL","2024-05-16","239.7","241.6","233","237.1","-0.67 %","14,169.00"
"UMHL","2024-05-15","241","244.9","236","238.7","0.72 %","31,678.00"
"UMHL","2024-05-14","229.6","240","226","237","3.22 %","25,313.00"
"UMHL","2024-05-13","230.9","230.9","225","229.6","1.15 %","16,093.00"
"UMHL","2024-05-12","224","230","223.1","227","0.40 %","21,150.00"
"UMHL","2024-05-09","226","231","225","226.1","-0.40 %","14,350.00"
"UMHL","2024-05-08","235.8","235.8","226.1","227","-2.58 %","12,180.00"
"UMHL","2024-05-07","236","236","228.1","233","0.65 %","17,704.00"
"UMHL","2024-05-06","230.3","238","230.3","231.5","-1.49 %","24,410.00"
"UMHL","2024-05-05","237","245","233.8","235","-2.81 %","36,695.00"
"UMHL","2024-05-02","246.8","246.8","238","241.8","-0.08 %","28,304.00"
"UMHL","2024-04-30","240","246","235.5","242","2.15 %","61,636.00"
"UMHL","2024-04-29","244.6","244.6","234.2","236.9","-1.25 %","32,540.00"
"UMHL","2024-04-28","241.7","241.7","237","239.9","1.22 %","18,528.00"
"UMHL","2024-04-25","245","246.9","236.5","237","-2.83 %","32,791.00"
"UMHL","2024-04-24","241","247.8","241","243.9","-0.45 %","16,558.00"
"UMHL","2024-04-22","241","250.9","241","245","2.00 %","24,664.00"
"UMHL","2024-04-21","234.2","246","234.2","240.2","0.54 %","24,850.00"
"UMHL","2024-04-18","240.1","242.8","238.1","238.9","-2.45 %","8,280.00"
"UMHL","2024-04-16","246","256","244","244.9","-2.43 %","22,461.00"
"UMHL","2024-04-15","242.3","259.9","242.3","251","1.54 %","69,782.00"
"UMHL","2024-04-14","237","247.2","235.2","247.2","6.05 %","69,609.00"
"UMHL","2024-04-10","239","244","233.1","233.1","-3.28 %","35,084.00"
"UMHL","2024-04-09","245","246","238.1","241","0.08 %","31,933.00"
"UMHL","2024-04-07","236.6","240.8","230.1","240.8","3.79 %","29,196.00"
"UMHL","2024-04-04","235","235","230.1","232","-0.85 %","26,179.00"
"UMHL","2024-04-03","235.1","239.8","232.3","234","-2.01 %","34,285.00"
"UMHL","2024-04-02","243.9","248.5","236.2","238.8","-0.17 %","23,366.00"
"UMHL","2024-04-01","248","248","239","239.2","-1.64 %","45,265.00"
"UMHL","2024-03-31","251","255.9","243","243.2","-1.94 %","29,712.00"
"UMHL","2024-03-28","244","251.3","243.2","248","0.45 %","33,756.00"
"UMHL","2024-03-27","250.1","255.6","244.1","246.9","-2.02 %","33,134.00"
"UMHL","2024-03-26","248","258","243.1","252","1.65 %","51,996.00"
"UMHL","2024-03-25","252.9","252.9","245","247.9","-1.98 %","21,155.00"
"UMHL","2024-03-21","261.1","261.1","249.2","252.9","-1.21 %","35,070.00"
"UMHL","2024-03-20","257","260","255","256","-0.39 %","27,827.00"
"UMHL","2024-03-19","264.1","264.1","255","257","-0.77 %","45,716.00"
"UMHL","2024-03-18","260","264","257.6","259","-0.08 %","26,728.00"
"UMHL","2024-03-17","265","268","259","259.2","-1.82 %","27,075.00"
"UMHL","2024-03-14","274.3","274.3","262.1","264","-1.86 %","46,062.00"
"UMHL","2024-03-13","266","271","265","269","-0.19 %","47,494.00"
"UMHL","2024-03-12","273","273","262","269.5","0.56 %","51,816.00"
