"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"USHEC","2024-08-11","564","575","545","565","2.00 %","25,940.00"
"USHEC","2024-08-08","570","578.5","542","553.9","-2.82 %","30,111.00"
"USHEC","2024-08-07","541","585","530","570","3.30 %","44,129.00"
"USHEC","2024-08-06","579","600","540.4","551.8","-6.47 %","40,926.00"
"USHEC","2024-08-05","573.4","596","541","590","0.85 %","45,657.00"
"USHEC","2024-08-01","614.5","627.3","568.4","585","-6.70 %","46,334.00"
"USHEC","2024-07-31","625","661.6","607.6","627","0.32 %","45,743.00"
"USHEC","2024-07-30","578.2","640","556.1","625","5.93 %","80,598.00"
"USHEC","2024-07-29","563.5","590","552.5","590","2.61 %","48,395.00"
"USHEC","2024-07-28","603.8","603.8","554","575","-2.87 %","31,998.00"
"USHEC","2024-07-25","545","595","540.2","592","8.98 %","38,402.00"
"USHEC","2024-07-24","540.1","560","530.2","543.2","-1.34 %","39,216.00"
"USHEC","2024-07-23","539","584","514.5","550.6","2.92 %","84,432.00"
"USHEC","2024-07-22","545","545","516.2","535","-0.93 %","29,373.00"
"USHEC","2024-07-21","519","550","510","540","2.08 %","28,967.00"
"USHEC","2024-07-18","532.2","553","511.2","529","-2.58 %","28,708.00"
"USHEC","2024-07-17","543.6","545","515","543","1.88 %","29,265.00"
"USHEC","2024-07-16","496.7","535","478.5","533","9.45 %","52,649.00"
"USHEC","2024-07-15","497","503.6","476.4","487","-1.40 %","18,807.00"
"USHEC","2024-07-14","465","500","460","493.9","6.58 %","75,395.00"
"USHEC","2024-07-11","458.4","477","451","463.4","-0.92 %","26,898.00"
"USHEC","2024-07-10","459.4","471.4","459.4","467.7","-0.21 %","14,784.00"
"USHEC","2024-07-09","460.6","470.2","457.1","468.7","-0.28 %","15,354.00"
"USHEC","2024-07-08","458.8","507","458.8","470","0.43 %","12,365.00"
"USHEC","2024-07-07","477.3","486","467","468","-3.90 %","18,464.00"
"USHEC","2024-07-04","490","524.7","476.3","487","-1.62 %","18,564.00"
"USHEC","2024-07-03","471","497","462.7","495","3.13 %","27,806.00"
"USHEC","2024-07-02","478.2","497.2","456.4","480","2.37 %","56,170.00"
"USHEC","2024-07-01","460","468.9","451","468.9","1.93 %","15,536.00"
"USHEC","2024-06-30","452","470","450","460","-0.26 %","21,798.00"
"USHEC","2024-06-27","465.5","480","460","461.2","-2.91 %","18,370.00"
"USHEC","2024-06-26","473.4","492.6","455","475","-1.66 %","31,689.00"
"USHEC","2024-06-25","457.9","493.7","432.1","483","7.57 %","71,722.00"
"USHEC","2024-06-24","459","459","436","449","-0.22 %","22,498.00"
"USHEC","2024-06-23","447.9","459","435","450","-1.53 %","31,367.00"
"USHEC","2024-06-20","449.2","463.9","447.5","457","-0.02 %","32,106.00"
"USHEC","2024-06-19","468.6","469.2","455","457.1","-0.52 %","23,440.00"
"USHEC","2024-06-18","437.1","465","425","459.5","3.03 %","64,199.00"
"USHEC","2024-06-16","451.1","463","440","446","-3.04 %","23,353.00"
"USHEC","2024-06-13","459","471","444.6","460","2.22 %","44,172.00"
"USHEC","2024-06-12","448","450","436","450","1.86 %","78,925.00"
"USHEC","2024-06-11","438.6","443.7","430.6","441.8","2.74 %","59,748.00"
"USHEC","2024-06-10","422","445","420.4","430","0.00 %","39,595.00"
