"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"USHL","2024-08-11","656.1","670","653.2","669","0.45 %","12,474.00"
"USHL","2024-08-08","649","675","646.1","666","3.10 %","14,971.00"
"USHL","2024-08-07","637","649.7","636.5","646","1.37 %","12,948.00"
"USHL","2024-08-06","660","668","637","637.3","-4.87 %","18,996.00"
"USHL","2024-08-05","635.1","670","635.1","669.9","4.18 %","12,516.00"
"USHL","2024-08-01","649.1","658.9","640.1","643","-2.87 %","12,348.00"
"USHL","2024-07-31","633.1","680","633.1","662","2.64 %","12,737.00"
"USHL","2024-07-30","634","683","634","645","-0.15 %","5,619.00"
"USHL","2024-07-29","670","670","640","646","-2.12 %","8,985.00"
"USHL","2024-07-28","673.2","686","620.3","660","0.00 %","12,593.00"
"USHL","2024-07-25","620","687.5","620","660","5.60 %","32,217.00"
"USHL","2024-07-24","620","640","609.7","625","2.46 %","25,395.00"
"USHL","2024-07-23","609","630","608.1","610","0.81 %","16,614.00"
"USHL","2024-07-22","603.1","622","603.1","605.1","-1.64 %","9,600.00"
"USHL","2024-07-21","622","630.9","610.3","615.2","-1.09 %","5,817.00"
"USHL","2024-07-18","625","625","604","622","1.12 %","11,513.00"
"USHL","2024-07-17","644.9","644.9","611","615.1","-3.13 %","11,748.00"
"USHL","2024-07-16","626.2","655","607","635","1.60 %","12,784.00"
"USHL","2024-07-15","627.2","690","603","625","-2.34 %","18,596.00"
"USHL","2024-07-14","601.6","648.8","585","640","8.49 %","14,541.00"
"USHL","2024-07-11","590","590","575","589.9","1.01 %","16,305.00"
"USHL","2024-07-10","580","590","575","584","1.44 %","5,725.00"
"USHL","2024-07-09","588","592.9","575.7","575.7","-1.08 %","4,130.00"
"USHL","2024-07-08","582","590","570","582","0.00 %","9,794.00"
"USHL","2024-07-07","570","583.4","565","582","3.01 %","13,471.00"
"USHL","2024-07-04","554","565","545.5","565","3.69 %","16,812.00"
"USHL","2024-07-03","543","547.9","536.1","544.9","-0.75 %","2,843.00"
"USHL","2024-07-02","549.7","560","541","549","1.86 %","9,570.00"
